ກປ.ອອນໄລ - ຄະນະຜູ້ແທນ ຫວຽດນາມ ເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວທັງໝົດຂອງວາລະປະຊຸມ, ປະກອບຄໍາເຫັນໃສ່ບັນດາຮ່າງມະຕິ ແລະປຶກສາຫາລືກ່ຽວກັບບັນດາບັນຫາໃນລາຍການດຳເນີນງານ...	KPR Online - Thông tin được đưa ra tại cuộc họp báo do Bộ Quốc phòng Việt Nam tổ chức ngày 3/10.
ໂດຍຮັບຄໍາເຊື້ອເຊີນຂອງທ່ານ Samdech Heng Samrin ປະທານສະພາແຫ່ງຊາດ ລາຊະອານາຈັກຈໍາປູເຈຍ ແລະທ່ານ M.H.Nejad Hosseinian ເລຂາທິການໃຫຍ່ສະພາລັດຖະສະພາ ອາຊີ, ຄະນະຜູ້ແທນສະພາແຫ່ງຊາດ ຫວຽດນາມ ໂດຍທ່ານ ຮ່າຫງອກຈ໋ຽນ, ກໍາມະການສູນກາງພັກ, ກໍາມະການຄະນະປະຈໍາສະພາແຫ່ງຊາດ, ປະທານສະພາຊົນເຜົ່າ, ເປັນຫົວໜ້າຄະນະ, ໄດ້ເຂົ້າຮ່ວມວາລະປະຊຸມສະພາບໍລິຫານຄັ້ງທີໜຶ່ງຂອງສະພາລັດຖະສະພາ ອາຊີ (APA) ແຕ່ວັນທີ 1-4 ຕຸລາ, ທີ່ນະຄອນຫຼວງພະນົມເປັນ, ກໍາປູເຈຍ.	Buổi họp báo đặc biệt do Đại tá đặc công Nguyễn Văn Đức, Phó Cục trưởng Cục Tuyên huấn, Tổng cục Chính trị QĐND Việt Nam chủ trì.
ທ່ານ ຮ່າຫງອກຈ໋ຽນ, ກໍາມະການສູນກາງພັກ, ກໍາມະການຄະນະປະຈໍາສະພາແຫ່ງຊາດ, ປະທານສະພາຊົນເຜົ່າ ແລະຄະນະຜູ້ແທນ ຫວຽດນາມ ເຂົ້າຮ່ວມວາລະປະຊຸມສະພາບໍລິຫານຄັ້ງທີໜຶ່ງຂອງສະພາລັດຖະສະພາ ອາຊີ.	Căn cứ “Kế hoạch toàn diện về việc Việt Nam tham gia hoạt động gìn giữ hòa bình Liên hợp quốc” và “Dự thảo Kế hoạch tham gia hoạt động gìn giữ hòa bình Liên hợp quốc của Quân đội nhân dân Việt Nam giai đoạn 2014-2020 và những năm tới” đã được Cục Chính trị phê duyệt, Bộ Thủ tướng.
ພາບ: nhandan.com.vn	Quân đội Nhân dân Việt Nam (PLA) đã tham gia vào lĩnh vực tình báo quân sự, kỹ thuật ánh sáng, tái thiết cơ sở hạ tầng, rà phá và phá hủy vật liệu chưa nổ (UXO).
ຄະນະຜູ້ແທນ ຫວຽດນາມ ເຂົ້າຮ່ວມທຸກການເຄື່ອນໄຫວຂອງວາລະປະຊຸມ;	Ngoài ra, Việt Nam đã đề cử các sĩ quan quân đội xuất sắc cho các vị trí trong Phái bộ Liên hợp quốc tại New York (Mỹ).
ປະກອບຄໍາເຫັນໃສ່ບັນດາຮ່າງມະຕິ ແລະປຶກສາຫາລືກ່ຽວກັບບັນດາບັນຫາໃນລາຍການດຳເນີນງານທີ່ວາລະປະຊຸມທັງໝົດຂອງຄະນະກໍາມະການປະຈໍາກ່ຽວກັບບັນດາບັນຫາດ້ານການເມືອງ;	Đặc biệt, trong 9 tháng qua, Trung tâm Gìn giữ hòa bình Việt Nam đã chủ trì, kết hợp với các cơ quan liên quan hoàn thành cuộc diễn tập trên bộ xây dựng Đền thờ giai đoạn II tham gia hoạt động gìn giữ hòa bình Liên hợp quốc tại Nam Sudan.
ຄະນະກໍາມະການປະຈໍາກ່ຽວກັບດ້ານເສດຖະກິດ ແລະພັດທະນາແບບຍືນຍົງ;	Đại tá đặc công Nguyễn Văn Đức mời phóng viên đặt câu hỏi để chia sẻ thêm thông tin.
ຄະນະກໍາມະການປະຈໍາກ່ຽວກັບບັນດາບັນຫາສັງຄົມ ແລະວັດທະນະທໍາ;	Ảnh: bienphong.com.vn
ຄະນະກໍາມະການພິເສດກ່ຽວກັບການສ້າງຕັ້ງລັດຖະສະພາ ອາຊີ;	Đại tá Đặc công Nguyễn Văn Đức cho biết: “Trong ba năm qua, Bộ Quốc phòng đã cử 19 binh sĩ tham gia gìn giữ hòa bình của Liên hợp quốc tại Trung Phi và Nam Sudan.
ຄະນະກໍາມະການພິເສດກ່ຽວກັບກົດລະບຽບດ້ານການເງິນ ແລະບຸກຄະລາກອນ APA.	Đóng góp của Việt Nam vào hoạt động gìn giữ hòa bình của Liên hợp quốc đã được tiếng nói trong nước, Liên hợp quốc và các nước trên thế giới đón nhận.
ໃນຂອບເຂດກອງປະຊຸມ, ຫົວໜ້າຄະນະ ຫວຽດນາມ ໄດ້ເຂົ້າຢ້ຽມຂໍ່ານັບທ່ານ Samdech Heng Samrin ປະທານສະພາແຫ່ງຊາດ ລາຊະອານາຈັກຈໍາປູເຈຍ.	Trong thời gian tới, Việt Nam sẽ tiếp tục thực hiện mọi công tác chuẩn bị cần thiết cho việc triển khai nữ sĩ quan quân đội đầu tiên của Việt Nam tham gia phái bộ gìn giữ hòa bình của Liên hợp quốc tại Nam Sudan;
