ກປ.ອອນໄລ - ຂໍ້ມູນດັ່ງກ່າວໄດ້ຍົກອອກມາທີ່ການປະຊຸມຂ່າວໂດຍກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ຈັດຕັ້ງໃນວັນທີ 3 ຕຸລາ.	KPR Online - Thông tin được đưa ra tại cuộc họp báo do Bộ Quốc phòng Việt Nam tổ chức ngày 3/10.
ທ່ານພັນເອກພິເສດ ຫງວຽນວັນດຶກ, ຮອງຫົວໜ້າກົມໂຄສະນາອົບຮົມ, ກົມໃຫຍ່ການເມືອງກອງທັບປະຊາຊົນຫວຽດນາມ ເປັນເຈົ້າພາບຈັດການປະຊຸມຂ່າວ.	Buổi họp báo đặc biệt do Đại tá đặc công Nguyễn Văn Đức, Phó Cục trưởng Cục Tuyên huấn, Tổng cục Chính trị QĐND Việt Nam chủ trì.
ໂດຍປະຕິບັດຕາມ “ແຜນຮ່າງສັງລວມກ່ຽວກັບເລື່ອງ ຫວຽດນາມ ເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ແລະ“ແຜນຮ່າງກອງທັບປະຊາຊົນຫວຽດນາມ ເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດໄລຍະ 2014-2020 ແລະຊຸມປີຕໍ່ໄປ ເຊິ່ງກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີ ໄດ້ເຊັນອະນຸມັດນັ້ນ.	Căn cứ “Kế hoạch toàn diện về việc Việt Nam tham gia hoạt động gìn giữ hòa bình Liên hợp quốc” và “Dự thảo Kế hoạch tham gia hoạt động gìn giữ hòa bình Liên hợp quốc của Quân đội nhân dân Việt Nam giai đoạn 2014-2020 và những năm tới” đã được Cục Chính trị phê duyệt, Bộ Thủ tướng.
ກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມໃນບັນດາຂົງເຂດຄື: ເສນາຮັກ, ຊ່າງແສງ, ສ້າງພື້ນຖານໂຄງລ່າງຄືນໃໝ່, ເກັບກູ້ ແລະທໍາລາຍລະເບີດບໍ່ທັນແຕກ, ບັນດາການເຄື່ອນໄຫວບໍລິການພະລາທິການຄື: ນາຍທະຫານສື່ສານ, ນາຍທະຫານເສນາທິການ, ຜູ້ສັງເກດການທະຫານ, ນາຍທະຫານພະລາທິການ, ຕິດຕາມກວດກາການເລືອກຕັ້ງ, ຂົນສົ່ງ, ປະຖົມພະຍາບານຕາມ 2 ຮູບການແມ່ນບຸກຄົນ ແລະກົມກອງ.	Quân đội Nhân dân Việt Nam (PLA) đã tham gia vào lĩnh vực tình báo quân sự, kỹ thuật ánh sáng, tái thiết cơ sở hạ tầng, rà phá và phá hủy vật liệu chưa nổ (UXO).
ຄຽງຂ້າງນັ້ນ, ຫວຽດນາມ ໄດ້ຕັ້ງໜ້າສົ່ງບັນດານາຍທະຫານດີເດັ່ນສະໝັກເສັງເຂົ້າບັນດາຕໍາແໜ່ງທີ່ເໝາະສົມໃນອົງການປະຈໍາການຂອງສະຫະປະຊາຊາດຢູ່ ນິວຢອກ (ອາເມລິກາ).	Ngoài ra, Việt Nam đã đề cử các sĩ quan quân đội xuất sắc cho các vị trí trong Phái bộ Liên hợp quốc tại New York (Mỹ).
ພິເສດ, ໃນ 9 ເດືອນຜ່ານມາ, ສູນຮັກສາສັນຕິພາບ ຫວຽດນາມ ໄດ້ເປັນເຈົ້າພາບ, ສົມທົບກັບບັນດາອົງການທີ່ກ່ຽວຂ້ອງປະຕິບັດສໍາເລັດໜ້າທີ່ຝຶກຊ້ອມທາງບົກໃນການປະກອບໂຮງໝໍສະໜາມຂັ້ນ II ເລກທີ 1 ເພື່ອເຂົ້າຮ່ວມເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ທີ່ຄະນະປະຕິບັດງານ ຊູດັງໃຕ້.	Đặc biệt, trong 9 tháng qua, Trung tâm Gìn giữ hòa bình Việt Nam đã chủ trì, kết hợp với các cơ quan liên quan hoàn thành cuộc diễn tập trên bộ xây dựng Đền thờ giai đoạn II tham gia hoạt động gìn giữ hòa bình Liên hợp quốc tại Nam Sudan.
ທ່ານພັນເອກພິເສດ ຫງວຽນວັນດຶກ ເຊີນບັນດານັກຂ່າວຕັ້ງຄໍາຖາມເພື່ອໃຫ້ແລກປ່ຽນຂໍ້ມູນຕື່ມອີກ.	Đại tá đặc công Nguyễn Văn Đức mời phóng viên đặt câu hỏi để chia sẻ thêm thông tin.
ພາບ: bienphong.com.vn	Ảnh: bienphong.com.vn
ທ່ານພັນເອກພິເສດ ຫງວຽນວັນດຶກ ໃຫ້ຮູ້ວ່າ: “ໃນ 3 ປີຜ່ານມາ, ກະຊວງປ້ອງກັນປະເທດໄດ້ສົ່ງ 19 ເທື່ອຄົນໄປປະຕິບັດໜ້າທີ່ຮັກສາສັນຕະພາບທີ່ບັນດາຄະນະປະຕິບັດງານຂອງສະຫະປະຊາຊາດຢູ່ ສ.ອາຟຣີກາກາງ ແລະຊູດັງໃຕ້.	Đại tá Đặc công Nguyễn Văn Đức cho biết: “Trong ba năm qua, Bộ Quốc phòng đã cử 19 binh sĩ tham gia gìn giữ hòa bình của Liên hợp quốc tại Trung Phi và Nam Sudan.
ການປະກອບສ່ວນຂອງ ຫວຽດນາມ ໃຫ້ແກ່ການເຄື່ອນໄຫວຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ ໄດ້ຮັບການສະໜັບສະໜູນຈາກຫາງສຽງພາຍໃນປະເທດ, ສະຫະປະຊາຊາດ ແລະບັນດາປະເທດໃນໂລກໄດ້ຮັບຮູ້ ແລະຕີລາຄາຢ່າງຕັ້ງໜ້າ.	Đóng góp của Việt Nam vào hoạt động gìn giữ hòa bình của Liên hợp quốc đã được tiếng nói trong nước, Liên hợp quốc và các nước trên thế giới đón nhận.
ໃນໄລຍະຈະມາເຖິງ, ຫວຽດນາມ ຈະສືບຕໍ່ປະຕິບັດວຽກງານກະກຽມທຸກດ້ານໃຫ້ການຜັນຂະຫຍາຍການສົ່ງນາຍທະຫານຍິງທໍາອິດຂອງ ຫວຽດນາມ ເຂົ້າຮ່ວມການປະຕິບັດໜ້າທີ່ຢູ່ຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບສະຫະປະຊາຊາດທີ່ ຊູດັງໃຕ້ ເປັນຢ່າງດີ;	Trong thời gian tới, Việt Nam sẽ tiếp tục thực hiện mọi công tác chuẩn bị cần thiết cho việc triển khai nữ sĩ quan quân đội đầu tiên của Việt Nam tham gia phái bộ gìn giữ hòa bình của Liên hợp quốc tại Nam Sudan;
