ກປ.ອອນໄລ - ເດືອນພຶດສະພາ ມີວັນໜຶ່ງທີ່ພິເສດ: ນັ້ນແມ່ນວັນສາກົນຮັກສາສັນສັນຕິພາບຂອງສະຫະປະຊາຊາດ (29-5).	KR Online - Tháng 5 có một ngày đặc biệt: Ngày Quốc tế Gìn giữ hòa bình của Liên hợp quốc (29-5).
ຍິ່ງຮອດວັນນີ້, ບັນດາອະນຸສອນກ່ຽວກັບການໄປປະຕິບັດງານຄັ້ງທໍາອິດເຖິງຄະນະປະຕິບັດງານຮັກສາສັນຕິພາບ ສປຊ ຢູ່ ຊູດັງໃຕ້ ຍິ່ງປະກົດຕົວໃນຄວາມຊົງຈໍາຂອງຂ້າພະເຈົ້າ.	Cho đến hôm nay, những kỷ niệm về chuyến thăm đầu tiên đến phái bộ gìn giữ hòa bình của Liên hợp quốc tại Nam Sudan vẫn còn trong ký ức của tôi.
ນັ້ນແມ່ນທ້າຍປີ 2019, ໜັງສືພິມກອງທັບປະຊາຊົນ ໄດ້ຈັດໃຫ້ຂ້າພະເຈົ້າເຂົ້າຮ່ວມຄະນະປະຕິບັດງານຂອງກົມຮັກສາສັນຕິພາບຫວຽດນາມ ໄປຊູດັງໃຕ້ ເພື່ອໜູນຊ່ວຍໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ກັບເມື່ອປະເທດ ແລະສົ່ງໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 2 ໄປປະຕິບັດໜ້າທີ່ຢູ່ປະເທດໜຸ່ມແໜ້ນທີ່ສຸດຂອງໂລກ.	Đó là, cuối năm 2019, Báo Quân đội nhân dân đã bố trí cho tôi tham gia Cục hoạt động gìn giữ hòa bình của Việt Nam tại Nam Sudan để hỗ trợ các trại giam số 2 trong nước và đưa các trại giam số 2 đến các nước tồi tệ nhất ở thế giới.
ພວກຂ້າພະເຈົ້າ ຮູ້ສຶກຕື້ນຕັນໃຈ ແລະສະຫຼອກກອກເມື່ອຮັບຟັງສາວການບິນ ຊາວລັດເຊຍ ເວົ້າວ່າ ຍັງອີກ 15 ນາທີ, ຍົນເຮລີກອບເຕີ MI8 ຂອງ ສປຊ ທີ່ບິນຈາກນະຄອນຫຼວງ Juba ຈະລົງຈອດທີ່ Bentiu, ບ່ອນທີ່ໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ຂອງຫວຽດນາມ ໄດ້ຜັນຂະຫຍາຍນັບຕັ້ງແຕ່ເດືອນ ຕຸລາ ປີ 2018.	Chúng tôi không khỏi bàng hoàng và sửng sốt khi nghe một tiếp viên người Nga nói rằng 15 phút nữa, một chiếc trực thăng MI8 của LHQ bay từ thủ đô Juba sẽ hạ cánh xuống Bentiu, nơi triển khai sân bay lớn thứ hai của Việt Nam từ tháng 10/2018.
ມູມຂຽວທີ່ຫາຍາກຢູ່ໃນຖານທັບ	Góc xanh hiếm hoi ở gốc
ສິ່ງທີ່ຮັບຮູ້ທໍາອິດຂອງຂ້າພະເຈົ້າ ຢູ່ຖານທັບ Bentiu ນັ້ນແມ່ນຖານທັບນີ້ຖືກເຊື່ອມຕໍ່ກັນດ້ວຍທາງດິນທີ່ຄົດລ້ຽວ, ແຕ່ລະຄັ້ງເມື່ອລົດແລ່ນຜ່ານແມ່ນຂີ້ຝຸ່ນກໍ່ປົກຄຸມໄປທົ່ວ, ໂດຍຕ່າງກັບຄວາມນຶກຄິດຂອງຂ້າພະເຈົ້າ ເມື່ອມາແຫ່ງນີ້.	Ấn tượng đầu tiên của tôi về căn cứ Bentiu là nó được nối với nhau bằng một con đường ngoằn ngoèo, hễ có xe chạy qua là bụi bay mù mịt, trái ngược với suy nghĩ của tôi khi đến đây.
ແຕ່ຄວນຮູ້ວ່າ, Bentiu ແມ່ນໜຶ່ງໃນບັນດາຖານທັບໃຫຍ່ຂອງຄະນະປະຕິບັດງານ ສປຊ ຢູ່ຊູດັງໃຕ້, ດ້ວຍກໍາລັງທີ່ມາຈາກປະເທດຕ່າງໆ, ລວມທັງໝົດ 1.600 ຄົນ, ບໍ່ໄລ່ພາລະກອນຂອງອົງການຈັດຕັ້ງພົນລະເຮືອນອື່ນໆ, ຄື: ອົງການແພດບໍ່ມີພົມແດນ (MSF), ອົງການອາຫານໂລກ (WFP), ອົງການຈັດຕັ້ງສາກົນເພື່ອການຍົກຍ້າຍຖິ່ນຖານ (IOM)...	Tuy nhiên, cần lưu ý rằng Bentiu là một trong những căn cứ chính của phái bộ LHQ ở Nam Sudan, với lực lượng từ khắp nơi trên thế giới, bao gồm 1.600 người, chưa kể công việc của các tổ chức xã hội dân sự khác, chẳng hạn như Médecins Sans Fronti (res (MSF), Tổ chức Lương thực Thế giới (WFP), IOM ...
ແລະເຂດປ້ອງກັນສາມັນຊົນ (POC) ຂອງ ສປຊ ດ້ວຍຊາວລີ້ໄພຊູດັງໃຕ້ ຈໍານວນ 100.000 ກວ່າຄົນ.	Và Cao ủy Liên hợp quốc về người tị nạn (POC) với hơn 100.000 người tị nạn Nam Sudan.
ພະນັກງານ, ພາລະກອນຂອງໂຮງໝໍກາງສະໜາມຂັ້ນ 2 ເລກ 1 ເກັບກ່ຽວໝາກບວບທີ່ປູກເອງ.	Nhân viên và nhiệm vụ của Nông trường trung tâm số 1 cấp 2 thu hái bí xanh tại nhà.
ພາບ: ແທ່ງກົງ.	Ảnh: Thành Công
ຖ້າບໍ່ເຫັນທຸງຊາດສີແດງດາວເຫຼືອງ ປິວສະບັດ ແລະປ້າຍທີ່ວ່າ “ໂຮງໝໍກາງສະໜາມ ຂັ້ນ 2 ຂອງຫວຽດນາມ ຢູ່ Bentiu ຢູ່ປະຕູໂຂງນັ້ນ, ຍາກທີ່ຈະຈໍາແນກໄດ້ບ່ອນຕັ້ງທັບຂອງຖັນແຖວແພດໝໍ, ພາລະກອນການແພດທີ່ມາຈາກຫວຽດນາມ.	Nếu không nhìn thấy cờ đỏ sao vàng, biểu ngữ và tấm biển ghi: “Bệnh viện Đa khoa số 2 của Việt Nam tại Bentiu tại cửa Mekong, rất khó xác định được vị trí của nhân viên y tế, nhân viên y tế Việt Nam. .
