ກປ.ອອນໄລ - ວັນທີ 25 ທັນວາ, ກະຊວງຍຸຕິທໍາ ຈັດຕັ້ງກອງປະຊຸມທົ່ວປະເທດຜັນຂະຫຍາຍວຽກງານຍຸຕິທໍາປີ 2018.	KPR Online - Ngày 25/12, Bộ Tư pháp tổ chức Hội nghị toàn quốc thúc đẩy tư pháp năm 2018.
ທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ ເຂົ້າຮ່ວມ ແລະຊີ້ນໍາກອງປະຊຸມດັ່ງກ່າວ.	Chủ tịch nước Trần Đại Quang dự và chủ trì buổi gặp mặt.
ທີ່ກອງປະຊຸມ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ສະເໜີຂະແໜງຍຸຕິທໍາສຸມໃສ່ປະຕິບັດ 5 ວຽກງານຈຸດສຸມໃນໄລຍະຈະມາເຖິງ.	Tại buổi làm việc, Chủ tịch nước Trần Đại Quang tập trung vào việc thực hiện 5 nhiệm vụ trọng tâm trong giai đoạn tới.
ທ່ານປະທານປະເທດ ຊີ້ແຈ້ງວ່າ: ຂະແໜງຍຸຕິທໍາຄວນເປັນເຈົ້າການເປັນເສນາທິການຕໍ່ພັກ, ລັດ ເພື່ອສືບຕໍ່ຫັນລະບອບລະບຽບການບັນດາແຜນນະໂຍບາຍ, ມະຕິຂອງພັກເປັນບັນດາເອກະສານນິຕິກຳຂອງລັດ.	Chủ tịch nước nêu rõ, tư pháp phải do đảng và nhà nước phụ trách để tiếp tục chuyển chế độ, quy định, chính sách, nghị quyết của đảng thành pháp luật của nhà nước.
ໃກ້ຊິດຕິດແທດກັບການຊີ້ນໍາ, ນຳພາຂອງພັກ, ລັດ, ຍົກສູງຄຸນນະພາບການປະເມີນຜົນຮ່າງບັນດາເອກະສານນິຕິກຳ;	Bám sát sự chỉ đạo, lãnh đạo của Đảng và nhà nước, nâng cao chất lượng thẩm định các dự thảo văn bản quy phạm pháp luật;
ເປັນເສນາທິການໃຫ້ຄະນະຊີ້ນໍາການປະຕິຮູບຍຸຕິທໍາສູນກາງ ໃນການປະຕິບັດບັນດາມະຕິຂອງພັກກ່ຽວກັບການປະຕິຮູບຍຸຕິທໍາ.	Với vai trò là Tổng Thư ký Ban Chỉ đạo Cải cách tư pháp Trung ương về việc thực hiện các nghị quyết của Đảng về cải cách tư pháp.
ທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Chủ tịch nước Trần Đại Quang phát biểu tại buổi gặp mặt.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ພ້ອມດ້ວຍບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມ.	Chủ tịch nước Trần Đại Quang và các đại biểu dự đại hội.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ພ້ອມກັນນັ້ນ, ສືບຕໍ່ປ່ຽນແປງໃໝ່ວຽກງານຄຸ້ມຄອງລັດສໍາລັບບັນດາຂົງເຂດທີ່ກ່ຽວຂ້ອງເຖິງປະຊາຊົນ, ວິສາຫະກິດໂດຍກົງ, ເປັນເສນາທິການໃຫ້ອົງການມີສິດອໍານາດ ກ່ຽວກັບບັນດາມາດຕະການແກ້ໄຂບັນດາຂໍ້ຈໍາກັດຂອງວຽກງານໃນໄລຍະຜ່ານມາໂດຍໄວ.	Đồng thời, tiếp tục chuyển trọng tâm công tác quản lý hành chính đối với các lĩnh vực liên quan trực tiếp đến người dân, doanh nghiệp, là cơ quan thuộc thẩm quyền để sớm có biện pháp giải quyết những hạn chế trong thời gian qua.
