ກປ.ອອນໄລ - ຕອນຄ່ຳວັນທີ 21 ມິຖຸນາ, ພິທີມອບລາງວັນສື່ມວນຊົນແຫ່ງຊາດຄັ້ງທີ XII-ປີ 2017 ໄດ້ຈັດຕັ້ງທີ່ ຮ່າໂນ້ຍ.	Tối 21/6, Lễ trao giải Báo chí toàn quốc lần thứ XXI năm 2017 đã được tổ chức tại Hà Nội.
ພິທີມອບລາງວັນໄດ້ດຳເນີນໄປກົງກັບໂອກາດສະເຫຼີມສະຫຼອງ 93 ປີແຫ່ງວັນສ້າງຕັ້ງສື່ມວນຊົນປະຕິວັດຫວຽດນາມ.	Lễ trao giải diễn ra đúng vào dịp kỷ niệm 93 năm Ngày thành lập ngành truyền thông cách mạng Việt Nam.
ເຂົ້າຮ່ວມພິທີມີທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ພ້ອມກັບການນຳພັກ, ລັດ.	Dự lễ có Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước Trần Đại Quang và các đồng chí lãnh đạo Đảng, Nhà nước.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ພ້ອມກັບການນຳພັກ, ລັດ ເຂົ້າຮ່ວມພິທີມອບລາງວັນ.	Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước Trần Đại Quang và các đồng chí lãnh đạo Đảng, Nhà nước dự lễ trao giải.
ພາບ: ສຳນັກຂ່່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່າວຄຳເຫັນທີ່ພິທີໄຂ, ທ່ານ ທ້ວນຫຶວ ຫົວໜ້າບັນນາທິການໃຫຍ່ໜັງສືພິມເຍີນເຢີນ, ປະທານສະພາແຂ່ງຂັນສື່ມວນຊົນແຫ່ງຊາດຄັ້ງທີ XII-ປີ 2017 ໃຫ້ຮູ້ວ່າ: “ການແຂ່ງຂັນສື່ມວນຊົນແຫ່ງຊາດຄັ້ງທີ XII-ປີ 2017 ໄດ້ດຳເນີນຢ່າງເຂັ້ມງວດ, ມີຄຸນນະພາບ.	Phát biểu tại lễ khai mạc, ông Thuận Hữu Hứa, Tổng Biên tập Báo Yên Thế, Chủ tịch Hội đồng Cuộc thi Báo chí Truyền thông Quốc gia lần thứ XII, năm 2017 cho biết: “Cuộc thi Báo chí Truyền thông toàn quốc lần thứ XII năm 2017 được tiến hành nghiêm túc, chất lượng. .
ຄະນະຈັດຕັ້ງໄດ້ຮັບບົດປະພັນ 1.800 ບົດເຂົ້າຮ່ວມການແຂ່ງຂັນ.	Ban tổ chức đã nhận được 1.800 bài dự thi.
ນີ້ແມ່ນຄັ້ງທຳອິດ, 63/63 ແຂວງ, ນະຄອນລ້ວນແຕ່ມີບົດປະພັນເຂົ້າຮ່ວມການແຂ່ງຂັນ.	Đây là lần đầu tiên có 63/63 tỉnh, thành phố tham gia cuộc thi.
ຊົມເຊີຍບັນດາຄວາມມານະພະຍາຍາມຂອງຜູ້ທີ່ເຮັດວຽກງານສື່ມວນຊົນໃນທົ່ວປະເທດເວົ້າລວມ ແລະບັນດານັກຂ່າວທີ່ມີກຽດໄດ້ຮັບລາງວັນສື່ມວນຊົນແຫ່ງຊາດ ປີ 2017, ທ່ານ ເຈືອງຮວ່າບິ່ງ ຮອງນາຍົກລັດຖະມົນຕີ ຜູ້ປະຈຳການລັດຖະບານ ຖືວ່າ, ສື່ມວນຊົນປະຕິວັດຫວຽດນາມ ໄດ້ເສີມຂະຫຍາຍບົດບາດແມ່ນຂົວເຊື່ອມຕໍ່ລະຫວ່າງ ພັກ, ລັດ ແລະປະຊາຊົນເປັນຢ່າງດີ.	(VOVworld) - Phó Thủ tướng Trương Hòa Bình đã biểu dương những nỗ lực của các chuyên gia truyền thông cả nước và các nhà báo đã được vinh danh Giải thưởng Truyền thông Quốc gia năm 2017.
ທ່ານປະທານປະເທດຫວຽດນາມ ເຈີ່ນດ້າຍກວາງ ແລະທ່ານ ເຈີ່ນກ໋ວກເວື້ອງ ຜູ້ປະຈຳການຄະນະເລຂາທິການ ມອບລາງວັນ A ໃຫ້ບັນດານັກປະພັນ, ກຸ່ມນັກປະພັນ.	Chủ tịch nước Trần Đại Quang và Tổng thư ký Trần Quốc Vượng trao Giải A cho các tác giả và nhóm tác giả.
ພາບ: ມິງເຈື່ອງ.	Ảnh: Minh Trường
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ຜູ້ປະຈຳການລັດຖະບານ ເຈືອງຮວ່າບິ່ງ ກໍມອບໝາຍໜ້າທີ່ໃຫ້ບັນດາອົງການສື່ມວນຊົນໃນໄລຍະໃໝ່ຕ້ອງສືບຕໍ່ໂຄສະນາເຜີຍແຜ່ການປະຕິບັດແຜນນະໂຍບາຍ, ແນວທາງຂອງພັກ, ນະໂຍບາຍກົດໝາຍຂອງລັດຢ່າງມີປະສິດທິຜົນ;	Phó Thủ tướng Trương Hòa Bình giao nhiệm vụ cho báo chí tiếp tục công khai việc thực hiện đường lối, chính sách của Đảng, pháp luật của Nhà nước.
ຮັບປະກັນລັກສະນະແນວຄິດ, ຄວາມເປັນຈິງ, ລັກສະນະປະຊາຊົນ ແລະລັກສະນະຕໍ່ສູ້.	Đảm bảo tính sát thực, tính nhân dân và tính chiến đấu.
ປົກປັກຮັກສາ ແລະພັດທະນາລັດທິມາກ-ເລນິນ, ແນວຄິດ ໂຮ່ຈິມິນ;	Bảo tồn và phát triển chủ nghĩa Mác - Lê-nin, tư tưởng Hồ Chí Minh;
