ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 7 ກໍລະກົດ, ໄດ້ດໍາເນີນກອງປະຊຸມປຶກສາຫາລືດ້ານປ້ອງກັນຊາດສອງຝ່າຍຫວຽດນາມ-ການາດາ ປີ 2021 ຜ່ານລະບົບທາງໄກ.	Sáng 7/7, Đối thoại Quốc phòng song phương Việt Nam - Canada 2021 từ xa đã được tổ chức.
ເຂົ້າຮ່ວມກອງປະຊຸມ, ຝ່າຍຫວຽດນາມ ມີທ່ານພົນຕີ ຫວູຈ໊ຽນຖັ໊ງ, ຫົວໜ້າກົມພົວພັນຕ່າງປະເທດ-ກະຊວງປ້ອງກັນປະເທດ;	Về phía Việt Nam có Thiếu tướng Vũ Kiến Thắng, Tổng cục trưởng Tổng cục Đối ngoại - Bộ Quốc phòng;
ຜູ້ຕາງໜ້າບາງອົງການ, ກົມກອງຂອງກະຊວງປ້ອງກັນປະເທດ, ທີ່ປຶກສາທູດຝ່າຍປ້ອງກັນຊາດຫວຽດນາມ ປະຈຳສະຫະລັດ ອາເມລິກາ ທັງເປັນທີ່ປຶກສາທູດຝ່າຍປ້ອງກັນຊາດຫວຽດນາມ ປະຈຳ ການາດາ (ເຂົ້າຮ່ວມຢູ່ສະຖານທີ່ເຊື່ອມຕໍ່ສະຫະລັດ ອາເມລິກາ).	Đại diện lãnh đạo một số cơ quan, Bộ Quốc phòng, Cố vấn Quốc phòng Việt Nam tại Hoa Kỳ và Cố vấn Quốc phòng Việt Nam tại Canada (tại Liên kết Hoa Kỳ).
ຝ່າຍການາດາ, ມີທ່ານ Peter Hammerschmidt, ຜູ້ຊ່ວຍວຽກຮອງລັດຖະມົນຕີປ້ອງກັນປະເທດຮັບຜິດຊອບນະໂຍບາຍ, ທີ່ປຶກສາທູດຝ່າຍປ້ອງກັນຊາດການາດາ ປະຈຳຫວຽດນາມ (ເຂົ້າຮ່ວມຢູ່ສະຖານທີ່ເຊື່ອມຕໍ່ຮ່າໂນ້ຍ).	Về phía Canada có ông Peter Hammerschmidt, Phó Trợ lý Bộ trưởng Quốc phòng về Chính sách, Tham tán Quốc phòng Canada tại Việt Nam (tại Hà Nội).
ບັນຍາກາດທີ່ກອງປະຊຸມປຶກສາຫາລືຢູ່ສະຖານທີ່ເຊື່ອມຕໍ່ຮ່າໂນ້ຍ.	Không khí buổi gặp mặt tại địa điểm kết nối Hà Nội.
ພາບ: ຮົ່ງຟາ.	Ảnh: Hồng Pha
ທີ່ກອງປະຊຸມ, ສອງຝ່າຍຢືນຢັນວ່າ ໃນໄລຍະຜ່ານມາການຮ່ວມມືດ້ານປ້ອງກັນຊາດລະຫວ່າງຫວຽດນາມ ແລະການາດາ ເຊິ່ງຍາມໃດ ການນຳກະຊວງປ້ອງກັນປະເທດສອງປະເທດ ກໍ່ເອົາໃຈໃສ່ຊຸກຍູ້ຜັນຂະຫຍາຍຢ່າງມີປະສິດທິຜົນ, ບັນລຸໄດ້ໝາກຜົນຢ່າງຕັ້ງໜ້າ.	Tại cuộc hội đàm, hai bên khẳng định, thời gian qua, quan hệ hợp tác quốc phòng giữa Việt Nam và Canada mà Bộ Quốc phòng hai nước luôn cam kết phát huy hiệu quả đã đạt được những kết quả tích cực.
ສອງຝ່າຍເຫັນດີເປັນເອກະພາບກັນວ່າ ໃນໄລຍະຈະມາເຖິງ, ຄວນສືບຕໍ່ສຸມໃສ່ຊຸກຍູ້ການຮ່ວມມືໃນບັນດາຂົງເຂດ, ຄື: ຮັກສາກົນໄກປຶກສາຫາລືດ້ານປ້ອງກັນຊາດ ແລະການເຈລະຈານະໂຍບາຍດ້ານປ້ອງກັນຊາດປະຈຳປີ;	Hai bên nhất trí trong giai đoạn tới cần tiếp tục tập trung thúc đẩy hợp tác trên các lĩnh vực như: duy trì các cơ chế tham vấn quốc phòng và đối thoại chính sách quốc phòng thường niên;
ເພີ່ມທະວີການພົບປະແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນສູງ;	Tăng cường trao đổi các đoàn cấp cao;
ບໍາລຸງສ້າງ;	Tập huấn;
ຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ, ຄວາມໝັ້ນຄົງທາງທະເລ...	Gìn giữ hòa bình của Liên hợp quốc, an ninh hàng hải ...
