ກປ.ອອນໄລ - ຄອບຄົວອ້າຍ ຟ້າມຕຽນເມີ໋ນ ແມ່ນຄອບຄົວທຸກຍາກ.	KP Online - Gia đình Phạm Tiến Nam thuộc diện hộ nghèo.
ເຖິງວ່າໄດ້ຮັບການຊ່ວຍເຫຼືອຈາກທຸກຂັ້ນຢູ່ທ້ອງຖິ່ນກໍ່ຕາມ ແຕ່ຄອບຄົວຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກທີ່ສຸດ...	Dù đã nhận được sự giúp đỡ của các cấp các ngành địa phương nhưng gia đình vẫn đang gặp khó khăn nhất ...
ວັນທີ 22 ເມສາ, ກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ Viettel ສົມທົບກັບຄະນະຊາວໜຸ່ມກອງທັບ ແລະ Viettel ສາຂາແຂວງ ກວາງບິ່ງ, ຈັັດຕັ້ງພິທີເປີດນໍາໃຊ້, ມອບຮັບເຮືອນ 100 ດົ່ງໃຫ້ຄອບຄົວອ້າຍ ຟ້າມຕຽນເມີ໋ນ, ບ້ານ ຊວນເຈື່ອງ, ຕາແສງ ກວາງເຈື່ອງ, ເມື່ອງ ກວາງແຈກ, ແຂວງ ກວາງບິ່ງ.	Ngày 22/4, Tập đoàn Viễn thông Quân đội Viettel phối hợp với Ban Thanh niên Quân đội và Chi nhánh Viettel tỉnh Quảng Bình đã tổ chức lễ ra mắt và trao tặng căn nhà 100 đồng cho gia đình anh Phạm Tiến Mến, thôn Xuân Trường, xã Quảng Trường, huyện Quảng Chak. , Tỉnh Quảng Bình.
ຄອບຄົວອ້າຍ ຟ້າມຕຽນເມີ໋ນ ແມ່ນຄອບຄົວທຸກຍາກ.	Gia đình anh Phạm Tiến Mến là một gia đình nghèo.
ເຖິງວ່າໄດ້ຮັບການຊ່ວຍເຫຼືອຈາກທຸກຂັ້ນຢູ່ທ້ອງຖິ່ນກໍ່ຕາມ ແຕ່ຄອບຄົວຍັງປະສົບກັບຄວາມຫຍຸ້ງຍາກທີ່ສຸດ.	Dù được các cấp chính quyền địa phương giúp đỡ nhưng gia đình vẫn đang gặp khó khăn.
ພິທີຕັດແຖບຜ້າເປີດສະຫຼອງເຮືອນ 100 ດົ່ງທີ່ມອບໃຫ້ຄອບຄົວອ້າຍ ຟ້າມຕຽນເມີ໋ນ.	Lễ cắt băng khánh thành căn nhà 100 đồng cho gia đình anh Phạm Tiến Minh.
ພາບ: ເລແອງເຕີນ	Ảnh: Lê Anh Tấn
ຕໍ່ໜ້າສະພາບການປະສົບກັບຄວາມຫຍຸ້ງຍາກຂອງຄອບຄົວ, ຄະນະອໍານວຍການ Viettel ສາຂາແຂວງ ກວາງບິ່ງ ໄດ້ສະເໜີກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ Viettel ມອບໃຫ້ຄອບຄົວອ້າຍ ຟ້າມຕຽນເມີ໋ນ ເງິນສົດ 80 ລ້ານດົ່ງທີ່ຫັກຈາກກອງທຶນເຮືອນ 100 ດົ່ງໂດຍສະມາຊິກຊາວໜຸ່ມບໍລິສັດໃຫຍ່ໂທລະຄົມມະນາຄົມ Viettel ບໍລິຈາກ.	Do hoàn cảnh gia đình có hoàn cảnh khó khăn, Chi nhánh Viettel tỉnh Quảng Bình đã trao tặng 80 triệu đồng tiền mặt cho gia đình anh Phạm Tiến, được trích từ quỹ nhà 100 đồng do đoàn viên Công ty Viễn thông Viettel tài trợ.
ເຮືອນຫຼັງນີ້ເລີ່ມລົງມືກໍ່ສ້າງແຕ່ເດືອນ ກຸມພາ 2017, ພາຍຫຼັງດໍາເນີນການກໍ່ສ້າງເປັນເວລາເກືອບ 2 ເດືອນມາຮອດປະຈຸບັນໄດ້ສໍາເລັດດ້ວຍເນື້ອທີ່ 80 m2.	Ngôi nhà này được khởi công xây dựng từ tháng 2/2017, sau gần 2 tháng xây dựng đã hoàn thành với diện tích 80 m2.
ນອກຈາກການໜູນຊ່ວຍຂອງກຸ່ມບໍລິສັດ Viettel, ຄອບຄົວອ້າຍຍັງກູ້ຢືມເງິນຕື່ມ 60 ລ້ານດົ່ງ ເພື່ອກໍ່ສ້າງເຮືອນທີ່ໃຫຍ່ໂຕສວຍງາມ.	Ngoài sự hỗ trợ của Tập đoàn Viettel, gia đình anh trai còn vay thêm 60 triệu đồng để xây dựng ngôi nhà khang trang, đẹp đẽ.
ປີ 2017 ໄລຍະ 1 ຄະນະຊາວໜຸ່ມບໍລິສັດໃຫຍ່ໄດ້ສົມທົບກັບ Viettel ສາຂາຢູ່ບັນດາແຂວງມອບເຮືອນ 100 ດົ່ງ 13 ຫຼັງໃຫ້ຄອບຄົວທີ່ທຸກຍາກ.	Năm 2017, đợt 1 Đoàn Thanh niên Công ty lớn phối hợp với chi nhánh Viettel các tỉnh đã trao tặng 100 căn nhà trị giá 13 đồng cho các gia đình nghèo.
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
