ກປ.ອອນໄລ - ວັນທີ 10 ມີນາ, ກອງປະຊຸມລັດຖະມົນຕີເສດຖະກິດອາຊຽນ ວົງແຄບ ຄັ້ງທີ 26 (AEM ວົງແຄບ 26) ໄດ້ໄຂຂຶ້ນຢ່າງເປັນທາງການຢູ່ນະຄອນດ່ານັ້ງ.	Ngày 10/3, Hội nghị Bộ trưởng Kinh tế ASEAN lần thứ 26 (AEM 26) chính thức khai mạc tại Đà Nẵng.
ກອງປະຊຸມລັດຖະມົນຕີເສດຖະກິດອາຊຽນ ວົງແຄບ ຄັ້ງທີ 26 ຈະປຶກສາຫາລືຫຼາຍເນື້ອໃນສໍາຄັນ, ກວດຄືນ, ຮັບຮອງເອົາ ແລະສືບຕໍ່ຜັນຂະຫຍາຍໃນປີອາຊຽນ 2020, ໂດຍຫວຽດນາມ ເປັນປະທານ.	Hội nghị Bộ trưởng Kinh tế ASEAN (AEMM) lần thứ 26 sẽ thảo luận một số vấn đề quan trọng, xem xét, thông qua và triển khai trong ASEAN 2020 do Việt Nam chủ trì.
ໃນນັ້ນ, ລວມມີບັນດາບູລິມະສິດຂອງຫວຽດນາມ ກ່ຽວກັບເນື້ອໃນເສດຖະກິດໃນການຮ່ວມມືອາຊຽນ ເພື່ອລາຍງານທີ່ກອງປະຊຸມຂັ້ນສູງອາຊຽນ ຄັ້ງທີ 36 (ຄາດຄະເນຈັດຕັ້ງຢູ່ດ່ານັ້ງ ໃນລະຫວ່າງວັນທີ 6-9 ເມສາປີ 2020).	Trong đó có các ưu tiên của Việt Nam về nội dung kinh tế trong hợp tác ASEAN để báo cáo Hội nghị Cấp cao ASEAN lần thứ 36 (dự kiến tổ chức tại Đà Nẵng vào ngày 6-9 / 4/2020).
ຜູ້ຕາງໜ້າບັນດາປະເທດເຂົ້າຮ່ວມພິທີເປີດກອງປະຊຸມ.	Đại diện các nước tham dự lễ khai mạc.
ພາບ: vov.vn.	Ảnh: vov.vn.
13 ບູລິມະສິດໂດຍຫວຽດນາມ ສະເໜີໃນປີເປັນປະທານອາຊຽນ 2020 ຈະຖືກຍົກອອກມາ ເພື່ອປຶກສາຫາລືທີ່ກອງປະຊຸມລັດຖະມົນຕີອາຊຽນ ວົງແຄບ ຄັ້ງທີ 26 ກ່ອນທີ່ເຫັນດີເປັນເອກະພາບຕໍ່ບັນດາໜ້າທີ່ຈຸດສຸມທີ່ຈະປະຕິບັດໃນປີນີ້.	13 ưu tiên của Việt Nam trong vai trò chủ tịch ASEAN 2020 sẽ được thảo luận tại Hội nghị Bộ trưởng ASEAN lần thứ 26 trước khi thống nhất các lĩnh vực trọng tâm để hành động trong năm nay.
ບັນດາບູລິມະສິດດັ່ງກ່າວອີງຕາມ 3 ກໍານົດທິດຕົ້ນຕໍ, ຄື: ຊຸກຍູ້ການຮ່ວມສໍາພັນ ແລະເຊື່ອມຕໍ່ເສດຖະກິດພາກພື້ນພາຍໃນກຸ່ມອາຊຽນ;	Các ưu tiên này dựa trên ba hướng chính: thúc đẩy hội nhập khu vực và hội nhập kinh tế trong ASEAN;
ຍູ້ແຮງການພົວພັນຄູ່ຮ່ວມມືເພື່ອສັນຕິພາບ ແລະການພັດທະນາແບບຍືນຍົງ ແລະຍົກສູງຄວາມສາມາດຮັບມື ແລະປະສິດທິຜົນການເຄື່ອນໄຫວຂອງອາຊຽນ.	Tăng cường quan hệ đối tác vì hòa bình và phát triển bền vững, nâng cao khả năng phục hồi và hiệu quả của ASEAN.
ໃນສະພາບການເຊື້ອພະຍາດ Covid-19 ກໍາລັງຜັນແປໄປຢ່າງສັບສົນ, ຝ່າຍຫວຽດນາມ ໄດ້ຍົກຂໍ້ສະເໜີ: ອາຊຽນ ຄວນມີການກະທໍາລວມເພື່ອແນໃສ່ຮັກສາລະບົບສະໜອງໃນອາຊຽນ, ສ້າງເງື່ອນໄຂໜູນຊ່ວຍແຫຼ່ງສະໜອງວັດສະດຸ, ວັດຖຸດິບໃຫ້ບັນດາວິສາຫະກິດ, ພິເສດແມ່ນບັນດາວິສາຫະກິດຂະໜາດນ້ອຍ ແລະກາງ...	Trong bối cảnh diễn biến phức tạp của Covid-19, phía Việt Nam đề nghị ASEAN cần cùng hành động để duy trì hệ thống ASEAN, tạo điều kiện thuận lợi về nguồn lực, nhất là cho các doanh nghiệp vừa và nhỏ ...
ກ່ອນໜ້ານັ້ນ, ບັນດາຜູ້ແທນໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມທາບທາມຄໍາເຫັນລັດຖະມົນຕີເສດຖະກິດອາຊຽນ ວົງແຄບ ກັບສະພາທີ່ປຶກສາດໍາເນີນທຸລະກິດອາຊຽນ.	Trước đó, các đại biểu đã tham dự Hội nghị Bộ trưởng Kinh tế ASEAN với Hội đồng Tư vấn Kinh doanh ASEAN.
ທີ່ການປະຊຸມກັບສະພາທີ່ປຶກສາດໍາເນີນທຸລະກິດອາຊຽນ ຄັ້ງທີ 83, ຫວຽດນາມ ໄດ້ຮັບດໍາລົງຕໍາແໜ່ງເປັນປະທານສະພາທີ່ປຶກສາຫາລືດໍາເນີນທຸລະກິດອາຊຽນ 2020.	Tại cuộc họp Hội đồng Tư vấn Kinh doanh ASEAN lần thứ 83, Việt Nam đảm nhận cương vị Chủ tịch Hội đồng Tư vấn Kinh doanh ASEAN 2020.
