ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 22 ພະຈິກ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ຕ້ອນຮັບທ່ານ Pier Giorgio Aliberth ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະປະຕິບັດງານ ອີຢູ່ ປະຈໍາ ຫວຽດນາມ.	Divine - Chiều 22 chiều, Thủ tướng Nguyễn Phú Nguyễn Tân Phúc Giorgio Aliens
ຊົມເຊີຍທ່ານ Pier Giorgio Aliberth ມາຮັບໜ້າທີ່ວຽກງານຢູ່ ຫວຽດນາມ, ທ່ານ ຫງວຽນຊວນຟຸກ ເຊື່ອໝັ້ນວ່າ, ທ່ານ Pier Giorgio Aliberth ຈະປະກອບສ່ວນຢ່າງຕັ້ງໜ້າໃຫ້ແກ່ການພົວພັນສອງຝ່າຍ, ທ່ານນາຍົກລັດຖະມົນຕີ ຢັ້ງຢືນວ່າ, ອີຢູ ແມ່ນຄູ່ຮ່ວມມືສໍາຄັນຂອງຫວຽດນາມ, ບັນດາບັນຫາທີ່ ອີຢູ ຍົກອອກມານັ້ນ ຫວຽດນາມ ລ້ວນແຕ່ໄດ້ແກ້ໄຂຢ່າງເຂັ້ມງວດ.	Chúc mừng Pier Giorgio Aliberth tham gia Việt Nam, Thủ tướng Nguyễn Phú Trọng khẳng định, Thủ tướng EU
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ Pier Giorgio Aliberth ເອກອັກຄະລັດຖະທູດ.	Thủ tướng Việt Nam Nguyễn Phú nhận Thủ tướng Bộ trưởng Nguyễn Xuân nhận được Đại sứ Bến tàu Giorgio Aliberth.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ປີ 2020, ຫວຽດນາມ ຈະດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ ແລະເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ.	Năm 2020, Việt Nam sẽ tổ chức Chủ tịch ASEAN và là thành viên của Hội đồng Bảo an Liên Hợp Quốc.
ທ່ານ ນາຍົກລັດຖະມົນຕີ ເຊື່ອໝັ້ນວ່າການຮ່ວມມືຫວຽດນາມ-ອີຢູ ຈະນັບມື້ນັບດີງາມຂຶ້ນກວ່າເກົ່າ.	Thủ tướng, EU sẽ phải hoàn thành tốt.
ທ່ານນາຍົກລັດຖະມົນຕີ ປາດຖະໜາວ່າ, ໃນອາຍຸການຂອງທ່ານ Pier Giorgio Aliberth, ວົງເງິນການຄ້າສອງຝ່າຍຈະບໍ່ຕ່ຳກວ່າ 50 ຕື້ໂດລາສະຫະລັດ, ການລົງທຶນ, ການພົບປະແລກປ່ຽນລະຫວ່າງສອງຝ່າຍຈະເພີ່ມຂຶ້ນ.	Lời chúc của Thủ tướng, trong độ tuổi của Pier Giorgio Aliberth, hai tỷ chu kỳ thương mại sẽ không dưới 50 tỷ USD sẽ được tăng lên.
ທ່ານ Pier Giorgio Aliberth ສະແດງຄວາມເປັນກຽດທີ່ໄດ້ມາຮັບໜ້າທີ່ວຽກງານຢູ່ ຫວຽດນາມ;	Pier Giorgio Aliberth cho thấy vinh dự nhận được việc tại Việt Nam;
ໂດຍຖືວ່າ, ການພົວພັນຫວຽດນາມ-ອີຢູ ພວມຢູ່ໃນໄລຍະດີງາມທີ່ສຸດ ແລະສະແດງໃຫ້ເຫັນວ່າຕົນເອງທີ່ມີຄວາມໂຊກດີເມື່ອໄດ້ມາຮັບໜ້າທີ່ວຽກງານໃນໄລຍະນີ້.	Bằng cách liên quan, Việt Nam, các mối quan hệ của EU là trong những điều đẹp nhất và thể hiện bản thân với tài sản khi đi làm trong giai đoạn này.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຕາມທ່ານ Pier Giorgio Aliberth ແລ້ວ, ນີ້ກໍ່ແມ່ນສິ່ງທ້າທາຍສຳລັບທ່ານເອງ, ໂດຍສະເພາະແມ່ນການປະຕິບັດບັນດາຂໍ້ຕົກລົງ, ສັນຍາເຊິ່ງສອງຝ່າຍບັນລຸໄດ້.	Tuy nhiên, theo Pier Giorgio Aliberth, đây cũng là một thách thức đối với bản thân, đặc biệt là thỏa thuận, những thỏa thuận hai bên.
ກ່ຽວກັບບັນຫາທະເລຕາເວັນອອກ, ທ່ານ Pier Giorgio Aliberth ຢັ້ງຢືນວ່າ, ອີຢູ ສະໜັບສະໜູນທັດທະນະຂອງຫວຽດນາມ ບົນພື້ນຖານເຄົາລົບກົດໝາຍສາກົນ.	Về vấn đề Biển Đông, Pier Giorgio Aliberth xác nhận, EU hỗ trợ các thành phố Việt Nam trên cơ sở luật pháp quốc tế.
ໂດຍ: ເກື່ອງດັ້ງ.	Bởi: Trương.
