ກປ.ອອນໄລ - ແຕ່ດົນນານມາແລ້ວຊາວ ຫວຽດນາມ ມີປະເພນີ “ຕົ້ນປີຊື້ເກືອ, ທ້າຍປີຊື້ປູນ.	Dòng - Nhưng một thời gian dài trước đây, những năm đầu Việt Nam đã được mua muối, cuối năm muối.
ຕາມການອະທິບາຍຂອງຜູ້ເຖົ້າຜູ້ແກ່ວ່າ, ເມື່ອຊື້ເກືອຕົ້ນປີໃໝ່ແມ່ນມີຄວາມປາດຖະໜາຢາກໄດ້ຮັບຄວາມອົບອຸ່ນ, ອີ່ມໜຳສຳລານໃຫ້ແກ່ຄອບຄົວໃນປີ.	Theo người cao tuổi, khi lời giải thích của năm mới là mong muốn được sự ấm áp, đủ cho gia đình trong năm.
ກໍ່ບໍ່ຮູ້ວ່າປະເພນີນີ້ມີແຕ່ຍາມໃດ, ແຕ່ວ່າປະເພນີນີ້ຍັງໄດ້ຮັບການຮັກສາໄວ້ຢູ່ ແລະກາຍເປັນຄວາມຊິນເຄີຍຂອງຊາວ ຫວຽດນາມ ເນື່ອງໃນໂອກາດປີໃໝ່.	Thực sự không biết bất kỳ truyền thống nào, nhưng truyền thống này vẫn được duy trì và trở thành dịp tiếng Việt.
ຂ້າພະເຈົ້າຍັງຈື່ໄດ້ວ່າໃນແຕ່ລະເທື່ອທີ່ກັບບ້ານເມືອກິນກຸດ, ນັບແຕ່ຈຸດເວລາສົ່ງທ້າຍປີເກົ່າຕ້ອນຮັບປີໃໝ່ຮອດຮຸ່ງເຊົ້າຂອງວັນທີໜຶ່ງປີໃໝ່, ໄດ້ຍິນສຽງຈ່າວຂາຍເກືອ “ໃຜຊື້ເກືອບໍ...	Làm thế nào để tôi nhớ rằng mỗi khi về nhà được chào đón năm năm mới đến Salley, người mua muối ...
, ເກືອເດີ...	, Muối ...
ໄດ້ກາຍເປັນຄວາມລື້ງເຄີຍແລ້ວ.	Đã được biết đến.
ຮູບພາບຂອງບັນດາຜູ້ໄປຂາຍເກືອໄດ້ຕ່າງສອງກະທໍເຕັມໄປດ້ວຍຖົງເກືອໜັກປະມານຫຼາຍສີບກິໂລຣາມເຂົ້າໄປຕາມຖະໜົນຫົນທາງ, ຮ່ອມບ້ານຊົນນະບົດເພື່ອນໍາເອົາສານແຫ່ງຄວາມອົບອຸ່ນ, ຄວາມອີ່ມໜຳສຳລານໄປໃຫ້ປະຊາຊົນຍັງຟັງເລິກໃນຄວາມຊົງຈຳຂອງພວກຂ້າພະເຈົ້າຢູ່.	Hình ảnh của những người lính muối được lấp đầy đầy đủ trên đường phố, thông gió nông thôn cho người ấm áp.
ຕາມການເວລາແລ້ວ, ປະຈຸບັນການຊື້-ຂາຍເກືອຢູ່ ຮ່າໂນ້ຍ ແລະບັນດາເຂດບ້ານນາຕ່າງໆໄດ້ຮັບຄວາມເອົາໃຈໃສ່ກວ່າກ່ຽວກັບດ້ານຮູບການ.	Theo thời gian, bây giờ là giao dịch muối tại Hà Nội và các lĩnh vực quan tâm nhiều hơn về bức tranh.
ຜູ້ຂາຍໄດ້ນຳເອົາບັນດາຖົງເກືອໄປຮອດໜ້າປະຕູສາລາ, ວິຫານ, ວັດວາອາຮາມເພື່ອຂາຍໃຫ້ປະຊາຊົນ.	Người bán mang túi muối đến cửa, chùa, đền, đền để bán.
ເກືອໄດ້ຫໍ່ຫຸ້ມຢ່າງລະມັດລະວັງໃນບັນດາຖົງ ຫຼື ໃນກັບນ້ອຍທີ່ສວຍງາມ, ມັດໂບ ແລະມີສາຍຖື.	Muối quấn cẩn thận trong túi hoặc một chút đẹp, buộc ruy băng và giữ.
ບາງເທື່ອຍ້ອນຄວາມສຳນຶກພາວະນາຂໍໂຊກຂໍລາບໃນຍາມຕົ້ນປີ.	Đôi khi do kết án của những năm đầu.
