ກປ.ອອນໄລ - ວັນທີ 7 ມິຖຸນາ, ໃນຂອບເຂດກອງປະຊຸມສະມັດຊາໃຫຍ່ ສະຫະປະຊາຊາດ ຊຸດທີ 73, ຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021 ດ້ວຍຈໍານວນບັດສະໜັບສະໜູນສູງບັນລຸລະດັບສະຖິຕິ 192/193.	Hội nghị của Liên Hợp Quốc Liên Hợp Quốc Số năm 2020/193.
ເນື່ອງໃນໂອກາດນີ້, ທ່ານ ຟ້າມບິ່ງມິງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໄດ້ຕອບສໍາພາດຕໍ່ສື່ມວນຊົນພາຍໃນປະເທດກ່ຽວກັບຄວາມໝາຍຂອງເລື່ອງຫວຽດນາມ ໄດ້ຮັບໄຊຊະນະໃນການເລືອກຕັ້ງເປັນກໍາມະການບໍ່່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ກໍຄືບັນດາບຸລິມະສິດ ແລະສິ່ງທ້າທາຍຂອງຫວຽດນາມ ເມື່ອເຂົ້າຮ່ວມສະພາຄວາມໝັ້ນຄົງ ສປຊ.	Nhân dịp này, Bộ trưởng Ngoại giao Việt Nam đã trả lời các phương tiện truyền thông chung của Việt Nam, và những thách thức và thách thức Việt Nam, tham dự An ninh Liên Hợp Quốc
ນັກຂ່າວ: ຂໍຮຽນທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ສະເໜີທ່ານໃຫ້ຮູ້ຄວາມໝາຍຂອງເລື່ອງຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021?	Nhà báo: Bạn có thể học phó thủ tướng, cung cấp cho bạn biết ý nghĩa của Ủy ban Thường vụ của Liên Hóa 2020-20-2021 không?
ທ່ານ ຕີລາຄາຄືແນວໃດກ່ຽວກັບເລື່ອງຫວຽດນາມ ເຂົ້າຮ່ວມການອອກສະໝັກເລືອກຕັ້ງເຂົ້າຕໍາແໜ່ງນີ້?	Làm thế nào để bạn nhận được trong phiên dịch sang Việt Nam để chia sẻ ứng dụng đăng bài này?
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ຟ້າມບິ່ງມິງ: ຕອນຄໍ່າວັນທີ 7 ມິຖຸນາ (ຕາມເວລາຮ່າໂນ້ຍ), ທີ່ນະຄອນນິວຢອກ (ອາເມລິກາ) ກອງປະຊຸມສະມັດຊາໃຫຍ່ ສປຊ ໄດ້ເລືອກຕັ້ງຫວຽດນາມ ເປັນກໍາມະການບໍ່ປະຈໍາການ ສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021.	Phó Thủ tướng Phạm Bình Phạm Bộ trưởng tháng 7 (Thành phố Hoa Kỳ (Hoa Kỳ), Liên Hợp Quốc về
ເລື່ອງຫວຽດນາມ ໄດ້ຮັບໄຊຊະນະໃນການເລືອກຕັ້ງດ້ວຍຈໍານວນບັດສະໜັບສະໜູນສູງທີ່ສຸດແມ່ນຂ່າວດີສໍາລັບຫວຽດນາມ;	Câu chuyện tiếng Việt đã giành được cuộc bầu cử với số lượng hỗ trợ cao nhất của thẻ hỗ trợ là tin tốt cho Việt Nam;
ສະແດງໃຫ້ເຫັນວ່າບັນດາປະເທດຖືເປັນສໍາຄັນຖານະບົດບາດ, ທີ່ຕັ້ງ, ອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມ ແລະພິເສດແມ່ນຄວາມສາມາດປະກອບສ່ວນຂອງຫວຽດນາມ ເຂົ້າໃນວຽກງານລວມຂອງໂລກ ເມື່ອເຂົ້າຮ່ວມສະພາຄວາມໝັ້ນຄົງ.	Cho thấy các quốc gia quan trọng là quan trọng, Việt Nam và uy tín của công việc của Việt Nam trong hội nhập.
ດັ່ງທີ່ພວກເຮົາຮູ້ແລ້ວວ່າ, ໃນ ສປຊ, ສະພາຄວາມໝັ້ນຄົງແມ່ນອົງການທີ່ມີບົດບາດແຖວໜ້າໃນການປະກອບສ່ວນເສີມສ້າງສັນຕິພາບ, ຄວາມໝັ້ນຄົງຂອງໂລກ.	Như chúng ta biết, trong Liên Hợp Quốc, Hội đồng Bảo an là một tổ chức đóng vai trò hòa bình, ổn định thế giới.
ດ້ວຍເລື່ອງເຂົ້າຮ່ວມສະພາຄວາມໝັ້ນຄົງ, ຫວຽດນາມ ຈະເຂົ້າຮ່ວມເຂົ້າໃນອົງການຈັດຕັ້ງທົ່ວໂລກໃນຂົງເຂດຮັບປະກັນຄວາມໝັ້ນຄົງ, ສັນຕິພາບ ແລະແກ້ໄຂບັນດາບັນຫາປະທະກັນໃນໂລກ.	Với câu chuyện về Hội đồng Bảo an, Việt Nam sẽ tham gia vào các tổ chức toàn cầu trong chứng khoán, hòa bình, hòa bình và tương ứng với thế giới.
ທ່ານ ຟ້າມບິ່ງມິງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ.	Thứ trưởng Bộ Ngoại giao Phạm Bungsuin Bình Minh
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
