ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 6 ມັງກອນ, ຢູ່ທ່າກໍາປັ່ນທະຫານ ກາມແຣງ, ກອງບັນຊາການ	KPR Online - Chiều 6/1, tại Quân cảng Kam Rang, HQ
ທະຫານເຮືອເຂດ 4 ໄດ້ຈັດຕັ້ງພິທີເດີນທາງ, ຢ້ຽມຢາມອວຍພອນບຸນເຕັດ ແລະຂົນສົ່ງຂອງຂວັນບຸນເຕັດເຖິງໝູ່ເກາະ ເຈື່ອງຊາ.	Vùng 4 Hải quân đã tổ chức lễ ra quân thăm quần đảo Trường Sa và chúc Tết các đồng chí.
ຜູ້ຕາງໜ້າຫ້ອງການເມືອງທະຫານເຮືອເຂດ 4 ໃຫ້ຮູ້ວ່າ, ສິນຄ້າບຸນປີໃໝ່ປະຈໍາຊາດ ປີຈໍ 2018 ຮັບປະກັນໃຫ້ພະນັກງານ, ນັກຮົບ ແລະປະຊາຊົນເມືອງເກາະ ເຈື່ອງຊາ ປີນີ້ແມ່ນພຽງພໍກ່ຽວກັບປະລິມານ, ອຸດົມສົມບູນກ່ຽວກັບປະເພດ.	Theo đại diện Văn phòng Bộ Tư lệnh Vùng 4 Hải quân, Tết Nguyên đán 2018 đảm bảo cho cán bộ, chiến sĩ và nhân dân Trường Sa năm nay đủ về số lượng và chủng loại.
ນອກຈາກຮັບປະກັນຕາມຂໍ້ກໍານົດແລ້ວ, ພະນັກງານ, ນັກຮົບ ແລະປະຊາຊົນ ເຈື່ອງຊາ ຍັງໄດ້ຮັບຂອງຂວັນທີ່ມີມູນຄ່າ, ມີຄວາມໝາຍຫຼາຍຢ່າງຈາກປະທານປະເທດ, ກະຊວງປ້ອງກັນປະເທດ, ເຫຼົ່າທັບເຮືອ, ຄະນະກໍາມະການປະຊາຊົນແຂວງ ແຄ໋ງຮວ່າ ພ້ອມກັບບັນດາທ້ອງຖິ່ນ, ອົງການຈັດຕັ້ງການເມືອງ, ສັງຄົມ, ວິສາຫະກິດ ແລະບຸກຄົນ.	Ngoài bảo đảm đúng quy định, cán bộ, chiến sĩ và nhân dân Trường Sa còn được Chủ tịch nước, Bộ Quốc phòng, Quân chủng Hải quân, UBND tỉnh Khánh Hòa, các địa phương, tổ chức chính trị, xã hội, doanh nghiệp và cá nhân.
ພະນັກງານ, ນັກຮົບມ່ວນຊື່ນທີ່ໄດ້ເດີນທາງໄປ ເຈື່ອງຊາ ປະຕິບັດໜ້າທີ່.	Công nhân và các chiến sĩ vui vẻ ra Trường Sa thực hiện nhiệm vụ.
ພາບ: ຫວູ໊ດີ່ງດົງ	Ảnh: Vũ Đình Đông
ຂົນຖ່າຍຂວັນບຸນເຕັດຂຶ້ນກໍາປັ່ນໄປເຈື່ອງຊາ.	Đi thuyền ra Trường Sa.
ພາບ: ຫວູ໊ດີ່ງດົງ	Ảnh: Vũ Đình Đông
ພິເສດ, ຮ່ວມເດີນທາງກັບບັນດາພະນັກງານ, ນັກຮົບທະຫານເຮືອເຂດ 4 ອອກ ເຈື່ອງຊາ ໃນຄັ້ງນີ້ຍັງມີນັກຂ່າວ, ນັກບັນນາທິການບັນດາອົງການສື່ມວນຊົນໃນທົ່ວປະເທດ ແລະສະມາຊິກສະໂມສອນໄວໜຸ່ມເພື່ອທະເລໝູ່ເກາະຂອງບ້ານເກີດເມືອງນອນ 105 ຄົນ.	Cùng đồng hành với cán bộ, thủy thủ Vùng 4 Trường Sa là các nhà báo, biên tập viên, cơ quan truyền thông trên cả nước và 105 thành viên CLB Tuổi trẻ Quê hương.
ທີ່ການປະຊຸມກ່ອນພິທີເດີນທາງ, ທ່ານພັນເອກພິເສດ ຫງວຽນກົງເຊີນ, ຮອງຫົວໜ້າການເມືອງທະຫານເຮືອເຂດ 4, ຊາບຊຶມເຖິງບັນດາສະມາຊິກໃນຄະນະປະຕິບັດງານເນື້ອໃນ, ຈຸດປະສົງ ແລະບັນດາຂໍ້ກໍານົດທີ່ຄວນໃສ່ໃຈໃນການເດີນທາງຄັ້ງນີ້;	Tại buổi làm việc trước khi xuất phát, Đại tá đặc công Nguyễn Công Sơn, Phó Chủ nhiệm Chính trị Vùng 4 Hải quân đã thông báo tóm tắt với các thành viên trong đoàn công tác về nội dung, mục tiêu và các điều khoản tham khảo cho chuyến hành trình lần này;
ປາດຖະໜາວ່າບັນດານັກຂ່າວ, ນັກບັນນາທິການ ຈະສ່ອງແສງສະພາບຕົວຈິງກ່ຽວກັບອະທິປະໄຕທະເລໝູ່ເກາະສັກກາລະບູຊາ ຂອງປະເທດຊາດ;	Ông mong muốn các nhà báo, biên tập viên làm sáng tỏ thực trạng chủ quyền của Tổ quốc đối với Quần đảo Thiêng.
ວິວັດການປະຕິບັດງານ, ຊີວິດການເປັນຢູ່ ແລະບັນຍາກາດຕ້ອນຮັບບຸນປີໃໝ່ປະຈຳຊາດຂອງທະຫານ ແລະປະຊາຊົນໝູ່ເກາະ;	Diễn biến hoạt động, đời sống và không khí đón giao thừa của quân và dân huyện đảo;
ອາລົມຈິດອັນສຸດຈິດສຸດໃຈຂອງດິນຕໍ່ແຜ່ນສໍາລັບເຈື່ອງຊາ ແລະຂອງເຈື່ອງຊາສໍາລັບດິນຕໍ່ແຜ່ນຢ່າງມີຊີວິດຊີວາ, ມີປະສິດທິຜົນ.	Những cảm xúc chân thành về đất liền với Trường Sa và Trường Sa về đất liền sống động, hiệu quả.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
