ກປ.ອອນໄລ - ໃນຊຸມປີມໍ່ໆມານີ້, ຂະແໜງຜ່າຕັດປ່ຽນແທນອະໄວຍະວະ ຢູ່ຫວຽດນາມ ບັນລຸໄດ້ບັນດາບາດກ້າວທີ່ມະຫັດສະຈັນ.	Trong những năm gần đây, ngành ghép tạng ở Việt Nam đã có những bước tiến vượt bậc.
ພິເສດ, ຕົ້ນປີ 2018, ໂຮງໝໍສູນກາງກອງທັບ 108 ໄດ້ປະຕິບັດສໍາເລັດການຜ່າຕັດປ່ຽນປອດລາຍທໍາອິດຢູ່ຫວຽດນາມ ຈາກຜູ້ທີ່ມີສະໝອງບໍ່ທຳງານ.	Đặc biệt, đầu năm 2018, Bệnh viện Trung ương Quân đội 108 đã hoàn thành ca ghép phổi đầu tiên tại Việt Nam từ người khuyết tật.
ກ່ອນໜ້ານັ້ນ, ປີ 2017, ໂຮງໝໍ ຫວຽດດຶກ ກໍ່ປະຕິບັດສໍາເລັດການຜ່າຕັດປ່ຽນຫົວໃຈ ໃຫ້ແກ່ຄົນເຈັບທີ່ເປັນເດັກນ້ອຍຈາກຄົນບໍລິຈາກຫົວໃຈທີ່ສະໝອງບໍ່ທຳງານເປັນຜູ້ໃຫຍ່.	Trước đó, năm 2017, Bệnh viện Việt Đức đã hoàn thành ca ghép tim cho một bệnh nhi từ người mất tim hiến.
ບັນດາການຜ່າຕັດປ່ຽນແທນອະໄວຍະວະ ທີ່ຫຍຸ້ງຍາກ	Phẫu thuật thay thế các cơ quan khó
ໃນແຕ່ລະປີ, ຂະແໜງຜ່າຕັດປ່ຽນແທນອະໄວຍະວະໄດ້ສ້າງຜົນງານໃໝ່ຫຼາຍຢ່າງຕື່ມອີກ, ເປັນການຢັ້ງຢືນເຖິງບາດກ້າວກະໂດດຂັ້ນໃນເຕັກນິກລົງເລິກຂະແໜງທຽບເທົ່າກັບລະດັບສາກົນ.	Mỗi năm, ngành ghép tạng ngày càng tạo ra nhiều thành tựu, khẳng định bước tiến nhảy vọt của các kỹ thuật tiên tiến quốc tế.
ຕົ້ນປີ 2018, ບັນດາທ່ານໝໍຢູ່ໂຮງໝໍສູນກາງກອງທັບ 108 ໄດ້ປະຕິບັດການຜ່າຕັດປ່ຽນປອດລາຍທໍາອິດຢູ່ຫວຽດນາມ ຈາກຜູ້ທີ່ມີສໝອງບໍ່ທຳງານ.	Đầu năm 2018, các bác sĩ Bệnh viện Trung ương Quân đội 108 đã tiến hành ca ghép phổi đầu tiên tại Việt Nam từ hai người thất nghiệp.
ບັນດາທ່ານໝໍ ໄດ້ກະກຽມໃຫ້ແກ່ການຜ່າຕັດປ່ຽນປອດຄັ້ງປະຫວັດສາດນີ້ ຢ່າງຮອບຄ້ອບຖີ່ຖ້ວນທີ່ສຸດ.	Bác sĩ Fo đã chuẩn bị rất kỹ lưỡng cho ca ghép phổi lịch sử này.
ການຜ່າຕັດປ່ຽນປອດລາຍທໍາອິດໄດ້ດໍາເນີນ ຢູ່ໂຮງໝໍສູນກາງກອງທັບ 108 ໃນເວລາ 10 ໂມງ ວັນທີ 26 ກຸມພາ 2018.	Ca ghép phổi đầu tiên được thực hiện tại Bệnh viện Trung ương Quân đội 108 vào lúc 10h ngày 26/2/2018.
ການຜ່າຕັດປ່ຽນປອດໄດ້ແກ່ຍາວເວລາເຖິງ 8 ໂມງ.	Ca ghép phổi kéo dài đến 8 giờ.
ຄົນເຈັບພາຍຫຼັງການຜ່າຕັດປ່ຽນປອດ ໄດ້ປິ່ນປົວຢ່າງຕັ້ງໜ້າກັບການສົມທົບກັນຂອງຫຼາຍຂະແໜງວິຊາການຕ່າງໆ.	Bệnh nhân sau khi ghép phổi được điều trị kết hợp nhiều phương pháp tiếp cận.
ພາຍຫຼັງການຜ່າຕັດເປັນໜຶ່ງອາທິດ, ສະພາບການກ່ຽວກັບສຸຂະພາບຂອງຄົນເຈັບມີບາດກ້າວພັດທະນາເປັນຢ່າງດີ.	Nửa tuần sau ca mổ, tình trạng sức khỏe của bệnh nhân được cải thiện.
ພາບປະກອບຈາກ: qdnd.vn	Hình minh họa từ: qdnd.vn
ປີ 2017 ກໍ່ແມ່ນປີທີ່ໄດ້ເຫັນປະຈັກຕາຜົນງານໃນເຕັກນິກການຜ່າຕັດປ່ຽນແທນອະໄວຍະວະຫຼາຍຢ່າງ ຢູ່ຫວຽດນາມ;	Năm 2017 cũng là năm thành công rực rỡ của nhiều kỹ thuật ghép tạng tại Việt Nam;
ພົ້ນເດັ່ນຄື: ປະຕິບັດສໍາເລັດການຜ່າຕັດປ່ຽນປອດລາຍທໍາອິດຈາກຄົນບໍລິຈາກອະໄວຍະວະຍັງຊີວິດ ແລະການຜ່າຕັດປ່ຽນຫົວໃຈໃຫ້ແກ່ຄົນເຈັບທີ່ເປັນເດັກນ້ອຍມີອາຍຸນ້ອຍທີ່ສຸດຢູ່ຫວຽດນາມ.	Nổi bật: Hoàn thành ca ghép phổi đầu tiên từ người hiến tạng còn sống và ghép tim cho bệnh nhi nhỏ tuổi nhất Việt Nam.
ວັນທີ 21 ກຸມພາ 2017, ໂຮງໝໍເສນາຮັກ 103 ໄດ້ສົມທົບກັບບັນດານັກຊ່ຽວຊານຍີ່ປຸ່ນ ປະຕິບັດສໍາເລັດການຜ່າຕັດປ່ຽນປອດຈາກຄົນຍັງຊີວິດທໍາອິດ ຢູ່ຫວຽດນາມ.	Ngày 21/2/2017, Bệnh viện Sena Hrak 103 phối hợp với các bác sĩ chuyên khoa Nhật Bản đã hoàn thành ca ghép phổi còn sống đầu tiên tại Việt Nam.
ມີຫຼາຍຄົນຈົດທະບຽນບໍລິຈາກອະໄວຍະວະ ແຕ່ຍັງຂາດເຂີນ	Nhiều người hiến tạng nhưng vẫn thiếu
ຄິດໄລ່ຮອດວັນທີ 26 ທັນວາ 2017, ຈຳນວນຜູ້ຈົດທະບຽນບໍລິຈາກອະໄວຍະວະ ພາຍຫຼັງເສຍຊີວິດ, ສະໝອງບໍ່ທຳງານແມ່ນ 11.653 ກໍລະນີ.	Tính đến ngày 26/12/2017, số người đăng ký hiến tạng sau khi chết, thất nghiệp là 11.653 trường hợp.
ທ່ານນາງ ຫງວຽນທິກິມຕ໋ຽນ ລັດຖະມົນຕີກະຊວງສາທາລະນະສຸກ ໃຫ້ຂໍ້ສັງເກດວ່າ: ດ້ວຍຜົນສໍາເລັດຂອງບັນດາການຜ່າຕັດປ່ຽນແທນອະໄວຍະວະຢູ່ຫວຽດນາມ ຫວ່າງມໍ່ມານີ້ໄດ້ສ້າງຂີດໝາຍແຫ່ງການເຕີບໃຫຍ່ຂອງຂະແໜງແພດສາດຫວຽດນາມ ໃນແຜນທີ່ຜ່າຕັດປ່ຽນແທນອະໄວຍະວະໃນໂລກ, ໃນນັ້ນ, ວິທະຍາສາດ ແລະເຕັກໂນໂລຢີແມ່ນ “ປະຖົມປັດໃຈ.	Bộ trưởng Bộ Y tế Nguyễn Thị Kim Tiến cho biết: “Sự thành công của các ca ghép tạng tại Việt Nam vừa qua đã đánh dấu một cột mốc quan trọng trong sự phát triển của nền y học Việt Nam trên thế giới, trong đó có khoa học và công nghệ.
ໝາກຜົນດັ່ງກ່າວແມ່ນຍ້ອນມີການສົມທົບກັນຢ່າງຄົບຊຸດຂອງບັນດາວິຊາການ.	Có được kết quả này là nhờ sự kết hợp toàn diện giữa các bộ môn.
ພາບປະກອບຈາກ: thanhnien.vn	Minh họa bởi: thanhnien.vn
ປັດຈຸບັນ, ຄວາມຕ້ອງການກ່ຽວກັບການຜ່າຕັດປ່ຽນແທນອະໄວຍະວະຢູ່ຫວຽດນາມ ແມ່ນໃຫຍ່ຫຼວງທີ່ສຸດ, ແຕ່ຈຳນວນຜູ້ບໍລິຈາກອະໄວຍະວະຢູ່ຫວຽດນາມ ຍັງຂາດເຂີນ ແລະຫາຍາກ.	Hiện nay, nhu cầu ghép tạng ở Việt Nam là rất lớn nhưng số lượng người hiến tạng ở Việt Nam vẫn còn thiếu và khan hiếm.
ເຖິງວ່າຈຳນວນຜູ້ຈົດທະບຽນບໍລິຈາກອະໄວຍະວະໄດ້ເພີ່ມຂຶ້ນທົບສອງເທົ່າເມື່ອທຽບກັບປີ 2016 ກໍ່ຕາມ, ແຕ່ທຽບກັບພົນລະເມືອງ 90 ລ້ານຄົນແລ້ວ, ນີ້ຍັງແມ່ນຕົວເລກນ້ອຍທີ່ສຸດ.	Mặc dù số lượng người đăng ký hiến tạng đã tăng hơn gấp đôi kể từ năm 2016, nhưng so với dân số 90 triệu người, đây vẫn là con số nhỏ nhất.
ແປໂດຍ: ກວຽດເຕີມ.	Dịch bởi: Việt Tâm.
