ກປ.ອອນໄລ - ໂດຍສືບຕໍ່ລາຍການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ສະຫະພັນລັດເຊຍ,	Pro trực tuyến - bằng cách tiếp tục đến thăm và làm việc tại Liên bang Nga,
ວັນທີ 23 ກັນຍາ, ຢູ່ນະຄອນຫຼວງມົດສະກູ, ທ່ານ ຫວໍວັນເຖືອງ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ, ຫົວໜ້າຄະນະໂຄສະນາສຶກສາສູນກາງ ມີການເຮັດວຽກຕ່າງໆກັບການນໍາພັກປະເທດລັດເຊຍເອກະພາບ ກຳອຳນາດ, ພັກກອມມູນິດສະຫະພັນ ລັດເຊຍ ແລະກະຊວງການຕ່າງປະເທດສະຫະພັນລັດເຊຍ.	23 tháng 9, tại thủ đô, Ủy ban Tự do, Liên bang Nga, Liên bang Nga, Liên bang Nga, Liên bang Nga
ທີ່ການເຮັດວຽກຕ່າງໆ, ສອງຝ່າຍໄດ້ຮັບຮູ້ຜົນການເຄື່ອນໄຫວຫຼາຍຢ່າງໃນປີມິດຕະພາບ-ປີລັດເຊຍຢູ່ຫວຽດນາມ ແລະປີຫວຽດນາມ ຢູ່ລັດເຊຍ ເພື່ອສະເຫຼີມສະຫຼອງວັນເຊັນສົນທິສັນຍາວ່າດ້ວຍບັນດາຫຼັກການພື້ນຖານຂອງການພົວພັນມິດຕະພາບຫວຽດນາມ-ສະຫະພັນລັດເຊຍ ຄົບຮອບ 25 ປີ ແລະ 70 ປີແຫ່ງການສ້າງຕັ້ງການພົວພັນທາງການທູດສອງປະເທດ;	Tại công việc của Việt Nam, Nga, Việt Nam, hai tuổi, nhóm cơ bản của Việt Nam và năm của Nga, việc thành lập tình bạn hai quốc gia;
ເນັ້ນໜັກວ່າການພົວພັນຮ່ວມມືລະຫວ່າງສອງພັກກຳອຳນາດແມ່ນພື້ນຖານການເມືອງທີ່ສໍາຄັນ, ແມ່ນກຳລັງໜູນຊຸກຍູ້ ແລະເຮັດໃຫ້ການພົວພັນສອງປະເທດເລິກເຊິ່ງກວ່າອີກ.	Căng thẳng rằng sự hợp tác giữa hai đảng hùng mạnh là một kỳ nghỉ chính trị lớn, là khuyến khích và ở hai quốc gia sâu hơn.
ທ່ານ ຫວໍວັນເຖືອງ ຫົວໜ້າຄະນະໂຄສະນາສຶກສາສູນກາງ ເຮັດວຽກກັບການນໍາພັກປະເທດລັດເຊຍເອກະພາບ.	Linh tài trợ Ủy ban giáo dục trung ương của Ủy ban Giáo dục Trung ương với Bên Nga.
ພາບ: vov.vn.	Ảnh: Vov.vn.
ເມື່ອແລກປ່ຽນກ່ຽວກັບສະພາບການສາກົນ ແລະພາກພື້ນ, ທ່ານ ຫວໍວັນເຖືອງ ໄດ້ແຈ້ງໃຫ້ຝ່າຍລັດເຊຍ ຮັບຊາບກ່ຽວກັບສະພາບການ ແລະການຜັນແປຢ່າງສັບສົນຢູ່ທະເລຕາເວັນອອກໃນປະຈຸບັນ, ຢັ້ງຢືນຫຼັກໝັ້ນສະເໝີຕົ້ນສະເໝີປາຍຂອງ ຫວຽດນາມ ແມ່ນແກ້ໄຂບັນດາການຂັດແຍ້ງກັນຢູ່ທະເລຕາເວັນອອກໂດຍສັນຕິວິທີ, ບົນພື້ນຖານກົດໝາຍສາກົນ, ໃນນັ້ນມີສົນທິສັນຍາຂອງສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລປີ 1982 (UNCLOS 1982).	Khi trao đổi trong điều kiện quốc tế và khu vực và kết án luật pháp quốc tế, theo luật Đông, trên biển phía đông, 1982.
ທ່ານ ຫວໍວັນເຖືອງ ຫົວໜ້າຄະນະໂຄສະນາສຶກສາສູນກາງ ເຮັດວຽກກັບທ່ານ Gennady Zyuganov ປະທານພັກກອມມູນິດສະຫະພັນ ລັດເຊຍ.	Bạn đang hướng đến người đứng đầu cuộc thi giáo dục trung ương đến Tổng thống Gennady Zyuganov Liên bang Nga.
ພາບ: vov.vn.	Ảnh: Vov.vn.
ທີ່ການພົບປະກັບທ່ານ Gennady Zyuganov ປະທານພັກກອມມູນິດສະຫະພັນລັດເຊຍ, ທ່ານ ຫວໍວັນເຖືອງ ຕີລາຄາສູງສາຍພົວພັນຮ່ວມມືລະຫວ່າງສອງພັກໃນໄລຍະຜ່ານມາ ແລະສະເໜີໃນປີ 2020, ສອງພັກຄວນເພີ່ມທະວີການສົມທົບກັນເຄື່ອນໄຫວໃນຂົງເຂດແນວຄິດ, ວັດທະນະທໍາແນໃສ່ສະເຫຼີມສະຫຼອງ 150 ປີແຫ່ງວັນເກີດຂອງ V.I.Lênin ແລະ 130 ປີແຫ່ງວັນເກີດຂອງປະທານໂຮ່ຈີນິນ.	Cuộc họp với Tổng thống Gennady Zyuganov của Liên bang Nga, sự ra đời của 150 năm sinh của V.I.Lênin, sự ra đời của Tổng thống V..Lên và 130 năm sinh
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
