ກປ.	KP
ອອນໄລ - ແຕ່ວັນທີ 4 ຫາວັນທີ 5 ມັງກອນ, ບໍລິສັດໃຫຍ່ໂທລະຄົມມະນາຄົມ Viettel ໄດ້ສົມທົບກັບກົມເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ-ກະຊວງສຶກສາ ແລະບໍາລຸງສ້າງ ຫວຽດ ນາມ ຈັດຕັ້ງຊຸດບໍາລຸງ, ຍົກສູງຄວາມຮັບຮູ້ ແລະທັກສະຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວສານໃຫ້ບຸກຄະລາກອນສະເພາະ ກິດຂອງທົ່ວຂະແໜງການສຶກສາ.	Online - Từ ngày 4 đến 5-1, Tập đoàn viễn thông lớn Viettel phối hợp với Cục Công nghệ thông tin - Bộ Giáo dục và Đào tạo Việt Nam tổ chức lớp tập huấn nâng cao nhận thức và kỹ năng an toàn thông tin cho cán bộ giáo dục đặc biệt trong toàn ngành giáo dục. lĩnh vực.
ນີ້ແມ່ນໜຶ່ງໃນບັນດາການເຄື່ອນໄຫວແທດຈິງນອນໃນຂອບເຂດຂອງຂໍ້ຕົກລົງຮ່ວມມືລະຫວ່າງກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມ ກອງທັບ (Viettel) ກັບກະຊວງສຶກສາ ແລະບໍາລຸງສ້າງກ່ຽວກັບເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ ແລະໂທລະຄົມມະນາຄົມ ໄລຍະ 2017-2020.	Đây là một trong những hoạt động thực tế trong khuôn khổ thỏa thuận hợp tác giữa Tập đoàn Viễn thông Quân đội (Viettel) và Bộ Giáo dục và Đào tạo về Công nghệ thông tin và Viễn thông giai đoạn 2017-2020.
ນີ້ແມ່ນເທື່ອທໍາອິດ, ທີ່ຊຸດບໍາລຸງຄວາມຮູ້ຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວສານໄດ້ຈັດຕັ້ງໃຫ້ແກ່ພະນັກງານ ຂະແໜງການສຶກສາໃນຂອບຂະໜາດທົ່ວປະເທດ.	Đây là lần đầu tiên gói đào tạo về an toàn thông tin được thiết lập cho các cán bộ giáo dục trên cả nước.
ຕາມນັ້ນແລ້ວ, ນັກສຳມະນາກອນຈະໄດ້ຮຽນບັນດາຄວາມຮູ້ພື້ນຖານ, ພ້ອມທັງຍົກສູງຄວາມຮັບຮູ້ ແລະທັກສະກ່ຽວກັບຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວສານໃຫ້ແກ່ພະນັກງານເກືອບ 100 ຄົນ ຮັບຜິດຊອບເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານສັງກັດກົມເຕັກໂນ ໂລຢີຂໍ້ມູນຂ່າວສານ-ກະຊວງສຶກສາ ແລະບໍາລຸງສ້າງ ແລະ63 ພະແນກສຶກສາ ແລະບໍາລຸງສ້າງໃນທົ່ວປະເທດ.	Nhờ đó, các học viên sẽ được tìm hiểu những kiến thức cơ bản, cũng như nâng cao nhận thức và kỹ năng về an toàn thông tin cho gần 100 cán bộ chuyên trách công nghệ thông tin thuộc Cục Công nghệ thông tin - Bộ Giáo dục và Đào tạo và 63 sở giáo dục và đào tạo trên cả nước .
ບັນຍາກາດຫ້ອງຮຽນ.	Không khí lớp học.
ພາບ: ເກີ໊ມທຸຍ	Ảnh: Kem Thủy
ທີ່ຊຸດບໍາລຸງນີ້, ບັນດາພະນັກງານຮັບຜິດຊອບເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ ຈະມີກາລະໂອກາດແລກປ່ຽນ ແລະແບ່ງປັນບັນດາວິທີການປະຕິບັດຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວສານ ກໍ່ຄືບົດຮຽນການສ້າງແຜນຮ່າງເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານຢູ່ທ້ອງຖິ່ນຕົນຕາມກໍານົດທິດຂໍ້ຕົກລົງເລກທີ 117 ຂອງນາຍົກລັດຖະມົນຕີຢ່າງມີປະສິດທິຜົນ.	Tại buổi tập huấn này, các cán bộ phụ trách lĩnh vực công nghệ thông tin sẽ có cơ hội trao đổi, chia sẻ những thực tiễn về an toàn thông tin cũng như những bài học kinh nghiệm trong việc soạn thảo công nghệ thông tin tại địa phương theo Quyết định số 117 của Thủ tướng Chính phủ.
ຕາມບົດລາຍງານຈັດອັນດັບ “ດັດຊະນີຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວສານເຄືອຂ່າຍທົ່ວໂລກ (Global Cybersecurity Index - GCI) ປີ 2017 ແລ້ວ, ໃນ 6 ເດືອນຕົ້ນປີ 2017 ຂອງສຳພັນທະມິດໂທລະຄົມມະນາຄົມສາກົນ (ITU), ຫວຽດນາມ ຖືກຈັດຢູ່ອັນດັບທີ 100 ໃນຍອດຈຳນວນ 193 ປະເທດສະມາຊິກກ່ຽວກັບຄວາມສາມາດຮັບປະກັນຄວາມປອດໄພທາງເຄືອຂ່າຍອິນເຕີແນັດ ດ້ວຍ 0,245 ຄະແນນ.	Theo Chỉ số An ninh mạng Toàn cầu (GCI) năm 2017, trong sáu tháng đầu năm 2017 của Liên minh Viễn thông Quốc tế (ITU), Việt Nam được xếp thứ 100/193 quốc gia thành viên về an ninh mạng với 0,2 điểm.
ຢູ່ຫວຽດນາມ, ການເຄື່ອນໄຫວຫຼາຍຢ່າງຂອງຂະແໜງການສຶກສາໄດ້ຫັນເປັນເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ: ບົດສອນເອເລັກໂຕນິກ, ປຶ້ມປະເມີນຜົນການຮຽນເອເລັກໂຕນິກ, ວຽກງານການຮຽນ-ການສອນ, ການເຊື່ອມຕໍ່ລະຫວ່າງໂຮງຮຽນ, ພໍ່ແມ່ນັກ ຮຽນໄດ້ປະຕິບັດຜ່ານບັນດາລະບົບການຄຸ້ມຄອງໂຮງຮຽນ SMAS...	Tại Việt Nam, nhiều hoạt động của ngành giáo dục đã được chuyển đổi sang công nghệ thông tin: bài giảng điện tử, sách đánh giá học tập điện tử, công tác dạy - học, liên kết nhà trường, cha mẹ học sinh thông qua hệ thống quản lý trường học SMAS ...
ສະນັ້ນຖ້າຫາກບັນຫາຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວ ສານບໍ່ໄດ້ຮັບການເອົາໃຈໃສ່ເປັນພິເສດຈະຊ້ອນແຝງຄວາມສ່ຽງຂອງການສູນເສຍຂໍ້ມູນຫຼາຍຢ່າງ, ຖືກແຊກຊຶມ ແລະຖືກທຳ ລາຍ, ສົ່ງຜົນສະທ້ອນເຖິງນັກຮຽນ, ນັກສຶກສານັບລ້ານຄົນ.	Vì vậy vấn đề bảo mật thông tin nếu không được coi trọng sẽ dẫn đến nguy cơ mất mát, xâm nhập và phá hủy dữ liệu, ảnh hưởng đến hàng triệu học sinh, sinh viên.
ໃນສະພາບການນັ້ນ, ຊຸດບໍາລຸງສ້າງແນໃສ່ຍົກສູງຄວາມຮັບຮູ້ ແລະປະກອບຄວາມຮູ້ຄວາມປອດໄພດ້ານຂໍ້ມູນຂ່າວສານພື້ນ ຖານໃຫ້ແກ່ພະນັກງານສະເພາະກິດຂອງຂະແໜງການສຶກສາແມ່ນສໍາຄັນທີ່ສຸດ ແລະຄວນໄດ້ຮັບການທະວີຄູນກວ່າອີກ.	Trong bối cảnh đó, gói đào tạo nhằm nâng cao nhận thức và cung cấp nhận thức cơ bản về an toàn thông tin cho đội ngũ cán bộ đặc biệt của ngành giáo dục là hết sức quan trọng và cần được nâng cao hơn nữa.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
