ກປ.ອອນໄລ - ນັບແຕ່ປີ 2021 ເປັນຕົ້ນໄປ, ຫວຽດນາມ ຈະຜັນຂະຫຍາຍເຄືອຂ່າຍ 5ຈີ ໃນບໍລິເວນກວ້າງຂວາງ.	KPR Online - Từ năm 2021 trở đi, Việt Nam sẽ triển khai mạng 5G trên diện rộng.
ດ້ວຍທ່າແຮງທີ່ໂດດເດັ່ນ, ຜັນຂະຫຍາຍເຄືອຂ່າຍ 5ຈີ ທີ່ແຕກຕ່າງເມື່ອທຽບໃສ່ລຸ້ນເຄືອຂ່າຍມືຖືກ່ອນໜ້ານັ້ນ.	Với tiềm năng vượt trội, triển khai mạng 5G khác biệt so với thế hệ mạng di động trước đây.
5ຈີ ຕ້ອງການຂັ້ນຕອນຜັນຂະຫຍາຍເທື່ອລະກ້າວ, ມັນແຕກຕ່າງກັບ 3ຈີ, 4ຈີ, ພ້ອມກັນນັ້ນແມ່ນມີແຜນຜັງຄວາມຖີ່ຢ່າງເໝາະສົມ.	5G yêu cầu triển khai từng bước, nó khác với 3G, 4G và cũng có gói tần số phù hợp.
ນອກຈາກນັ້ນ, ຄວນເອົາໃຈໃສ່ສືບຕໍ່ຍົກລະດັບຄຸນນະພາບເຄືອຂ່າຍ 4ຈີ ຂຶ້ນຕື່ມຍ້ອນວ່າໃນສອງສາມປີຈະມາເຖິງນີ້ 4ຈີ ຈະສວມບົດບາດສໍາຄັນ ແລະຖືວ່າແມ່ນພື້ນຖານເພື່ອສ້າງເຄືອຂ່າຍ 5ຈີ.	Ngoài ra, cần chú trọng nâng cao hơn nữa chất lượng mạng 4G, vì trong vài năm tới, 4G sẽ đóng vai trò quan trọng và được coi là cơ sở để xây dựng mạng 5G.
ທ່ານ Michael Jiang ຜູ້ອໍານວຍການເຕັກໂນໂລຢີ Huawei ຫວຽດນາມ ໃຫ້ຮູ້ວ່າ ປະຈຸບັນມີ 140 ບໍລິສັດໂທລະຄົມມະນາຄົມຢູ່ 61 ປະເທດໃນໂລກຜັນຂະຫຍາຍເຄືອຂ່າຍ 5ຈີ.	Ông Michael Jiang, Giám đốc Công nghệ Huawei Việt Nam cho biết, hiện có 140 công ty viễn thông tại 61 quốc gia trên thế giới triển khai mạng 5G.
ຄຽງຂ້າງນັ້ນ, ໃນທົ່ວໂລກມີຜູ້ໃຊ້ເຄືອຂ່າຍມືຖືລຸ້ນທີ 5 ປະມານ 260 ລ້ານຄົນ.	Ngoài ra, có khoảng 260 triệu người dùng mạng di động thế hệ thứ năm trên toàn thế giới.
ບໍລິສັດໃຫຍ່ເຄືອຂ່າຍ Viettel ຜັນຂະຫຍາຍພື້ນຖານໂຄງລ່າງເຄືອຂ່າຍ 5ຈີ.	Mạng Viettel Triển khai Hạ tầng Mạng 5G
ພາບ: ຍືກີ່ງ.	Ảnh: Yu Kinh
ລະດັບພັດທະນາເຄືອຂ່າຍ 5ຈີ ໃນສອງປີຜ່ານມາແມ່ນໄປໄກກວ່າການຄາດຄະເນ.	Mức độ phát triển của mạng 5G trong hai năm gần đây đã vượt xa mong đợi.
ຕາມການຄົ້ນຄວ້າຂອງສະຖາບັນຍຸດທະສາດຖະແຫຼງຂ່າວ ແລະສື່ສານ, ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ແລ້ວ, ຄາດຄະເນວ່າໃນປີ 2025, 5ຈີ ຈະປະກອບສ່ວນກວ່າ 7% ເຂົ້າໃນລະດັບເຕີບໂຕ GDP ຂອງຫວຽດນາມ.	Theo nghiên cứu của Viện Chiến lược Thông tin và Truyền thông, Bộ Thông tin và Truyền thông Việt Nam, ước tính đến năm 2025, 5G sẽ đóng góp hơn 7% vào tăng trưởng GDP của Việt Nam.
ທ່ານ ທ່ຽວເຟືອງນາມ ຜູ້ອຳນວຍການໃຫຍ່ Qualcomm ຜູ້ຮັບຜິດຊອບພາກພື້ນອິນດູຈີນ ໃຫ້ຂໍ້ສັງເກດວ່າ: “ນີ້ແມ່ນເຕັກໂນໂລຢີເຄືອຂ່າຍມືຖືໃນປະຈຸບັນມີບາງປະເທດເທົ່ານັ້ນທີ່ສາມາດສຳຜັດໄດ້.	"Đây là công nghệ mạng di động hiện nay mà chỉ một số quốc gia có thể chạm tới", ông Tour Phương Nam, Giám đốc Qualcomm khu vực Đông Dương cho biết.
ພື້ນຖານໂຄງລ່າງ 5ຈີ ມີບົດບາດສຳຄັນໃນຍຸດທະສາດການຫັນປ່ຽນດີຈີຕອນແຫ່ງຊາດ ກໍ່ຄືເຕັກໂນໂລຢີ 4.0.	Hạ tầng 5G đóng vai trò quan trọng trong chiến lược chuyển đổi số quốc gia cũng như công nghệ 4.0.
ຄັ້ງທໍາອິດທີ່ຫວຽດນາມ ຜັນຂະຫຍາຍເຕັກໂນໂລຢີໃໝ່ມີການນໍາໃຊ້ຜະລິດຕະພັນ, ອຸປະກອນ "Make in Vietnam" ໄວຄືແນວນັ້ນ.	Lần đầu tiên tại Việt Nam, công nghệ "Make in Vietnam" được giới thiệu với việc sử dụng các sản phẩm và thiết bị mới.
ທ່ານ ທ່ຽວເຟືອງນາມ ຖືວ່າ 5ຈີ ບໍ່ພຽງແຕ່ໄດ້ນຳໃຊ້ໃນໂທລະສັບມືຖືເທົ່ານັ້ນ, ບັນດາວິສາຫະກິດພາຍໃນປະເທດຄວນເອົາໃຈໃສ່ເປັນພິເສດເຖິງການກໍ່ສ້າງພື້ນຖານວັດຖຸໂດຍອີງໃສ່ 5ຈີ ຄືດັ່ງບັນດາໂຮງງານອັດສະລິຍະເພື່ອມີກາລະໂອກາດໄດ້ນໍາໃຊ້, ເຜີຍແຜ່ເຕັກໂນໂລຢີນີ້.	Ông cho rằng, 5G không chỉ ứng dụng trong điện thoại di động mà các doanh nghiệp trong nước cũng cần đặc biệt quan tâm đến việc xây dựng cơ sở hạ tầng dựa trên 5G như nhà máy thông minh để có cơ hội sử dụng và phổ biến công nghệ này.
ພາຍຫຼັງທີ່ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານອະນຸຍາດໃຫ້ທົດລອງ, ບັນດາຫົວໜ່ວຍສະໜອງບໍລິການໂທລະຄົມມະນາຄົມໃຫຍ່ຢູ່ຫວຽດນາມ ໄດ້ຜັນຂະຫຍາຍການທົດລອງສັນຍານເຄືອຂ່າຍມືຖືລຸ້ນໃໝ່ 5ຈີ ແລະບັນລຸໄດ້ໝາກຜົນຢ່າງຕັ້ງໜ້າ.	Sau khi Bộ Thông tin và Truyền thông phê duyệt thử nghiệm, các nhà cung cấp dịch vụ viễn thông lớn tại Việt Nam đã thử nghiệm thành công tín hiệu mạng di động 5G mới và đạt được kết quả tốt.
ຕາມໝາກຜົນແລ້ວ, ນັບແຕ່ປີ 2021 ເປັນຕົ້ນໄປ, ຫວຽດນາມ ຈະຜັນຂະຫຍາຍເຄືອຂ່າຍ 5ຈີ ໃນບໍລິເວນກວ້າງຂວາງແນໃສ່ບັນລຸໄດ້ເປົ້າໝາຍກາຍເປັນໜຶ່ງໃນບັນດາປະເທດສໍາເລັດການທົດລອງເຕັກໂນໂລຢີ 5ຈີ ໃນໂລກ.	Do đó, từ năm 2021 trở đi, Việt Nam sẽ mở rộng mạng 5G để đạt mục tiêu trở thành một trong những quốc gia trên thế giới đã hoàn thành thử nghiệm công nghệ 5G.
ເມື່ອແບ່ງປັນທັດສະນະກ່ຽວກັບບັນຫານີ້, ທ່ານ ຫງວຽນຟອງຫຍ໊າ ຮອງຫົວໜ້າກົມໂທລະຄົມມະນາຄົມ (ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານ) ສະແດງວ່າ 5ຈີ ຄວນຜັນຂະຫຍາຍໃຫ້ມີຄວາມກົມກຽວ, ຕອບສະໜອງເປົ້າໝາຍໃຫຍ່ຂອງປະເທດ ກໍ່ຄືຄວາມຕ້ອງການຜູ້ໃຊ້.	Chia sẻ quan điểm về vấn đề này, ông Nguyễn Phong Nhã, Phó Tổng cục trưởng Tổng cục Viễn thông (Bộ Thông tin và Truyền thông) cho rằng, 5G cần được triển khai hài hòa để đáp ứng các mục tiêu lớn của đất nước cũng như nhu cầu của người tiêu dùng.
ພ້ອມທັງຕ້ອງສອດຄ່ອງກັບຄວາມເປັນຈິງທີ່ພວມຜັນຂະຫຍາຍເຕັກໂນໂລຢີໃນປະຈຸບັນຂອງບັນດາບໍລິສັດໂທລະຄົມມະນາຄົມ;	Ngoài ra, phải phù hợp với thực tế công nghệ kỹ thuật của các công ty viễn thông hiện nay;
ສ້າງຄວາມກົມກຽວລະຫວ່າງສິດຜົນປະໂຫຍດຂອງລັດ, ຜູ້ໃຊ້ ແລະວິສາຫະກິດໂທລະຄົມມະນາຄົມ.	Bảo đảm hài hòa lợi ích của nhà nước, người tiêu dùng và doanh nghiệp viễn thông.
5ຈີ ຈະໄດ້ຜັນຂະຫຍາຍໄປຕາມແຕ່ລະບາດກ້າວ, ຈາກບ່ອນທີ່ມີຄວາມຕ້ອງການຫຼາຍ, ຄື: ນະຄອນໃຫຍ່, ເຂດອຸດສາຫະກໍາຕ່າງປະເທດທີ່ມີຄວາມຕ້ອງການຢາກລົງທຶນໃນລະບົບຜະລິດອັດສະລິຍະ.	5G sẽ được triển khai từng bước, từ những nơi có nhu cầu cao như các thành phố lớn, các khu công nghiệp nước ngoài với mong muốn đầu tư vào các hệ thống sản xuất thông minh.
ຕໍ່ຈາກນັ້ນຈະເປີດກວ້າງໄປຫາຂົງເຂດອື່ນ.	Sau đó nó sẽ mở rộng sang các khu vực khác.
ເວລາຕໍ່ໄປຕື່ມອີກພາຍຫຼັງທີ່ເຕັກໂນໂລຢີສຸກງອມ, ລາຄາຫຼຸດລົງ, ອຸປະກອນ ແລະ 5ຈີ ຈະກາຍເປັນທີ່ນິຍົມ.	Thời gian tới, khi công nghệ tiến bộ, giá giảm và các thiết bị 5G trở nên phổ biến hơn.
ບັນດານັກຊ່ຽວຊານຖືວ່າ, ການອອກຂໍ້ຕົກລົງອະນຸຍາດໃຫ້ທົດລອງ 5ຈີ ໃນປີ 2020 ແມ່ນຖືກຕ້ອງຕາມຈຸດເວລາ, ຍ້ອນກ່ອນໜ້ານັ້ນຕອນເລີ່ມຕົ້ນເຮັດ 4ຈີ, ນັກວາງແຜນກຳນົດໄດ້ປຶກສາຫາລືກ່ຽວກັບລຸ້ນຕໍ່ໄປ.	Theo các chuyên gia, việc ban hành thỏa thuận cho phép thử nghiệm 5G vào năm 2020 là kịp thời, bởi trước khi ra mắt 4G, các nhà hoạch định đã thảo luận về thế hệ tiếp theo.
ຮອດປີ 2020, ໄດ້ມີມາດຕະຖານເຕັກໂນໂລຢີ 5ຈີ ແລ້ວ ແລະບັນດາອົງການຈັດຕັ້ງສາກົນກໍ່ຍົກອອກຫຼາຍຂໍ້ສະເໜີແນະທີ່ເໝາະສົມ.	Đến năm 2020, các tiêu chuẩn công nghệ 5G đã đạt được và các tổ chức quốc tế đã đưa ra một số khuyến nghị phù hợp.
ຕາມທ່ານ ເລນາມທັ໊ງ ອະດີດຮອງລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ແລ້ວ, ຂັ້ນຕອນ 5ຈີ ປະຈຸບັນພວມໄປຖືກທິດ.	Theo ông Lê Nam Thắng, nguyên Thứ trưởng Bộ Thông tin và Truyền thông Việt Nam, giai đoạn 5G hiện đang đi đúng hướng.
ການຜັນຂະຫຍາຍເຄືອຂ່າຍ 5ຈີ ຖືກຈຸດເວລາຈະເສີມຂະຫຍາຍຢ່າງມີປະສິດທິຜົນດີທີ່ສຸດ, ຮັບປະກັນຜົນປະໂຫຍດລວມທົ່ວສັງຄົມ.	Việc triển khai mạng 5G kịp thời sẽ nâng cao hiệu quả nhất, đảm bảo lợi ích chung của xã hội.
ກ່ຽວກັບຝ່າຍວິສາຫະກິດ, ທ່ານ ເລບ໊າເຕິນ ຮອງຜູ້ອໍານວຍການບໍລິສັດໃຫຍ່ເຄືອຂ່າຍ Viettel (ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ) ໃຫ້ຮູ້ວ່າ ສ່ວນທ່ານຄິດວ່າໃນປະມານ 5 ປີຈະມາເຖິງ, ເຄືອຂ່າຍ 4ຈີ ຍັງມີສວມບົດບາດຕົ້ນຕໍ.	Về phía doanh nghiệp, ông Lê Bá Tân, Phó Tổng Giám đốc Viettel Networks (Tập đoàn Công nghiệp-Viễn thông Quân đội) cho biết, cho rằng trong 5 năm tới, mạng 4G vẫn sẽ đóng vai trò chính.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຖ້າບໍ່ລົງທຶນ 5ຈີ, ຫວຽດນາມ ຈະຊັກຊ້າໃນການຮັບເອົາການລົງທຶນຈາກບັນດາວິສາຫະກິດ FDI.	Tuy nhiên, nếu không có đầu tư 5G, Việt Nam sẽ chậm chấp nhận đầu tư từ các doanh nghiệp FDI.
ຍ້ອນແນວ ນັ້ນ, ບໍ່ພຽງແຕ່ສະເພາະ Viettel ເທົ່ານັ້ນ ຫາກບັນດາວິສາຫະກິດໂທລະຄົມມະນາຄົມອື່ນ ກໍ່ລ້ວນແຕ່ຮັກສາຍຸດທະສາດນັ້ນໄວ້ ໃຫ້ມີຄວາມຮັບປະກັນ, ຍົກລະດັບເຄືອຂ່າຍ 4 ແລະສືບຕໍ່ຜັນຂະຫຍາຍເຄືອຂ່າຍ 5ຈີ ຕາມແຜນການ.	Do đó, không chỉ Viettel mà các công ty viễn thông khác đang bám sát chiến lược đó, nâng cấp lên Mạng 4 và tiếp tục triển khai mạng 5G theo kế hoạch.
ທ່ານ ເລນາມທັ໊ງ ໃຫ້ຮູ້ວ່າ 5ຈີ ບໍ່ແມ່ນເຕັກໂນໂລຢີທົດແທນທີ່ສົມບູນໃຫ້ 3ຈີ, 4ຈີ ແຕ່ແມ່ນການສືບທອດ ແລະຄຽງຄູ່ກັນໄປ, ບັນດາເຄືອຂ່າຍເຫຼົ່ານີ້ໄດ້ໜູນຊ່ວຍກັນສະນັ້ນແຜນຜັງ 5ຈີ ຍັງຕ້ອງການຄວາມຖີ່ໃຫ້ 4ຈີ ແລະຊ້ຳບໍ່ໜໍາແມ່ນ 3ຈີ ເຖິງວ່າ 5ຈີ ຕ້ອງການປະລິມານຄວາມຖີ່ສູງກວ່າກໍ່ຕາມ.	Ông nói rằng 5G không phải là công nghệ thay thế hoàn toàn cho 3G và 4G, nhưng là công nghệ kế thừa và cùng với đó, các mạng này đã tăng lên gấp bội, vì vậy gói 5G vẫn yêu cầu 3G và tất nhiên là 3G, thậm chí là tần số cao hơn.
ໜຶ່ງໃນບັນດາເງື່ອນໄຂຕັດສິນຊີ້ຂາດເມື່ອຜັນຂະຫຍາຍເຕັກໂນໂລຢີໃໝ່ແມ່ນຕ້ອງມີມາດຕະຖານ, ຄວາມຖີ່ຂອງແອັບພຼີເຄຊັນ ແລະອຸປະກອນ.	Một trong những tiêu chí quyết định khi triển khai một công nghệ mới là tiêu chuẩn, tần suất và tần suất của các ứng dụng và thiết bị.
ກ່ຽວກັບຄວາມຖີ່, ຫວຽດນາມ ໄດ້ມີການກະກຽມເບື້ອງຕົ້ນ.	Về tần suất, Việt Nam đã có những bước chuẩn bị sơ bộ.
ອົງການຄຸ້ມຄອງຄວນຕ້ອງພິຈາລະນາການວາງແຜນຜັງຄວາມຖີ່ແນວໃດໃຫ້ 5ຈີ ແລະ 4ຈີ.	Các cơ quan quản lý nên xem xét cách lập kế hoạch tần số 5G và 4G.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
