ກປ.ອອນໄລ - ໃນຕະຫຼອດປີຜ່ານມາ, ໂລກຍັງຄົງປະເຊີນໜ້າກັບພະຍາດໂຄວິດ-19.	Trong năm qua, thế giới đã bị ảnh hưởng bởi bệnh Kovid-19.
ພາຍຫຼັງຄວາມເຄັ່ງຕຶງໃນເບື້ອງຕົ້ນ, ຫວຽດນາມ ຊອກໄດ້ບັນດາມາດຕະການຄວບຄຸມພະຍາດໂຄວິດ-19 ຢ່າງມີປະສິດທິຜົນ, ບໍ່ປະໃຫ້ພະຍາດໂຄວິດ-19 ແຜ່ລະບາດໃນຊຸມຊົນ.	Sau những căng thẳng ban đầu, Việt Nam đã tìm ra những biện pháp hữu hiệu để kiểm soát dịch bệnh và ngăn chặn dịch bệnh lây lan trong cộng đồng.
ພິເສດ, ໃນຊຸມວັນທ້າຍປີ, ບັນດາວັກຊິນ “make in Vietnam ເຂັ້ມທໍາອິດຖືກສັກທົດລອງໃສ່ຄົນ, ສິ່ງທີ່ບັນດາປະເທດພັດທະນາຢູ່ໃນໂລກໜ້ອຍປະເທດສາມາດເຮັດໄດ້.	Đặc biệt, vào thời điểm cuối năm, vắc xin “made in Vietnam” lần đầu tiên được thử nghiệm trên người, điều mà các nước phát triển trên thế giới đều làm được.
ດ້ວຍຜົນສຳເລັດດັ່ງກ່າວ, ຫວຽດນາມ ໄດ້ຮັບການຕີລາຄາຈາກອົງການອະນາໄມໂລກ (WHO) ແລະປະຊາຄົມສາກົນວ່າເປັນ "ຮູບແບບ" ຕ້ານພະຍາດໂຄວິດ-19 ຢ່າງມີປະສິດທິຜົນ.	Chính vì vậy, Việt Nam đã được Tổ chức Y tế Thế giới (WHO) và cộng đồng quốc tế ca ngợi là “hình mẫu” hiệu quả cho cuộc chiến chống lại quiver-19.
ລັດຖະນະໂຍບາຍຖືກຕ້ອງ, ທົ່ວປະເທດຮ່ວມຈິດຮ່ວມໃຈ	Chủ trương đúng, cả nước thống nhất.
ເມື່ອໄດ້ຮັບຂໍ້ມູນກ່ຽວກັບກໍລະນີຕິດເຊື້ອພະຍາດໂຄວິດ-19 ທໍາອິດໃນໂລກ, ພັກ ແລະລັດຫວຽດນາມ ໄດ້ມີການຊີ້ນໍາຢ່າງຂ້ຽວຂາດ ແລະຖືກຕ້ອງ, ນຳມາເຊິ່ງປະສິດທິຜົນໃນວຽກງານປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ດ້ວຍທັດສະນະຖືວຽກງານສົ່ງເສີມ, ຮັກສາສຸຂະພາບໃຫ້ປະຊາຊົນແມ່ນສຳຄັນທີ່ສຸດ.	Khi nhận được thông tin về trường hợp nhiễm HIV-19 đầu tiên trên thế giới, Đảng và Nhà nước Việt Nam đã có chỉ đạo chặt chẽ, chính xác về công tác phòng, chống HIV-19 có hiệu quả, nhằm tăng cường chăm sóc sức khỏe cho nhân dân.
ພ້ອມກັບການເຂົ້າຮ່ວມຂອງທັງລະບົບການເມືອງ ແລະກຳລັງດ່ານໜ້າແມ່ນການແພດ, ກອງທັບ...	Với sự vào cuộc của cả hệ thống chính trị, các chốt biên phòng là quân y, quân y ...
ສັກທົດລອງວັກຊິນປ້ອງກັນໂຄວິດ-19 ໃສ່ຄົນ ຢູ່ວິທະຍາຄານການແພດ.	Thử nghiệm vắc-xin Kovid-19 cho những người ở trường y.
ພາບ: ຫວໍ໋ທູ.	Ảnh: Võ Thu
ຫວຽດນາມ ໄດ້ສ້າງຄວາມປະທັບໃຈຢ່າງເລິກເຊິ່ງຕໍ່ເພື່ອນມິດສາກົນກ່ຽວກັບປະເທດທີ່ໄດ້ສາມັກຄີກັນ, ຮ່ວມແຮງຮ່ວມໃຈພ້ອມກັບລັດຖະບານຍົກສູງຈິດໃຈ “ຕ້ານພະຍາດຄືຕ້ານສັດຕູ , “ປະຊາຊົນແຕ່ລະຄົນລ້ວນແຕ່ແມ່ນນັກຮົບຕ້ານພະຍາດ.	Việt Nam đã để lại ấn tượng sâu sắc với bạn bè quốc tế về một đất nước đoàn kết, chung sức cùng chính phủ nêu cao tinh thần “đánh giặc như giặc”, toàn dân chống bệnh tật.
ທ່ານ ປອ.	Ông Po.
