ກປ.ອອນໄລ - ມື້ນີ້ແມ່ນມື້ສະເຫຼີມສະຫຼອງ 30 ປີແຫ່ງວັນສະຖາປະນາສະຫະພັນລັດເຊຍ (12-6-1990 / 12-6-2020).	KPR Online - Hôm nay là kỷ niệm 30 năm Ngày thành lập Liên bang Nga (12-6-1990 / 12-6-2020).
ຜ່ານໄລຍະປະຫວັດສາດ, ປະເທດລັດເຊຍ ໃນປະຈຸບັນພວມພັດທະນາຢ່າງໝັ້ນຄົງເຂັ້ມແຂງໃນຫຼາຍຂົງເຂດ.	Trong suốt chiều dài lịch sử, nước Nga đã và đang phát triển mạnh mẽ trên nhiều lĩnh vực.
ເນື່ອງໃນໂອກາດນີ້, ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນຳເຖິງເພື່ອນຜູ້ອ່ານບົດຂຽນຂອງທ່ານ Konstantin V.Vnukov ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອຳນາດເຕັມແຫ່ງສະຫະພັນລັດເຊຍ ປະຈຳ ຫວຽດນາມ.	Nhân dịp này, Báo Quân đội nhân dân Việt Nam trân trọng giới thiệu bài viết của ông Konstantin V. Vnukov, Đại sứ đặc mệnh toàn quyền Liên bang Nga tại Việt Nam.
ວັນຊາດຂອງລັດເຊຍ ໄດ້ສະເຫຼີມສະຫຼອງໃນວັນທີ 12 ມິຖຸນາ.	Ngày Quốc khánh của Nga được tổ chức vào ngày 12 tháng 6.
ກ່ອນໜ້ານີ້ 30 ປີໃນວັນທີ 12 ມິຖຸນາ 1990, ຖະແຫຼງການກ່ຽວກັບອະທິປະໄຕແຫ່ງລັດຂອງສະຫະພັນລັດເຊຍ-ບົດຖະແຫຼງການໄດ້ສ້າງພື້ນຖານໃຫ້ແກ່ການເປີດຍຸກສະໄໝໃໝ່ໃນປະຫວັດສາດຍຸກປະຈຸບັນຂອງປະເທດພວກຂ້າພະເຈົ້າ-ໄດ້ຮັບການຮັບຮອງເອົາ.	Cách đây 30 năm, ngày 12/6/1990, Tuyên bố về chủ quyền của Liên bang Nga - Tuyên ngôn đặt nền móng mở ra kỷ nguyên mới trong lịch sử hiện đại của nước ta - đã được thông qua.
ໃນວັນນີ້, ພວກຂ້າພະເຈົ້າໄດ້ຈັດຕັ້ງພິທີສະເຫຼີມສະຫຼອງປະເທດລັດເຊຍ-ແມ່ນປະເທດດ້ວຍພື້ນຖານປະຫວັດສາດຫຼາຍສະຕະວັດ, ເຕັມໄປດ້ວຍໄຊຊະນະທີ່ສະຫງ່າລາສີ ແລະສິ່ງທ້າທາຍ;	Hôm nay, chúng ta kỷ niệm nước Nga - đất nước có bề dày lịch sử hàng thế kỷ, với đầy rẫy những chiến thắng và thách thức vẻ vang;
ແມ່ນປະເທດໜຶ່ງທີ່ໄດ້ອຸທິດສ່ວນໃຫ້ແກ່ໂລກກ່ຽວກັບບັນດາແບບຢ່າງທີ່ບໍ່ສາມາດປຽບທຽບໄດ້ກ່ຽວກັບຄວາມພິລະອາດຫານ, ຈິດໃຈຍອມເສຍສະຫຼະຊີວິດ, ກຳລັງແຮງຂອງຈິດໃຈໃນບັນດາຂົງເຂດການທະຫານ, ການອອກແຮງງານ ແລະພົນລະເຮືອນ;	Là một đất nước cống hiến cho thế giới về những tấm gương không gì sánh được về sự trong sạch, hy sinh quên mình và sức mạnh tinh thần trong quân đội, lao động và dân sự;
ແມ່ນປະເທດໜຶ່ງທີ່ໄດ້ສ້າງສິລະປະກຳ, ວັດທະນະທຳທີ່ພົ້ນເດັ່ນ, ການປະດິດແຕ່ງທາງວິທະຍາສາດໄດ້ນຳມາເຊິ່ງການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງເຂົ້າໃນຄວາມກ້າວໜ້າຂອງມວນມະນຸດ ແລະການຮັກສາພື້ນຖານສັນຕິພາບ ແລະສະຖຽນລະພາບໃນໜ່ວຍພິພົບຂອງພວກເຮົາ.	Đây là một quốc gia đã tạo ra nghệ thuật, văn hóa và phát minh khoa học xuất sắc, đóng góp to lớn vào sự tiến bộ của nhân loại và duy trì hòa bình và ổn định trên thế giới của chúng ta.
ທ່ານ Konstantin V.Vnukov ເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອຳນາດເຕັມແຫ່ງສະຫະພັນລັດເຊຍ ປະຈຳ ຫວຽດນາມ.	Konstantin V. Vnukov, Đại sứ đặc mệnh toàn quyền Liên bang Nga tại Việt Nam
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ໃນໄລຍະຫຼັງໂຊວຽດ, ປະເທດລັດເຊຍ ໄດ້ຜ່ານຜ່າບັນດາຄວາມຫຍຸ້ງຍາກບໍ່ແມ່ນໜ້ອຍຍ້ອນບັນດາການປ່ຽນແປງທີ່ເປັນພື້ນຖານແຕ່ວ່າບໍ່ແມ່ນວ່າເວລາໃດກໍ່ມີຄວາມສະດວກ.	Thời kỳ hậu Xô Viết, nước Nga vượt qua khó khăn không chỉ vì những thay đổi cơ bản mà không phải lúc nào cũng thuận lợi.
