ກປ.ອອນໄລ - ທັດສະນະຂອງ Viettel ແມ່ນບໍ່ຈໍາແນກເກນອາຍຸ.	KR Online - Quan điểm của Viettel là không phân biệt tuổi tác.
ສະນັ້ນຢູ່ Viettel, ອາຍຸ 30 ກວ່າປີກໍ່ເປັນຜູ້ອໍານວຍການໃຫຍ່, ຮອງຜູ້ອໍານວຍກາຍໃຫຍ່ຫຼາຍພໍສົມຄວນ.	Như vậy ở Viettel, ngoài 30 tuổi cũng đã là TGĐ, Phó TGĐ khá nhiều.
ພວກຂ້າພະເຈົ້າຖືການຄຸ້ມຄອງກໍ່ຄືອາຊີບໜຶ່ງ.	Chúng tôi coi quản lý là một nghề.
“ໄວໜຸ່ມຢືນຢູ່ຈອມພູນີ້ຄວນເບິ່ງໄປຍັງຈອມພູອື່ນທີ່ສູງກວ່າ	“Tuổi trẻ đứng đỉnh núi này nên nhìn núi khác cao hơn
ເຄີຍໄຝ່ຝັນຢາກກາຍເປັນນັກວິຊາການທີ່ເຮັດວຽກງານຄົ້ນຄວ້າຢູ່ສະຖາບັນວິທະຍາສາດ ແລະເຕັກໂນໂລຢີການທະຫານ, ແຕ່ວາດສະໜາໄດ້ນໍາທ່ານພົນຈັດຕະວາ ເລດັງຢູ໋ງ ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດ Viettel ສໍາຜັດກັບບາດລ້ຽວໃຫຍ່ທີ່ສຸດໃນຊີວິດ, ເພິ່ນເຮັດວຽກໃຫ້ Viettel-ຍາມນັ້ນຍັງແມ່ນບໍລິສັດນ້ອຍຂອງກອງທັບຕັ້ງແຕ່ຊຸມວັນທຳອິດ, ແລ້ວໆກໍ່ຕິດພັນກັບ Viettel ມາເປັນເວລາຕະຫຼອດໄລຍະກວ່າ 20 ປີ.	Từng mơ ước trở thành nhà khoa học nghiên cứu tại Viện Khoa học và Công nghệ Quân sự, nhưng Vatsa đã khiến Trung tướng Lê Đăng Dũng, Phó Tổng Giám đốc Tập đoàn Viettel trải qua bước ngoặt lớn nhất cuộc đời.
ປະມານປີ 2000, Viettel ເລີ່ມຕົ້ນເຂົ້າຮ່ວມຕະຫຼາດໂທລະຄົມມະນາຄົມດ້ວຍການບໍລິການ 178.	Khoảng năm 2000, Viettel bắt đầu tham gia thị trường viễn thông với 178 dịch vụ.
ນັ້ນແມ່ນເຕັກໂນໂລຢີໃໝ່ຢູ່ ຫວຽດນາມ, ສະນັ້ນມັນກໍ່ໃໝ່ສໍາລັບພວກຂ້າພະເຈົ້າ.	Đó là công nghệ ở Việt Nam, vì vậy nó là khát vọng của chúng tôi.
ວິທີດີທີ່ສຸດເພື່ອຮັບປະກັນການເຄື່ອນໄຫວໃຫ້ລຸລ່ວງນັ້ນແມ່ນຍາມໃດກໍ່ປະຈໍາການທັງເວັນ ແລະຄືນຢູ່ຂ້າງຫ້ອງເຄື່ອງຈັກ.	Cách tốt nhất để đảm bảo sự di chuyển phù hợp là túc trực cả ngày lẫn đêm tại buồng máy.
ປີ 2004, Viettel ຜັນຂະຫຍາຍການເຄື່ອນທີ່, ເມື່ອຮອດປີ 2006 ໄດ້ຄິດເຖິງເລື່ອງອອກໄປຕ່າງປະເທດເມື່ອມີຄົນແນະນໍາໃຫ້ໄປປະເທດ ກໍາປູເຈຍ.	Năm 2004, Viettel chuyển địa điểm và đến năm 2006, anh đang nghĩ đến việc ra nước ngoài thì có người gợi ý anh sang Campuchia.
ຫຼັງຈາກກັບມາແຕ່ ກໍາປູເຈຍ, ຂ້າພະເຈົ້າໄດ້ຮັບໜ້າທີ່ສ້າງຍຸດທະສາດ ແລະຮັບຜິດຊອບການສົ່ງເສີມລົງທຶນຕ່າງປະເທດ.	Sau khi trở về từ Campuchia, tôi được giao chiến lược và chịu trách nhiệm xúc tiến đầu tư nước ngoài.
ຊຸມວັນນັ້ນ, Viettel ຍັງບໍ່ທັນມີຊື່ສຽງຮຽງນາມຄືໃນປັດຈຸບັນເທື່ອ.	Ngày ấy, Viettel chưa nổi tiếng như bây giờ.
ທ່ານພົນຈັດຕະວາ ເລດັງຢູ໋ງ ຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດ Viettel.	Trung tướng Lê Đăng Dũng, Phó Tổng Giám đốc Tập đoàn Viettel.
ພາບ: ທູຮ່າ.	Ảnh: Thu Hà
ຂ້າພະເຈົ້າຮຽນຮູ້ຫຼາຍສິ່ງຫຼາຍຢ່າງ ແລະມີບົດຮຽນຫຼາຍທີ່ສຸດນັ້ນແມ່ນຍ້ອນຕົນເອງມີຄວາມອົດທົນສັງເກດການ.	Tôi học được nhiều và học được nhiều nhất vì tôi có đủ kiên nhẫn để quan sát.
ເຊັ່ນວ່າ, ພວກຂ້າພະເຈົ້າເຫັນບັນດາບໍລິສັດໃຫຍ່ໃນໂລກ, ເມື່ອໄປປະຕິບັດງານຢູ່ຕ່າງປະເທດ, ເຂົາເຈົ້າເລືອກບັນດາຖ້ຽວບິນຍາມຕອນຄໍ່າ, ເພື່ອວ່າເມື່ອເຮືອບິນລົງຈອດ, ເລີ່ມຕົ້ນເປັນວັນໃໝ່ແມ່ນສາມາດເຮັດວຽກໄດ້ເລີຍ.	Ví dụ, chúng ta thấy các công ty lớn trên thế giới khi ra nước ngoài đều chọn chuyến bay buổi tối, để khi máy bay hạ cánh là bắt đầu một ngày mới làm việc được.
ພວກຂ້າພະເຈົ້າໄດ້ຮຽນຮູ້ ແລະປະຕິບັດຕາມວິທີນີ້ຈົນມາຮອດປັດຈຸບັນ.	Chúng tôi đã tìm hiểu và làm theo phương pháp này cho đến tận bây giờ.
ທັດສະນະຂອງ Viettel ແມ່ນບໍ່ຈໍາແນກເກນອາຍຸ.	Quan điểm của Viettel là không phân biệt tuổi tác.
ສະນັ້ນຢູ່ Viettel, ອາຍຸ 30 ກວ່າປີກໍ່ເປັນຜູ້ອໍານວຍການໃຫຍ່, ຮອງຜູ້ອໍານວຍກາຍໃຫຍ່ຫຼາຍພໍສົມຄວນ.	Như vậy ở Viettel, ngoài 30 tuổi cũng đã là TGĐ, Phó TGĐ khá nhiều.
ພວກຂ້າພະເຈົ້າຖືການຄຸ້ມຄອງກໍ່ຄືອາຊີບໜຶ່ງ.	Chúng tôi coi quản lý là một nghề.
ສະນັ້ນ, ເມື່ອເຫັນຜູ້ໃດມີຄວາມສາມາດ, ຄະນະອໍານວຍການຈະມອບໃຫ້ເຂົາເຈົ້າໜ້າທີ່ຄຸ້ມຄອງ.	Vì vậy, khi phát hiện ai đó có năng lực, ban giám đốc sẽ giao cho họ trách nhiệm quản lý.
ຜູ້ໃດເຮັດໄດ້ຈະຮັກສາໄວ້, ຜູ້ໃດເຮັດບໍ່ໄດ້ຈະປ່ຽນວຽກອື່ນ.	Ai làm được thì giữ, ai không làm được thì chuyển nghề.
