ແຮກເກີກຳລັງຖະຫຼົ່ມໃສ່ອົງການຈັດຕັ້ງ, ອົງການວິສາຫະກິດ.	Tin tặc đang nhắm đến các tổ chức, doanh nghiệp.
ທ່ານ ຟ້າມຮົ່ງຫາຍ ເນັ້ນໜັກວ່າ, ບໍ່ພຽງແຕ່ຢູ່ ຫວຽດນາມ, ບັນດາການບຸກໂຈມຕີທາງອິນເຕີເນັດ, ບັນດາຂໍ້ມູນຂ່າວສານຊົ່ວຮ້າຍທາງອິນເຕີເນັດ...	Ông Phạm Hồng Hải nhấn mạnh, không chỉ ở Việt Nam, các cuộc tấn công mạng, thông tin xấu độc mạng ...
ໄດ້ ແລະພວມແມ່ນສິ່ງທ້າທາຍໃຫຍ່ຫຼວງຢູ່ຫຼາຍປະເທດ.	Có và không là một thách thức lớn ở nhiều quốc gia.
ປະຈຸບັນ, ຫຼາຍປະເທດໄດ້ມີຫຼາຍຂໍ້ກຳນົດກ່ຽວຂ້ອງເຖິງການນຳໃຊ້ອິນເຕີເນັດແນ່ໃສ່ຈຳກັດບັນດາຜົນກະທົບຫຍໍ້ທໍ້, ປົກປັກຮັກສາສິດສ່ວນຕົວ, ສະກັດກັ້ນການນຳໃຊ້ອິນເຕີເນັດໃຫ້ຈຸດປະສົງມ້າງເພທຳລາຍ, ການກໍ່ການຮ້າຍ.	Hiện nay, nhiều quốc gia đã có rất nhiều quy định liên quan đến việc sử dụng Internet, nhằm hạn chế tác động của quấy rối, bảo vệ quyền riêng tư, ngăn chặn việc sử dụng Internet với mục đích hủy hoại nội dung khiêu dâm.
ທ່ານ Pereric Hogberg ຕອບສຳພາດຕໍ່ສື່ມວນຊົນນອກເວທີປາໄສ VIF 2017.	Pereric Hogberg trả lời phỏng vấn giới truyền thông bên ngoài diễn đàn VIF 2017.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ຕອບສຳພາດສື່ມວນຊົນກ່ຽວກັບບັນຫາຂໍ້ຄວາມປອມໃນສະໄໝນີ້, ທ່ານເອກອັກຄະລັດຖະທູດ Pereric Hogberg ແບ່ງປັນວ່າ: ໃນສະໄໝຂໍ້ມູນຂ່າວສານລະເບີດຂຶ້ນຄືປະຈຸບັນ, ບົດບາດຂອງນັກຂ່າວ, ພິເສດແມ່ນບົດບາດຂອງຫົວໜ້າບັນນາທິການໃຫຍ່ສຳຄັນທີ່ສຸດ.	Phát biểu trước báo giới về vấn đề tin giả trong tuần này, Đại sứ Pereric Hogberg chia sẻ: Trong thời buổi bùng nổ thông tin như hiện nay, vai trò của các nhà báo mà cụ thể là vai trò của Tổng biên tập.
ຄຽງຂ້າງນັ້ນ, ບັນດາອົງການສື່ມວນຊົນຂອງ ຊູແອັດ ໄດ້ສ້າງຕັ້ງກຸ່ມໜຶ່ງເພື່ອກວດກາຄືນຂໍ້ມູນຂ່າວສານ ແລະມີການເຂົ້າຮ່ວມຂອງຜູ້ອ່ານ, ຜູ້ຊົມ ແລະຜູ້ຟັງພ້ອມກັບບັນດາອົງການ, ຄູ່ຮ່ວມມືກ່ຽວຂ້ອງເພື່ອເຫັນແຈ້ງ, ຊັດເຈນທີ່ສຸດກ່ຽວກັບເຫດ ການທີ່ເກີດຂຶ້ນ.	Ngoài ra, các cơ quan truyền thông của Thụy Điển đã thành lập một nhóm để xem xét thông tin và có sự tham gia của độc giả, người xem và người nghe, cũng như các tổ chức, đối tác để xem thông tin rõ ràng và rõ ràng nhất về những gì đã xảy ra.
“ພວກເຮົາທຸກຄົນກຳລັງນຳໃຊ້ເຄືອຂ່າຍສັງຄົມ, ສະນັ້ນກ່ອນທີ່ອັບເດັດຂໍ້ມູນຂ່າວສານເຂົ້າເຄືອຂ່າຍສັງຄົມ, ທາງອິນເຕີເນັດ, ຜູ້ນຳໃຊ້ຄວນນຶກຄິດຢ່າງເຖິງຖອງເພື່ອໃຫ້ຂໍ້ມູນຂ່າວສານນັ້ນມີປະໂຫຍດໃຫ້ແກ່ການສະໜອງຂໍ້ມູນຂ່າວສານຢ່າງເປີດເຜີຍ, ໂປ່ງໃສ.	“Tất cả chúng ta đều đang sử dụng mạng xã hội, vì vậy trước khi đưa thông tin lên mạng xã hội, mạng Internet, người dùng nên suy nghĩ kỹ để thông tin có ích cho việc lưu trữ thông tin một cách công khai, minh bạch.
ໃນລະຫວ່າງວັນທີ 27 ແລະ 28 ພະຈິກ, ບັນດານັກປາຖະກະຖາເຂົ້າຮ່ວມ VIF 2017 ໄດ້ສຸມໃສ່ປຶກສາຫາລືກ່ຽວກັບບັນດາບັນຫາຫຼັກຄື: “ລັດຖະບານເອເລັກໂຕນິກ , “ຂໍ້ມູນຂ່າວສານເປີດ , “ນະຄອນສະຫຼາດ ຫຼື “ສື່ສານທາງເຄືອຂ່າຍສັງຄົມ.	Từ ngày 27 đến ngày 28 tháng 11, các diễn giả tham dự VIF 2017 tập trung vào các vấn đề chính như: "chính phủ điện tử", thông tin mở, "thành phố thông minh" hay "truyền thông xã hội".
ດ້ວຍເນື້ອໃນຫຼາຍຮູບຫຼາຍແບບພ້ອມຮູບການຕິດຕໍ່ພົວພັນ, ເວທີປາໄສຄັ້ງນີ້ແມ່ນການປະກອບສ່ວນຕັ້ງໜ້າໃຫ້ແກ່ອະນາຄົດແຫ່ງການພັດທະນາອິນເຕີເນັດຂອງຫວຽດນາມ ໃນໄລຍະ 5-10 ປີຈະມາເຖິງ.	Với nội dung đa dạng và tương tác, diễn đàn này là một đóng góp tích cực cho tương lai phát triển Internet của Việt Nam trong 5 - 10 năm tới.
