ກປ.ອອນໄລ - ວັນທີ 28 ທັນວາ, ຄະນະພັກກົມໃຫຍ່ II ໄດ້ຈັດຕັ້ງວາລະປະຊຸມທ້າຍປີ 2017.	KPR Online - Ngày 28/12, Ban Chấp hành Trung ương Đảng khóa II họp kỳ cuối năm 2017.
ທ່ານພົນເອກ ໂງຊວນລິກ, ຮອງເລຂາຄະນະພັກການທະຫານສູນກາງ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນຊີ້ນໍາກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Phó Bí thư Quân ủy Trung ương, Bộ trưởng Bộ Quốc phòng Việt Nam phát biểu chỉ đạo tại buổi làm việc.
ທີ່ກອງປະຊຸມ, ທ່ານພົນເອກ ໂງຊວນລິກ ຮັບຮູ້ ແລະຕີລາຄາສູງໝາກຜົນແຫ່ງການຊີ້ນໍາ, ນໍາພາການປະຕິບັດໜ້າທີ່ຂອງຄະນະພັກກົມໃຫຍ່ II ໃນປີ 2017.	Tại buổi làm việc, Thượng tướng Ngô Xuân Lik ghi nhận và đánh giá cao kết quả chỉ đạo, lãnh đạo thực hiện nhiệm vụ của Ban Chấp hành Trung ương Đảng khóa II trong năm 2017.
ທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ຫວຽດນາມ ກ່າວຄໍາເຫັນຊີ້ນໍາກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam phát biểu tại buổi làm việc.
ພາບ: ຟູ໋ເຊີນ	Ảnh: Fu Son
ກ່ຽວກັບທິດທາງ, ໜ້າທີ່ ປີ 2018, ທ່ານພົນເອກ ໂງຊວນລິກ ເນັ້ນໜັກວ່າ: ຄະນະພັກກົມໃຫຍ່ II ຄວນສຸມໃສ່ຊີ້ນໍາ, ນໍາພາ, ສືບຕໍ່ຮັກສາທ່າສະໜາມຮົບດ້ານແນວຄິດ, ຮັບປະກັນໃຫ້ພະນັກງານ, ພາລະກອນ, ນັກຮົບທັງໝົດຍາມໃດກໍ່ມີຄຸນທາດການເມືອງໜັກແໜ້ນ, ຈົ່ງຮັກພັກດີຕໍ່ພັກ, ປະເທດຊາດ ແລະປະຊາຊົນ.	Về phương hướng, chỉ đạo năm 2018, Thượng tướng Ngô Xuân Lãm nhấn mạnh, Ban Chấp hành Trung ương Đảng khóa II cần tập trung chỉ đạo, lãnh đạo, tiếp tục giữ vững trận địa tư tưởng, bảo đảm mọi cán bộ, nhân viên, quân nhân có phẩm chất chính trị vững vàng, trung thành với Đảng. đảng và quốc gia.
ຕັ້ງໜ້າປ່ຽນແປງໃໝ່, ຍົກສູງຄຸນນະພາບ, ປະສິດທິຜົນໃນການປະຕິບັດພາລະບົດບາດ, ໜ້າທີ່, ຮັບໃຊ້ການນໍາພັກ, ລັດ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ, ວາງອອກລັດຖະນະໂຍບາຍ, ຍຸດໂທບາຍເພື່ອຮັບມື , ແກ້ໄຂບັນດາບັນຫາກ່ຽວກັບການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບຢ່າງທັນການ, ເດັດດ່ຽວບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບ, ບັງເອີນໃນທຸກສະຖານະການ.	Đặt mục tiêu chuyển biến, nâng cao chất lượng, hiệu quả thực hiện vai trò, nhiệm vụ, phục vụ sự lãnh đạo của Đảng, Nhà nước, Quân ủy Trung ương, Bộ Quốc phòng, hoạch định chính sách, chiến lược đối phó,
ຊາບຊຶມ, ປະຕິບັດມະຕິ, ບົດສະຫຼຸບຂອງກົມການເມືອງ ຊຸດທີ XII ກ່ຽວກັບການຈັດຕັ້ງກອງທັບຮອດປີ 2021 ຢ່າງເຂັ້ມງວດ, ຮັບປະກັນອາວຸດຍຸດທະພັນຮອດປີ 2025 ແລະຊຸມປີຕໍ່ໄປ;	Thực hiện tuyệt đối các nghị quyết, kết luận của Tổng cục Chính trị khóa XII về công tác tổ chức bộ đội đến năm 2021, bảo đảm vũ khí đến năm 2025 và sau này;
ສືບຕໍ່ຊາບຊຶມ, ຜັນຂະຫຍາຍການປະຕິບັດບັນດາມະຕິສູນກາງຊຸດທີ XII ເປັນຢ່າງດີ, ກໍ່ສ້າງກົມໃຫຍ່ II ໃຫ້ໝັ້ນຄົງເຂັ້ມແຂງຮອບດ້ານ, ສ້າງອົງຄະນະພັກກົມໃຫຍ່ II ໃຫ້ປອດໃສ, ເຂັ້ມແຂງ.	Tiếp tục tiếp thu, triển khai thực hiện Nghị quyết Trung ương khóa XII, xây dựng Đảng bộ Tổng cục II vững mạnh toàn diện, xây dựng tổ chức Đảng của Tổng cục II trong sạch, vững mạnh.
ທ່ານພົນຕີ ຟ້າມງອັກຮຸ່ງ, ຫົວໜ້າກົມໃຫຍ່ II ກ່າວຄໍາເຫັນ ແລະຢັ້ງຢືນວ່າ: ຄະນະພັກກົມໃຫຍ່ II ຮັບເອົາ, ຊາບຊຶມຄໍາເຫັນຊີ້ນໍາຂອງທ່ານລັດຖະມົນຕີຢ່າງເຂັ້ມງວດ;	Thiếu tướng Phạm Ngọc Hùng, Tổng cục trưởng Tổng cục II đã phát biểu và khẳng định:
ຕັດສິນໃຈຊີ້ນໍາ, ນໍາພາສ້າງຖັນແຖວພະນັກງານ, ສະມາຊິກພັກທີ່ມີຄຸນທາດການເມືອງຢ່າງໜັກແໜ້ນ, ມີຄຸນສົມບັດປອດໃສ, ມີກໍາລັງຄວາມສາມາດດ້ານວິຊາການວິຊາສະເພາະທີ່ເກັ່ງກ້າ;	Quyết tâm chỉ đạo, lãnh đạo xây dựng đội ngũ cán bộ, đảng viên có phẩm chất chính trị vững vàng, có trình độ chuyên môn, nghiệp vụ vững vàng;
