ກປ.ອອນໄລ - Viettel ສືບຕໍ່ຍົກສູງຄຸນນະພາບເຄືອຂ່າຍອິນເຕີແນັດ 4G.	KR Online - Viettel tiếp tục nâng cao chất lượng mạng internet 4G.
ນີ້ແມ່ນຂໍ້ມູນທີ່ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel) ຫາກໍ່ປະກາດ.	Đây là thông tin mà Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel) vừa công bố.
ຕາມນັ້ນແລ້ວ, ໄຕມາດທີ 1-2019 ຂອງກຸ່ມບໍລິສັດ Viettel ໄດ້ສ້າງຂີດໝາຍຍ້ອນການໃຊ້ດາຕ້າຫຼາຍ, ພິເສດແມ່ນການຫັນປ່ຽນເຄືອຂ່າຍອິນເຕີແນັດ 4G ຄວາມໄວສູງ.	Theo đó, quý I / 2019 của Tập đoàn Viettel được đánh dấu bằng việc sử dụng dữ liệu khủng, đặc biệt là việc chuyển đổi mạng internet 4G tốc độ cao.
ເຄືອຂ່າຍອິນເຕີແນັດ 4G ຂອງ Viettel ໄດ້ຮັບການເລືອກເຟັ້ນຈາກລູກຄ້າຍ້ອນມີຄວາມໄວສູງ ແລະລາຄາການຊົມໃຊ້ຖືກກວ່າ.	Mạng internet 4G của Viettel được khách hàng lựa chọn nhiều do tốc độ cao, giá cước rẻ hơn.
ປະລິມານການຊົມໃຊ້ດາຕ້າໃນໄຕມາດທີ 1-2019 ຫຼາຍທົບ 2 ເທົ່າ (ເພີ່ມຂຶ້ນ 102%) ເມື່ອທຽບໃສ່ໄຕມາດດຽວກັນປີ 2018, ໃນຂະນະນັ້ນຈໍານວນເງິນທັງໝົດທີ່ລູກຄ້າຊົມໃຊ້ການບໍລິການເພີ່ມຂຶ້ນພຽງແຕ່ 21%.	Lượng dữ liệu sử dụng trong quý I / 2019 tăng hơn gấp đôi (tăng 102%) so với cùng kỳ năm 2018, trong khi tổng lượng khách hàng sử dụng dịch vụ chỉ tăng 21%.
ລາຍຮັບໄຕມາດທີ 1-2019 ຂອງ Viettel ບັນລຸໄດ້ 54.400 ຕື້ດົ່ງ.	Doanh thu quý I / 2019 của Viettel đạt 54.400 tỷ đồng.
ພາບ: ວັນຝອງ.	Ảnh: Vân Phong
ການຊົມໃຊ້ເຄືອຂ່າຍອິນເຕີແນັດ 4G ແລະທ່າອ່ຽງການຊົມໃຊ້ດາຕ້າເພີ່ມຂຶ້ນຢ່າງແຮງຊ່ວຍໃຫ້ Viettel ມີຜົນການຜະລິດດໍາເນີນທຸລະກິດໃນໄຕມາດທີ 1-2019 ເກີນກວ່າຄວາມມຸ່ງຫວັງ.	Việc sử dụng internet 4G và xu hướng sử dụng dữ liệu mạnh mẽ đã giúp kết quả kinh doanh quý I / 2019 của Viettel vượt kỳ vọng.
ລາຍຮັບໄຕມາດທີ 1-2019 ບັນລຸໄດ້ 54.400 ຕື້ດົ່ງ, ສໍາເລັດ 107% ເມື່ອທຽບກັບແຜນການ, ກໍາໄລຂອງກຸ່ມບໍລິສັດຂຶ້ນເຖິງ 10.100 ຕື້ດົ່ງ, ສໍາເລັດ 116% ເມື່ອທຽບກັບແຜນການ.	Doanh thu quý I / 2019 đạt 54.400 tỷ đồng, hoàn thành 107% so với kế hoạch, lợi nhuận toàn tập đoàn đạt 10.100 tỷ đồng, hoàn thành 116% so với kế hoạch.
ຕາມແຜນການແລ້ວ, Viettel ຈະສືບຕໍ່ຍູ້ແຮງຄຸນນະພາບເຄືອຂ່າຍອິນເຕີແນັດ 4G ໃນໄຕມາດທີ 2-2019, ຍົກສູງຈໍານວນສະຖານີຮັບສົ່ງສັນຍານຂຶ້ນເຖິງ 50.000 ແຫ່ງ.	Theo kế hoạch, Viettel sẽ tiếp tục đẩy mạnh chất lượng mạng 4G trong quý II / 2019, nâng số trạm thu phát sóng lên 50.000 trạm.
ບໍ່ພຽງແຕ່ນໍາໜ້າດ້ານພື້ນຖານໂຄງລ່າງ, ເຂດກະຈາຍຄື້ນສັນຍານເທົ່ານັ້ນ, ຫາກ Viettel ຍັງວາງເປົ້າໝາຍເພີ່ມຄວາມໄວໃຫ້ແກ່ລູກຄ້າຜູ້ຊົມໃຊ້ປາຍທາງຈະເພີ່ມຂຶ້ນເຖິງ 1,5 ທົບ.	Không chỉ hạ tầng cấp nước, truyền tín hiệu khu vực, nếu Viettel còn đặt mục tiêu nâng tốc độ của khách hàng cuối lên gấp 1,5 lần.
ຍິ່ງໄປກວ່ານັ້ນ, ເຄືອຂ່າຍອິນເຕີແນັດ 5G ດ້ວຍຄວາມໄວ gigabit ກໍ່ຈະຖືກ Viettel ນໍາໃຊ້ທົດລອງຢູ່ ຮ່າໂນ້ຍ ໃນເດືອນ ພຶດສະພາ 2019.	Ngoài ra, mạng internet 5G tốc độ gigabit sẽ được Viettel triển khai thử nghiệm tại Hà Nội vào tháng 5/2019.
ເລື່ອງການລົງທຶນຢ່າງແຮງເຂົ້າພື້ນຖານໂຄງລ່າງຄວາມຖີ່ກວ້າງແມ່ນນອນຢູ່ໃນຍຸດທະສາດຂອງ Viettel ກ່ຽວກັບການກໍ່ສ້າງສັງຄົມດີຈີຕອນ.	Câu chuyện đầu tư mạnh vào hạ tầng băng rộng nằm trong chiến lược xây dựng xã hội số của Viettel.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
