ກປ.ອອນໄລ - ທ່ານ K.P.	KPR Online - Ông K.P.
Sharma Oli ນາຍົກລັດຖະມົນຕີເນປານ ແລະພັນລະຍາພວມມີການຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການ ແລະເຂົ້າຮ່ວມງານບຸນວິສາຂະບູຊາ (Vesak) ສະຫະປະຊາຊາດໃນລະຫວ່າງວັນທີ 9-12 ພຶດສະພາ ຕາມຄຳເຊີນຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ.	Thủ tướng Nepal Sharma Oli và Phu nhân đang thăm chính thức Việt Nam và tham dự Đại lễ Vesak Liên hợp quốc trong hai ngày 9-12 / 5 theo lời mời của Thủ tướng Chính phủ Nguyễn Xuân Phúc.
ນີ້ແມ່ນການຢ້ຽມຢາມຫວຽດນາມ ຢ່າງເປັນທາງການຄັ້ງທຳອິດຂອງນາຍົກລັດຖະມົນຕີເນປານ, ນັບແຕ່ເມື່ອສອງປະເທດສ້າງຕັ້ງການພົວພັນທາງການທູດ ແລະແມ່ນການຢ້ຽມຢາມພາກພື້ນອາຊີຕາເວັນອອກສ່ຽງໃຕ້ຄັ້ງທຳອິດຂອງທ່ານ K.P.	Đây là chuyến thăm chính thức Việt Nam đầu tiên của Thủ tướng Nepal kể từ khi hai nước thiết lập quan hệ ngoại giao, đồng thời là chuyến thăm đầu tiên của K.P tới Đông Nam Á.
Sharma Oli ນັບແຕ່ເມື່ອທ່ານດຳລົງຕໍາແໜ່ງເປັນນາຍົກລັດຖະມົນຕີເນປານ ໃນເດືອນ ກຸມພາ 2018.	Sharma Oli kể từ khi nhậm chức Thủ tướng Nepal vào tháng 2/2018.
ການຢ້ຽມຢາມມີຄວາມໝາຍສຳຄັນສືບຕໍ່ປັບປຸງ ແລະເພ່ີມທະວີສາຍພົວພັນມິດຕະພາບອັນດີງາມຫວຽດນາມ-ເນປານ.	Chuyến thăm có ý nghĩa quan trọng nhằm tiếp tục cải thiện và làm sâu sắc hơn nữa quan hệ hữu nghị Việt Nam - Nepal.
ເນປານ ແມ່ນປະເທດມີພື້ນຖານວັດທະນະທຳປະຫວັດສາດມາແຕ່ດຶກດຳບັນ, ເປັນປະເທດທີ່ມີຫຼາຍທັດສະນີຍະພາບທຳມະຊາດທີ່ໃຫຍ່ໂຕມະໂຫຖານ ແລະມີຄວາມສວຍງາມ, ໃນນັ້ນລືຊື່ແມ່ນຈອມພູ Everest ສູງທີ່ສຸດໃນໂລກ.	Nepal có một nền tảng văn hóa và lịch sử phong phú từ thời cổ đại.
ຄຽງຄູ່ກັນນັ້ນ, ເນປານ ຍັງມີມໍລະດົກໂລກ Lumbini, ແຫ່ງກຳເນີດຂອງພະພຸດທະເຈົ້າ ແລະບັນດາມໍລະດົກໂລກຕ່າງໆ.	Ngoài ra, Nepal còn có Di sản Thế giới Lumbini, nơi sinh của Đức Phật và các di sản thế giới khác.
ທ່ານ K P Sharma Oli ນາຍົກລັດຖະມົນຕີເນປານ.	Thủ tướng Nepal K P Sharma Oli
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ປະຊາຊົນເນປານ ມີອາລົມຈິດອັນເລິກເຊິ່ງ ແລະສະໜັບສະໜູນການຕໍ່ສູ້ຍາດເອົາເອກະລາດຂອງປະຊາຊົນຫວຽດນາມ.	Người dân Nepal vô cùng cảm động và ủng hộ cuộc đấu tranh giành độc lập của nhân dân Việt Nam.
ວັນທີ 15 ພຶດສະພາ 1975, ສອງປະເທດສ້າງຕັ້ງການພົວພັນທາງການທູດຢ່າງເປັນທາງການ.	Ngày 15/5/1975, hai nước chính thức thiết lập quan hệ ngoại giao.
ນັບແຕ່ນັ້ນມາຮອດປະຈຸບັນ, ສອງປະເທດໄດ້ຮັກສາ ແລະເພີ່ມທະວີການແລກປ່ຽນຄະນະທຸກຂັ້ນ, ໃນຫຼາຍຂົງເຂດ, ຈາກດ້ານການເມືອງຕະຫຼອດຮອດການຄ້າຢ່າງເປັນປະຈຳ.	Kể từ đó, hai nước đã duy trì và tăng cường trao đổi đoàn các cấp, trên nhiều lĩnh vực, từ chính trị đến thương mại thường xuyên.
ຫວຽດນາມ ໄດ້ມີຫຼາຍຄະນະໄປຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ເນປານ, ໜ້າສົນໃຈແມ່ນການຢ້ຽມຢາມ ແລະເຂົ້າຮ່ວມກອງປະຊຸມໃຫຍ່ຄັ້ງທີ IX ຂອງພັກກອມມູນິດເນປານ Marxist-Leninist ເອກະພາບ (CPN-UML) ໃນເດືອນ ກໍລະກົດ 2014 ຂອງທ່ານຮອງຫົວໜ້າຄະນະພົວພັນຕ່າງປະເທດສູນກາງພັກ;	Việt Nam đã có một số đoàn sang thăm và làm việc tại Nêpan, nổi bật nhất là chuyến thăm và tham dự Đại hội lần thứ IX Đảng Cộng sản Chủ nghĩa Mác - Lê-nin Nê-đéc-lan (CPN-UML) vào tháng 7 năm 2014 của Phó Trưởng ban Đối ngoại Trung ương Đảng. Ủy ban Nội vụ;
ການຢ້ຽມຢາມເນປານ ຂອງລັດຖະມົນຕີກະຊວງຕຳຫຼວດຫວຽດນາມ (ເດືອນ ພຶດສະພາ 2014) ແລະປະທານສານປະຊາຊົນສູງສຸດ (ເດືອນ ພະຈິກ 2017).	Chuyến thăm Nepal của Bộ trưởng Bộ Công an Việt Nam (tháng 5/2014) và Chánh án Tòa án nhân dân tối cao (tháng 11/2017).
ຫຼາຍຄະນະຂອງເນປານ ໄດ້ມາຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ຫວຽດນາມ, ຄື: ຄະນະຮອງລັດຖະມົນຕີກະຊວງວັດທະນະທຳ, ການທ່ອງທ່ຽວ, ການບິນ (ເດືອນ ທັນວາ 2004);	Nhiều đoàn đại biểu của Nepal đã sang thăm và làm việc tại Việt Nam, trong đó có Thứ trưởng Bộ Văn hóa, Du lịch và Hàng không (12/2004);
ຮອງລັດຖະມົນຕີກະຊວງກະສິກຳ ແລະສະຫະກອນ (ເດືອນ ມັງກອນ 2009);	Thứ trưởng Bộ Nông nghiệp và Hợp tác xã (1/2009);
ລັດຖະມົນຕີກະຊວງການຄ້າ (ເດືອນ ມີນາ 2017).	Bộ trưởng Bộ Thương mại (tháng 3 năm 2017).
ຄຽງຄູ່ການເພີ່ມທະວີແລກປ່ຽນຄະນະປະຕິບັດງານການເມືອງຕ່າງໆແລ້ວ, ສອງຝ່າຍໄດ້ແລກປ່ຽນບັນດາຄະນະວິສາຫະກິດ, ເຊັນບັນດາຂໍ້ຕົກລົງຮ່ວມມື, ບົດບັນທຶກຊ່ວຍຈຳລະຫວ່າງສະຫະສະມາຄົມການຄ້າສອງປະເທດຢ່າງເປັນປະຈຳ.	Ngoài việc tăng cường trao đổi các ủy ban chính trị, hai bên cũng thường xuyên trao đổi đoàn doanh nghiệp, ký kết các thỏa thuận hợp tác và biên bản ghi nhớ giữa hai hiệp hội thương mại.
ສິ່ງດັ່ງກ່າວໄດ້ສ້າງກາລະໂອກາດເພື່ອໃຫ້ປະຊາຄົມວິສາຫະກິດສອງປະເທດຜັນຂະຫຍາຍບັນດາການເຄື່ອນໄຫວດ້ານການຄ້າ ແລະດຳເນີນທຸລະກິດ.	Điều này đã tạo cơ hội cho cộng đồng doanh nghiệp hai nước đa dạng hóa các hoạt động thương mại và kinh doanh.
ເກືອບເຄິ່ງສັດຕະວັດແຫ່ງການສ້າງຕັ້ງສາຍພົວພັນທາງການທູດ, ຫວຽດນາມ-ເນປານ ຍາມໃດກໍ່ຮ່ວມແຮງຮ່ວມໃຈເພີ່ມພູນຄູນສ້າງ ແລະພັດທະນາສາຍພົວພັນຮ່ວມມື, ມິດຕະພາບທີ່ເປັນມູນເຊື້ອອັນດີງາມລະຫວ່າງສອງປະເທດ.	Gần nửa thế kỷ sau khi thiết lập quan hệ ngoại giao, Việt Nam và Nepal luôn đồng hành cùng nhau nhằm tăng cường và phát triển quan hệ hợp tác, hữu nghị giữa hai nước.
ຄຽງຄູ່ການພົວພັນດ້ານການເມືອງອັນດີງາມ ກໍ່ຄືການພົບປະແລກປ່ຽນປະຊາຊົນນັບມື້ນັບໄດ້ຮັບການເພີ່ມທະວີ, ການພົວພັນດ້ານການຄ້າລະຫວ່າງຫວຽດນາມ-ເນປານ ພວມຢູ່ໃນທ່າພັດທະນາ.	Cùng với quan hệ chính trị tốt đẹp cũng như giao lưu nhân dân, quan hệ thương mại Việt Nam - Nepal ngày càng phát triển.
ໄລ່ຮອດເດືອນ ກັນຍາ 2018, ວົງເງິນການຄ້າສອງສົ້ນບັນລຸໄດ້ປະມານ 38 ລ້ານໂດລາສະຫະລັດ.	Tính đến tháng 9/2018, kim ngạch thương mại hai chiều đạt khoảng 38 triệu đô la Mỹ.
ສຳລັບດຸນການຄ້າກັບເນປານ, ຫວຽດນາມ ຍາມໃດກໍ່ຢູ່ໃນທ່າສົ່ງອອກເກີນດຸນ.	Về cán cân thương mại với Nepal, Việt Nam luôn thặng dư.
ບັນດາສິນຄ້າສົ່ງອອກຕົ້ນຕໍຂອງຫວຽດນາມ ໄປຍັງເນປານ ລວມມີ: ໝາກພິກໄທ, ຜະລິດຕະພັນຕ່ຳແຜ່ນຕັດຫຍິບ, ສິນຄ້າແຊ່ເຢັນ...	Các mặt hàng xuất khẩu chính của Việt Nam sang Nepal bao gồm hồ tiêu, sản phẩm dệt may, hàng đông lạnh ...
ນຳເຂົ້າດ້ວຍຈຳນວນໜ້ອຍແມ່ນວັດຖຸດິບຕ່ຳແຜ່ນຕັດຫຍິບ, ເກີບໜັງ.	Lượng mía được nhập khẩu là nguyên liệu may mặc, giày dép.
ປະຈຸບັນ, ກຸ່ມບໍລິສັດໄປສະນີໂທລະຄົມມະນາຄົມຫວຽດນາມ (VNPT) ໄດ້ສ້າງຕັ້ງຫ້ອງການຕາງໜ້າຢູ່ເນປານ.	Hiện Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT) đã đặt văn phòng đại diện tại Nepal.
ການທ່ອງທ່ຽວແມ່ນໜຶ່ງໃນບັນດາຂົງເຂດຮ່ວມມືທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນລະຫວ່າງສອງປະເທດ.	Du lịch là một trong những lĩnh vực hợp tác tiềm năng giữa hai nước.
ຈຳນວນຊາວຫວຽດນາມ ໄປທ່ອງທ່ຽວເນປານ ມີທ່າອ່ຽງນັບມື້ນັບເພີ່ມຂຶ້ນໃນຊຸມປີມໍ່ໆມານີ້.	Số lượng du khách Việt Nam đến thăm Nepal ngày càng tăng trong những năm gần đây.
ປີ 2017 ມາຊາວຫວຽດນາມ ໄປເນປານ ກວ່າ 7.000 ເທື່ອຄົນ.	Năm 2017, hơn 7.000 người Việt Nam đã sang Nepal.
ດ້ວຍເລື່ອງເນປານ ກຳລັງກໍ່ສ້າງສະໜາມບິນສາກົນຢູ່ແຫ່ງກຳເນີດພຸດທະສາສະໜາ Lumbini, ສອງຝ່າຍຫວັງວ່າຈຳນວນແຂກທ່ອງທ່ຽວຫວຽດນາມ ມາແຫ່ງກຳເນີດພຸດທະສາສະໜາຈະເພີ່ມຂຶ້ນຢ່າງວ່ອງໄວ.	Với việc Nepal xây dựng sân bay quốc tế tại Chùa Phật tích Lâm Tỳ Ni, hai bên hy vọng lượng du khách Việt Nam đến chùa lễ Phật sẽ tăng nhanh.
ກ່ຽວກັບຂົງເຂດການຮ່ວມມືໃນພາກພື້ນ ແລະສາກົນ, ສອງປະເທດໄດ້ສະໜັບສະໜູນ, ສົມທົບກັນຢູ່ບັນດາເວທີປາໄສຫຼາຍຝ່າຍ ແລະສາກົນເປັນຢ່າງດີ.	Trong lĩnh vực hợp tác khu vực và quốc tế, hai nước đã trao đổi trên các diễn đàn đa phương và quốc tế.
ເນປານ ໄດ້ສະໜັບສະໜູນຫວຽດນາມ ມີພ້ືນຖານເສດຖະກິດຕະຫຼາດ (ເດືອນ ຕຸລາ 2014), ອອກສະໝັກຮັບເລືອກຕັ້ງເປັນສະມາຊິກສະພາສິດທິມະນຸດສະຫະປະຊາຊາດ (ເດືອນ ພະຈິກ 2013), ສະພາເສດຖະກິດ ແລະສັງຄົມສະຫະປະຊາຊາດ ອາຍຸການ 2016-2018 ແລະກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021.	Nepal thay Việt Nam sang nền kinh tế thị trường (10/2014), được bầu làm thành viên Hội đồng Nhân quyền LHQ (11/2013), Hội đồng Kinh tế và Xã hội LHQ nhiệm kỳ 2016-2018 và Ủy viên không thường trực Hội đồng Bảo an LHQ 2020- 20.
ຫວຽດນາມ ສະໜັບສະໜູນ ເນປານ ເຂົ້າເປັນສະມາຊິກສະພາສິດທິມະນຸດສະຫະປະຊາຊາດ ອາຍຸການ 2018-2020.	Việt Nam mong muốn Nepal trở thành thành viên của Hội đồng Nhân quyền Liên hợp quốc giai đoạn 2018-2020
ສອງປະເທດກໍ່ແມ່ນສະມາຊິກກໍ່ຕັ້ງທະນາຄານລົງທຶນພື້ນຖານໂຄງລ່າງ (AIIB).	Hai nước cũng là thành viên sáng lập của Ngân hàng Đầu tư Cơ sở hạ tầng (AIIB).
