ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 6 ມີນາ, ຢູ່ຮ່າໂນ້ຍ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ຈັດຕັ້ງກອງປະຊຸມແລກປ່ຽນວຽກງານເດືອນ ກຸມພາ ປີ 2018.	Sáng 6/3, tại Hà Nội, Bộ Quốc phòng Việt Nam tổ chức Hội nghị trao đổi công việc tháng 2/2018.
ທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດເປັນປະທານກອງປະຊຸມ.	Thượng tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng chủ trì buổi làm việc.
ໃນສອງເດືອນຜ່ານມາ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ໄດ້ສຸມໃສ່ຊີ້້ນໍານໍາພາ, ຜັນຂະຫຍາຍຢ່າງຄົບຊຸດ, ແໜ້ນແຟ້ນ, ປະຕິບັດສໍາເລັດໜ້າທີ່ການທະຫານ-ການປ້ອງກັນຊາດຢ່າງຮອບດ້ານ.	Hai tháng qua, Quân ủy Trung ương, Bộ Quốc phòng đã tập trung chỉ đạo, triển khai đầy đủ, quyết liệt việc thực hiện toàn diện nhiệm vụ quân sự-quốc phòng.
ສະພາບການດ້ານການເມືອງ, ແນວຄິດໃນທົ່ວກອງທັບເປັນປົກກະຕິເມື່ອກ້າວເຂົ້າສູ່ປີຝຶກແອບໃໝ່ດ້ວຍບັນຍາກາດແຂ່ງຂັນທີ່ຟົດຟື້ນມ່ວນຊື່ນ.	Tình hình chính trị, tư tưởng trong toàn quân bình thường khi bước vào năm huấn luyện với khí thế thi đua vui vẻ.
ກ່ຽວກັບບາງໜ້າທີ່ຈຸດສຸມ ປີ 2018, ທ່ານພົນເອກ ໂງຊວນລິກ ຮຽກຮ້ອງອົງການຍຸດທະສາດຄວນເປັນເຈົ້າການໃກ້ຊິດຕິດແທດກັບພາລະບົດບາດ, ໜ້າທີ່, ເສີມຂະຫຍາຍບົດບາດເປັນເສນາທິການ, ຊີ້ນໍາເປັນຢ່າງດີ;	Về một số lĩnh vực trọng tâm của năm 2018, Thượng tướng Ngô Xuân Lãm kêu gọi tổ chức cấp chiến lược cần xem xét kỹ hơn vai trò, trách nhiệm của mình, tăng cường vai trò là đầu tàu, chỉ đạo tốt;
ຜັນຂະຫຍາຍການປະຕິບັດບັນດາມະຕິ, ບັນດາຍຸດທະສາດ, ແຜນຮ່າງທີ່ໄດ້ ແລະຈະຍື່ນສະເໜີກົມການເມືອງ, ລັດຖະບານຮັບຮອງເອົາ;	Thực hiện các nghị quyết, chiến lược, kế hoạch đã và sẽ trình Bộ Chính trị, được Chính phủ phê duyệt;
ພ້ອມທັງຍູ້ແຮງການປະຕິບັດ 3 ຂອດບຸກທະລຸຂອງອາຍຸການ, ຈຸດສຸມແມ່ນຜັນຂະຫຍາຍບັນດາມາດຕະການຢ່າງຄົບຊຸດ, ສ້າງການປ່ຽນແປງຢ່າງໜັກແໜ້ນກ່ຽວກັບການກໍ່ສ້າງກໍາລັງຫຼວງ, ປະຕິບັດລະບຽບວິໄນ, ກົດໝາຍ.	Cũng như đẩy mạnh thực hiện ba khâu đột phá của thời đại, trọng tâm là thực hiện đồng bộ các giải pháp, tạo chuyển biến mạnh mẽ về xây dựng năng lực, thực thi kỷ cương, pháp luật.
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດເປັນປະທານກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng chủ trì cuộc họp.
ພາບ: ຢຸຍຮົ່ງ	Ảnh: Duy Hồng
ທ່ານພົນເອກ ໂງຊວນລິກ ຮຽກຮ້ອງບັນດາອົງການ, ກົມກອງປະຕິບັດລະບອບປະຈໍາການກຽມພ້ອມສູ້ຮົບຢ່າງເຂັ້ມງວດ, ກໍາແໜ້ນ, ແກ້ໄຂບັນດາກໍລະນີຢ່າງທັນການ, ເປັນເຈົ້າການສ້າງແຜນການສະຫຼຸບ 10 ປີແຫ່ງການປະຕິບັດມະຕິເລກທີ 28 ຂອງກົມການເມືອງ.	Thượng tướng Ngô Xuân Lỵ kêu gọi các tổ chức, bộ phận của Lực lượng Thường trực cảnh giác, sẵn sàng giải quyết kịp thời các vụ việc và xây dựng kế hoạch tổng kết 10 năm thực hiện Nghị quyết 28 của Bộ Chính trị.
ສືບຕໍ່ສົມທົບກັນຈັດຕັ້ງການປະຕິບັດດໍາລັດເລກທີ 77 ຂອງລັດຖະບານ, ເພີ່ມເຕີມປັບປຸງຄໍາສັ່ງສູ້ຮົບ ແລະກະກຽມບັນດາເອກະສານຝຶກຊ້ອມຕາມແຜນການ...	Tiếp tục phối hợp thực hiện Nghị định số 77 của Chính phủ, nâng cao hơn nữa điều lệnh chiến đấu và chuẩn bị hồ sơ huấn luyện theo kế hoạch ...
ໄປພ້ອມກັບການປັບປຸງໂຄງຮ່າງການຈັດຕັ້ງພະນັກງານບັນຈຸຢູ່ບາງອົງການ, ກົມກອງໃຫ້ສົມບູນແບບ.	Cùng với việc hoàn thiện bộ máy tổ chức của đội ngũ cán bộ ở một số tổ chức, bộ phận đã được hoàn thiện.
ຜັນຂະຫຍາຍປະຕິບັດແຜນການຄັດເລືອກນັກຮຽນ, ບໍາລຸງສ້າງ ປີ 2018 ແລະປັບປຸງຮ່າງກົດໝາຍວ່າດ້ວຍກໍາລັງສໍາຮອງລະດົມກໍາລັງໃຈຍື່ນສະເໜີຕໍ່ຄະນະປະຈໍາສະພາແຫ່ງຊາດ.	Triển khai kế hoạch tuyển chọn, đào tạo học viên năm 2018 và chỉnh lý dự thảo Luật lực lượng dự bị động viên trình Ủy ban Thường vụ Quốc hội.
ສະຫຼຸບທີ່ກອງປະຊຸມ, ທ່ານພົນເອກ ໂງຊວນລິກ ກໍ່ຮຽກຮ້ອງບັນດາອົງການຍຸດທະສາດຄວນສືບຕໍ່ມີບັນດາມາດຕະການກ່ຽວກັບການປະຕິຮູບລະບຽບການບໍລິຫານ, ມຸ່ງເຖິງເປົ້າໝາຍແມ່ນນັກຮົບເພື່ອຮັບໃຊ້.	Kết luận buổi làm việc, Thượng tướng Ngô Xuân Lik cũng kêu gọi các tổ chức chiến lược tiếp tục thực hiện các biện pháp cải cách hành chính, hướng tới mục tiêu phục vụ quân đội.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
