ກປ.ອອນໄລ - ຫວຽດນາມ ສາມາດເປັນພື້ນຖານເສດຖະກິດທີ່ມີການເຄື່ອນໄຫວດີທີ່ສຸດຢູ່ພາກພື້ນອາຊີໃນຂະນະທີ່ພະຍາດໂຄວິດ-19 ຄຸກຄາມ.	KR Online - Việt Nam có thể là cơ sở kinh tế năng động nhất châu Á khi Kovi-19 đe dọa.
ນີ້ແມ່ນຂໍ້ສັງເກດໄດ້ຍົກອອກໃນບົດຂຽນເຊິ່ງໄດ້ເອົາລົງໃນເວັບໄຊ CNBC ຂອງອາເມລິກາ ວັນທີ 28 ມັງກອນ.	Đây là nhận định được nêu ra trong một bài báo đăng trên CNBC Mỹ ngày 28/1.
ບົດຂຽນດັ່ງກ່າວໃຫ້ຮູ້ວ່າ ຫວຽດນາມ ບັນລຸໄດ້ຜົນງານທີ່ມະຫັດສະຈັນແມ່ນຍ້ອນເສດຖະກິດປະເທດນີ້ບໍ່ມີໄຕມາດໃດເຕີບໂຕທາງລົບໃນທັງປີ 2020, ໃນສະພາບທີ່ຫຼາຍພື້ນຖານເສດຖະກິດໃນທົ່ວໂລກ “ຊຸດໂຊມ ຍ້ອນພະຍາດໂຄວິດ-19.	Theo bài báo, những thành tựu đáng chú ý của Việt Nam là do nền kinh tế đất nước không tăng trưởng âm trong cả năm 2020, trong bối cảnh nhiều nền kinh tế thế giới “xấu đi do căn bệnh 19”.
ປະຈຸບັນບໍ່ແມ່ນວ່າເສດຖະກິດປະເທດອາຊີໃດກໍ່ມີການລາຍງານກ່ຽວກັບການເຕີບໂຕດ້ານເສດຖະກິດໃນໄຕມາດທີ 4 ແລະທັງປີ 2020.	Hiện tại, không phải tất cả các nền kinh tế châu Á đều báo cáo tăng trưởng trong quý IV và năm 2020.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຕາມການຄິດໄລ່ຂອງ CNBC ໂດຍອີງໃສ່ແຫຼ່ງຂໍ້ມູນຢ່າງເປັນທາງການ, ໃນນັ້ນມີທັງແຫຼ່ງຈາກກອງທຶນເງິນຕາສາກົນ (IMF), ເສດຖະກິດຫວຽດນາມ ໄດ້ລື່ນກາຍເມື່ອທຽບໃສ່ບັນດາປະເທດຢູ່ພາກພື້ນໃນປີ 2020.	Tuy nhiên, theo CNBC, dựa trên các nguồn tin chính thức, bao gồm cả nguồn tin từ Quỹ Tiền tệ Quốc tế (IMF), nền kinh tế Việt Nam sẽ vượt qua các nước trong khu vực vào năm 2020.
ພາບປະກອບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam.
ຕາມຂໍ້ມູນສະຖິຕິຂອງລັດຖະບານທີ່ປະກາດໃນທ້າຍເດືອນທັນວາ 2020, ເສດຖະກິດຫວຽດນາມ ເຕີບໂຕ 2,9% ເມື່ອທຽບໃສ່ປີ 2019.	Theo số liệu thống kê của Chính phủ công bố vào cuối tháng 12 năm 2020, nền kinh tế Việt Nam tăng trưởng 2,9% so với năm 2019.
ນັກເສດຖະກິດຫຼາຍຄົນທີ່ສັງກັດຢູ່ພາກສ່ວນຄົ້ນຄວ້າທົ່ວໂລກຂອງທະນາຄານ Bank of America (ອາເມລິກາ) ໃຫ້ຂໍ້ສັງເກດວ່າ: “ດ້ວຍຜົນງານນີ້, ຫວຽດນາມ ມີລະດັບເຕີບໂຕສູງທີ່ສຸດໃນປີເຊິ່ງສ່ວນຫຼາຍຢູ່ໃນໂລກແມ່ນຖືກຊຸດໂຊມ.	Nhiều chuyên gia kinh tế của Bank of America Global Research lưu ý: “Kết quả là Việt Nam có tốc độ tăng trưởng cao nhất trong năm, trong khi phần lớn thế giới giảm.
ນັກເສດຖະກິດຫຼາຍຄົນມີຄວາມປະເອີບໃຈວ່າການເຕີບໂຕຂອງເສດຖະກິດຫວຽດນາມ ຈະສືບຕໍ່ເພີ່ມຂຶ້ນໃນປີ 2021.	Nhiều chuyên gia kinh tế lạc quan rằng kinh tế Việt Nam sẽ tiếp tục tăng trưởng trong năm 2021.
ທະນາຄານນີ້ຄາດຄະເນວ່າເສດຖະກິດຫວຽດນາມ ອາດຈະເພີ່ມຂຶ້ນ 9,3% ໃນປີ 2021 - ເຊິ່ງແມ່ນລະດັບເຕີບໂຕສູງກວ່າເມື່ອທຽບກັບ 6,7% ທີ່ທະນາຄານໂລກ (WB) ຄາດຄະເນໄວ້.	Ngân hàng này dự đoán kinh tế Việt Nam sẽ tăng trưởng 9,3% vào năm 2021 - cao hơn mức dự báo 6,7% của Ngân hàng Thế giới (WB).
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
