ກປ.ອອນໄລ - ໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດ, ຫວຽດນາມ ຍາມໃດກໍ່ຖືການພົວພັນກັບ ອາເມລິກາ ເປັນສຳຄັນ;	KPR Online - Trong chính sách đối ngoại, Việt Nam luôn coi trọng quan hệ với Hoa Kỳ;
ປາດຖະໜາຢາກເພີ່ມທະວີ ແລະເຮັດໃຫ້ການພົວພັນຄູ່ຮ່ວມມືຮອບດ້ານກັບອາເມລິກາ ຕາມທິດແທດຈິງ, ມີປະສິດທິຜົນໃນທັງສາມດ້ານສອງຝ່າຍ, ພາກພື້ນ ແລະທົ່ວໂລກເລິກເຊິ່ງກ່ວາອີກ...	Chúng tôi mong muốn tăng cường và làm sâu sắc hơn nữa quan hệ đối tác toàn diện với Hoa Kỳ một cách thiết thực, hiệu quả trên cả ba mặt trận, khu vực và toàn cầu.
ຕອນເຊົ້າວັນທີ 9 ມັງກອນ, ຢູ່ຫໍສະພາແຫ່ງຊາດ, ໃນການຕ້ອນຮັບທ່ານເອກອັກຄະລັດຖະທູດອາເມລິກາປະຈຳຫວຽດນາມ, ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ໄດ້ສະແດງຄວາມເຊື່ອໝັ້ນວ່າ, ທ່ານເອກອັກຄະລັດຖະທູດ Daniel J.Kritenbrink ຈະປະຕິບັດສຳເລັດໜ້າທີ່ຂອງຕົນ ແລະຈະປະກອບສ່ວນເຂົ້າໃນການເພີ່ມທະວີການພົວພັນລະຫວ່າງສອງປະເທດເວົ້າລວມ ແລະລະຫວ່າງສອງອົງການນິຕິບັນຍັດສອງປະເທດເວົ້າສະເພາະ.	Sáng 9/1, tại Tòa nhà Quốc hội, trong buổi chiêu đãi Đại sứ Hoa Kỳ tại Việt Nam, Chủ tịch Quốc hội Việt Nam Nguyễn Thị Kim Ngen bày tỏ tin tưởng Đại sứ Daniel J. Kritenbrink sẽ hoàn thành tốt vai trò của mình và đóng góp cho sự quan hệ hai nước.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ຢືນຢັນວ່າ, ໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດ, ຫວຽດນາມ ຍາມໃດກໍ່ຖືການພົວພັນກັບອາເມລິກາ ເປັນສຳຄັນ;	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng khẳng định Việt Nam luôn coi trọng quan hệ với Hoa Kỳ trong chính sách đối ngoại của mình.
ປາດຖະໜາຢາກເພີ່ມທະວີ ແລະເຮັດໃຫ້ການພົວພັນຄູ່ຮ່ວມມືຮອບດ້ານກັບອາເມລິກາ ຕາມທິດແທດຈິງ, ມີປະສິດທິຜົນໃນທັງສາມດ້ານສອງຝ່າຍ, ພາກພື້ນ ແລະທົ່ວໂລກເລິກເຊິ່ງກ່ວາອີກ.	Chúng tôi mong muốn tiếp tục phát triển và làm sâu sắc hơn nữa quan hệ đối tác toàn diện với Hoa Kỳ trên cả ba lĩnh vực, cả khu vực và toàn cầu.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ແລະທ່ານເອກອັກຄະລັດຖະທູດອາເມລິກາ Daniel J.Kritenbrink ທີ່ການຕ້ອນຮັບ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngen và Đại sứ Hoa Kỳ Daniel J. Kritenbrink tại tiệc chiêu đãi.
ພາບ: ທຸ່ຍເຢືອງ.	Ảnh: Thùy Dương
ທ່ານເອກອັກຄະລັດຖະທູດ Daniel J.Kritenbrink ຢັ້ງຢືນວ່າຫວຽດນາມ ແມ່ນຄູ່ຮ່ວມມືສໍາຄັນຂອງອາເມລິກາ.	Đại sứ Daniel J. Kritenbrink khẳng định Việt Nam là đối tác quan trọng của Hoa Kỳ.
ແລະເນັ້ນໜັກວ່າ, ໃນປີ 2018, ຕົນເອງຈະຮ່ວມມືຢ່າງແໜ້ນແຟ້ນກັບທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ແລະສະພາແຫ່ງຊາດຫວຽດນາມ ເພື່ອຊຸກຍູ້ການພົວພັນລະຫວ່າງສອງປະເທດໃນບັນດາຂົງເຂດການເມືອງ, ເສດຖະກິດ, ການຄ້າ, ການພົວພັນຕ່າງປະເທດ, ການພົບປະແລກປ່ຽນປະຊາຊົນ.	Đồng chí nhấn mạnh trong năm 2018 sẽ phối hợp chặt chẽ với Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng và Quốc hội Việt Nam nhằm thúc đẩy quan hệ song phương về chính trị, kinh tế, thương mại, đối ngoại và giao lưu nhân dân.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ຕີລາຄາວ່າ, ການພົວພັນຄູ່ຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງປະເທດບັນລຸໄດ້ບັນດາໝາກຜົນໃດໜຶ່ງໃນບັນດາຂົງເຂດ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng biểu dương quan hệ Đối tác toàn diện giữa hai nước đã đạt được một số kết quả trên một số lĩnh vực.
ການຮ່ວມມືໃນຂົງເຂດປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ ໄດ້ມີບັນດາບາດກ້າວໃໝ່, ແທດຈິງ ແລະຍັງມີຄວາມສາມາດບົ່ມຊ້ອນພັດທະນາຫຼາຍຢ່າງ.	Hợp tác trong lĩnh vực quốc phòng, an ninh có bước tiến dài, có nhiều tiềm năng, tiềm năng phát triển.
