ກປ.ອອນໄລ - ທິດຕາເວັນຕົກພາກໃຕ້ໄດ້ຮັບຂະໜານນາມວ່າແມ່ນດິນແດນແຫ່ງແມ່ນໍ້າລໍາເຊ.	KPR Online - Miền Tây Nam Bộ được mệnh danh là Vùng đất của sông Lam Xe.
ຊີວິດການເປັນຢູ່ຂອງພໍ່ແມ່ປະຊາຊົນຢູ່ທີ່ນີ້ຕິດພັນກັບບັນດາແມ່ນໍ້າ.	Sinh kế của người dân nơi đây đan xen với sông nước.
ພາບປະກອບຈາກ nhandan.com.vn	Minh họa bởi nhandan.com.vn
ແລະກໍ່ຈາກແຫ່ງນີ້, ລະບົບຕະຫຼາດນໍ້າໄດ້ຮັບການສ້າງຂຶ້ນໃນທົ່ວພາກໃຕ້, ສ້າງເປັນສີສັນພິເສດສະເພາະໃຫ້ເຂດດິນແຫ່ງ "ມັງກອນເຫີນເກົ້າໂຕ" ນີ້.	Và từ đây, hệ thống chợ nước đã hình thành khắp miền nam, tạo nên một màu sắc riêng cho vùng đất “Cửu Long”.
ຈາກ ໄຊງ່ອນ ລ່ອງລົງມາແຫຼມ ກ່າເມົາ, ເພື່ອນຈະພົບເຫັນຕະຫຼາດນໍ້າ ກ໋າຍແບ່ (ແຂວງ ຕ່ຽນຢາງ), ຕະຫຼາດນໍ້າ ກ໋າຍຣັງ (ນະຄອນ ເກີ່ນເທີ), ຕະຫຼາດນໍ້າ ຟຸ້ງຮຽບ (ແຂວງ ເຮົ້າຢາງ), ຕະຫຼາດນໍ້າ ຫງ້ານັມ (ແຂວງຊອກຈັງ), ຕະຫຼາດນໍ້າ ແກ່ງຮ່າວ, ຕະຫຼາດນໍ້າ ເຖີ໋ຍບິ່ງ ເທິງແມ່ນໍ້າ ແຈ້ມ (ແຂວງ ກ່າເມົາ)...	Từ Sài Gòn Dài xuống mũi Cà Mau, bạn sẽ tìm thấy chợ Năm Kai Bae (tỉnh Tiền Giang), chợ Nam Kai Rang (thành phố Cần Thơ), chợ Nam Fung Hiệp (tỉnh Hậu Giang), chợ Năm Ngầm (tỉnh Sóc Trăng) , Chợ Nam Kaeng Hao, Nam Thea Chae (tỉnh Bình Mae) ...
ພາບປະກອບຈາກ nhandan.com.vn	Minh họa bởi nhandan.com.vn
ໂດຍແມ່ນໜຶ່ງໃນຕະຫຼາດນໍ້າສາມແຫ່ງໃຫຍ່ທີ່ສຸດຢູ່ທິດຕາເວັນຕົກພາກໃຕ້, ຕະຫຼາດນໍ້າ ກ໋າຍຣັງ ຫ່າງຈາກນະຄອນ ເກີ່ນເທີ ພຽງສອງ, ສາມກິໂລແມັດເທົ່ານັ້ນ, ຜະລິດຕະພັນຕົ້້ນຕໍຂອງຕະຫຼາດນີ້ ແມ່ນຜະລິດຕະພັນກະເສດທີ່ນຳມາຈາກບັນດາແຂວງໃກ້ຄຽງ.	Là một trong ba chợ nước lớn nhất miền Tây Nam bộ, chợ Nam Kai Rang chỉ cách thủ đô 2-3 km, mặt hàng chủ yếu của chợ này là nông sản nhập từ các tỉnh lân cận.
ເມື່ອມາແຫ່ງນີ້, ນອກຈາກໄດ້ເຫັນຊີວິດການເປັນຢູ່ຂອງພໍ່ຄ້າຊາວຄ້າແລ້ວ, ນັກທ່ອງທ່ຽວຍັງໄດ້ຮັບປະທານອາຫານພິເພດຄື: ກາເຟ, ເຂົ້າປູ້ນແກງກະປູ, ຫຼືເຂົ້ານົມພື້ນເມືອງຫຼາຍຊະນິດ..ດ້ວຍລົດຊາດເຂດບ້ານນາອີກດ້ວຍ ສິ່ງດັ່ງກ່າວໄດ້ສ້າງຄວາມດຶງດູດໃຫ້ແກ່ນັກທ່ອງທ່ຽວເປັນຈຳນວນຫຼວງຫຼາຍ.	Khi đến đây tham quan, ngoài việc ngắm nhìn cuộc sống của những người buôn bán, du khách còn được thưởng thức những món đặc sản như cà na, cơm lam, canh ghẹ, hay nhiều loại sữa gạo truyền thống .. mang hương vị của Bản Ná đã thu hút một lượng lớn du khách. .
ພາບປະກອບຈາກ nhandan.com.vn	Minh họa bởi nhandan.com.vn
ຖ້າຫາກວ່າຕະຫຼາດນໍ້າ ກ໋າຍຣັງ (ນະຄອນ ເກີ່ນເທີ) ມີລັກສະນະທັນສະໃໝຂອງ “ຕົວເມືອງສິວິໄລ ເທິງແມ່ນໍ້ານັ້ນ, ຕະຫຼາດນໍ້າ ກ໋າຍແບ່ (ແຂວງ ຕ່ຽນຢາງ) ພັດແມ່ນຕະຫຼາດນໍ້າທີ່ມີມາແຕ່ດົນນານຢູ່ທີ່ນີ້.	Nếu như chợ Nam Kai Rang (Người khổng lồ) là “đô thị văn minh bên sông” hiện đại thì chợ Nam Kai Be (tỉnh Tiền Giang) là một chợ nước lâu đời.
ນອກຈາກມີເຮືອຫຼາຍລໍາ ທີ່ຄຶກໂຄມໜາແໜ້ນແລ້ວ, ຕະຫຼາດນໍ້າ ກ໋າຍແບ່ ຍັງສ້ງຄວາມດຶງດູດນັກທ່ອງທ່ຽວດ້ວຍພາບພົດຂອງຕົວເມືອງທີ່ສະຫງົບສຸກ ພ້ອມກັບບັນດາສວນໝາກໄມ້ຕິດຕໍ່ກັນ ແລະຖະໜົນເກົ່າແກ່ລຽບຕາມຝັ່ງແມ່ນໍ້າ.	Ngoài tàu thuyền tấp nập, chợ Nam Kai Bei còn thu hút du khách bởi quang cảnh thành phố yên bình, với hàng loạt khu vườn gỗ và những con phố cổ ven sông.
