ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 2 ຕຸລາ, ຄະນະບໍລິຫານງານສູນກາງພັກປະຊາຊົນປະຕິວັດລາວ;	Chiều 2/10, Ban Chấp hành Trung ương Đảng Nhân dân Cách mạng Lào;
ສະພາແຫ່ງຊາດ;	Quốc hội;
ລັດຖະບານ ສປປ ລາວ ແລະຄະນະກຳມະການສູນກາງແນວລາວສ້າງຊາດ ໄດ້ສົ່ງໂທລະເລກແບ່ງເບົາຄວາມເສົ້າສະຫຼົດໃຈຢ່າງສຸດຊຶ້ງເຖິງຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ;	Chính phủ nước CHDCND Lào và Ủy ban Trung ương Mặt trận nhân dân cách mạng Lào đã có điện chia buồn gửi Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam;
ສະພາແຫ່ງຊາດ;	Quốc hội;
ລັດຖະບານ ສສ ຫວຽດນາມ;	Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam;
ຄະນະກຳມະການສູນກາງແນວໂຮມປະເທດຊາດຫວຽດນາມ, ສະແດງຄວາມໂສກເສົ້າເສຍດາຍຕໍ່ການຈາກໄປຂອງທ່ານ ໂດ໋ເມື່ອຍ, ອະດີດກໍາມະການສູນກາງພັກກອມມູນິດຫວຽດນາມ ຊຸດທີ III, IV, V, VI, VII ແລະ VIII;	Ủy ban Trung ương Mặt trận Nhân dân Giải phóng Việt Nam chia buồn trước việc đồng chí Đỗ Mười, nguyên Ủy viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam các khóa III, IV, V, VI, VII và VIII qua đời;
ອະດີດກໍາມະການກົມການເມືອງຊຸດທີ V, VI, VII ແລະ VIII;	Nguyên Ủy viên Tổng cục Chính trị khóa V, VI, VII, VIII;
ອະດີດເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ ຊຸດທີ VII ແລະ VIII.	Nguyên Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khóa VII và VIII
ເນື້ອໃນໂທລະເລກລະບຸວ່າ: “ພວກຂ້າພະເຈົ້າຕີລາຄາສູງບັນດາຜົນງານ ແລະບັນດາການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງຂອງທ່ານ ໂດ໋ເມື່ອຍ ໃນພາລະກິດຕໍ່ສູ້ຍາດເອົາເອກະລາດຂອງປະຊາຊົນຫວຽດນາມ ໃນເມື່ອກ່ອນກໍ່ຄືໃນພາລະກິດສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດຫວຽດນາມ ໃນຕະຫຼອດ 80 ປີແຫ່ງການເຄື່ອນໄຫວປະຕິວັດຂອງທ່ານ.	"Chúng tôi đánh giá cao những thành tích và đóng góp to lớn của Do Muay trong cuộc đấu tranh giành độc lập của nhân dân Việt Nam trước đây cũng như trong sứ mệnh xây dựng và bảo vệ đất nước Việt Nam trong suốt 80 năm hoạt động cách mạng", bức điện viết.
ອະດີດເລຂາທິການໃຫຍ່ ໂດ໋ເມື່ອຍ (ປີ 1991).	Nguyên Tổng thư ký Do Muay (1991).
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
