ກປ.ອອນໄລ - ວັນທີ 28 ພຶດສະພາ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີແຫ່ງ ສສ.ຫວຽດນາມ ໄດ້ມີການພົບປະກັບທ່ານ Andreas Norlen ປະທານສະພາແຫ່ງຊາດຊູແອັດ.	Ngày 28/5, Thủ tướng Nguyễn Xuân Phúc tiếp Chủ tịch Quốc hội Thụy Điển Andreas Norlen.
ທີ່ການພົບປະ, ທ່ານປະທານສະພາແຫ່ງຊາດຊູແອັດ ຕີລາຄາສູງການຢ້ຽມຢາມຊູແອັດ ຄັ້ງທໍາອິດຂອງທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ນັບແຕ່ປີ 1999, ພິເສດໃນສະພາວະທີ່ສອງປະເທດກໍາລັງມີບັນດາການເຄື່ອນໄຫວສະເຫຼີມສະຫຼອງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ ຫວຽດນາມ - ຊູແອັດ ຄົບຮອບ 50 ປີ.	Tại buổi tiếp, Chủ tịch Quốc hội Thụy Điển biểu dương chuyến thăm Thụy Điển đầu tiên của Thủ tướng Việt Nam kể từ năm 1999, đặc biệt khi hai nước đang kỷ niệm 50 năm thiết lập quan hệ ngoại giao Việt Nam - Thụy Điển.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ການຢ້ຽມຢາມຊູແອັດ ຂອງຄະນະຜູ້ແທນຂັ້ນສູງລັດຖະບານຫວຽດນາມ ກົງກັບໂອກາດການສະເຫຼີມສະຫຼອງຄັ້ງຍິ່ງໃຫຍ່ນີ້ເພື່ອສະແດງຄວາມເຄົາລົບນັບຖືທີ່ມີຕໍ່ການສະໜັບສະໜູນ ແລະການຊ່ວຍເຫຼືອອັນລໍ້າຄ່າ ເຊິ່ງປະຊາຊົນຊູແອັດ ໄດ້ສະຫງວນໃຫ້ແກ່ການຕໍ່ສູ້ເປັນທໍາຂອງປະຊາຊົນຫວຽດນາມແຕ່ກ່ອນກໍຄືໃນກິດຈະການສ້າງສາພັດທະນາປະເທດຊາດໃນປັດຈຸບັນ.	Thủ tướng Nguyễn Xuân Phúc nhấn mạnh, chuyến thăm của Đoàn đại biểu cấp cao Việt Nam tới Thụy Điển trùng với dịp kỷ niệm trọng đại này nhằm thể hiện sự trân trọng đối với sự ủng hộ và giúp đỡ vô giá mà nhân dân Thụy Điển đã dành cho nhân dân Việt Nam.
ປະຊາຊົນຫວຽດນາມ ຍາມໃດກໍຮັກສາອາລົມຈິດອັນລໍ້າຄ່ານັ້ນໄວ້, ຖືນີ້ແມ່ນຊັບສົມບັດອັນລໍ້າຄ່າຂອງສາຍພົວພັນ ຫວຽດນາມ - ຊູແອັດ.	Người dân Việt Nam luôn nâng niu tình cảm quý báu đó, là vốn quý của mối quan hệ Việt Nam - Thụy Điển.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ແລະປະທານສະພາແຫ່ງຊາດຊູແອັດ Andreas Norlen.	Thủ tướng Nguyễn Xuân Phúc và Chủ tịch Quốc hội Thụy Điển Andreas Norlen.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕີລາຄາສູງການປະກອບສ່ວນຂອງສະພາແຫ່ງຊາດຊູແອັດ ໃຫ້ແກ່ການພັດທະນາການພົວພັນສອງປະເທດໃນໄລຍະຜ່ານມາ ແລະປາດຖະໜາຢາກໃຫ້ສະພາແຫ່ງຊາດສອງຝ່າຍສືບຕໍ່ແລກປ່ຽນ, ຮ່ວມມື, ໜູນຊ່ວຍກັນຜັນຂະຫຍາຍບັນດາຂໍ້ຕົກລົງ ແລະການກໍານົດທິດຮ່ວມມືໃໝ່ລະຫວ່າງສອງປະເທດ...	Thủ tướng Nguyễn Tấn Dũng biểu dương đóng góp của Quốc hội Thụy Điển vào sự phát triển của quan hệ song phương trong thời gian qua và mong muốn nghị viện hai nước tiếp tục trao đổi, hợp tác và triển khai các thỏa thuận, hợp tác giữa hai nước.
ປະທານ Andreas Norlen ຊີ້ແຈ້ງວ່າ, ສະພາແຫ່ງຊາດຊູແອັດ ສະໜັບສະໜູນ ແລະຈະມານະພະຍາຍາມຊຸກຍູ້ເພື່ອໃຫ້ໄດ້ລົງນາມ ແລະໃຫ້ສັດຕະຍາບັນສັນຍາການຄ້າເສລີຫວຽດນາມ - ສະຫະພາບເອີຣົບ (EVFTA) ແລະສັນຍາປົກປ້ອງການລົງທຶນລະຫວ່າງອີຢູ ແລະຫວຽດນາມ (EVIPA) ໂດຍໄວ ເພາະນັ້ນແມ່ນຜົນປະໂຫຍດຂອງທຸກຝ່າຍ.	Chủ tịch Andreas Norlen cho biết, Quốc hội Thụy Điển sẽ ủng hộ việc ký kết và phê chuẩn Hiệp định Thương mại Tự do Việt Nam - Liên minh Châu Âu (EVFTA) và Hiệp định Bảo hộ Đầu tư Việt Nam - Liên minh Châu Âu (EVIPA) trong thời gian sớm nhất vì lợi ích của tất cả các bên.
ເລື່ອງລົງນາມສັນຍາສໍາຄັນສະບັບນີ້ຈະສ້າງກໍາລັງໜູນຢ່າງແຮງເພື່ອຊຸກຍູ້ການຮ່ວມມືດ້ານເສດຖະກິດການຄ້າລະຫວ່າງຫວຽດນາມ ກັບບັນດາປະເທດສະມາຊິກ ອີຢູ , ໃນນັ້ນມີຊູແອັດ...	Việc ký kết hiệp định quan trọng này sẽ tạo động lực mạnh mẽ thúc đẩy hợp tác kinh tế, thương mại giữa Việt Nam với các nước thành viên EU, trong đó có Thụy Điển ...
* ຕອນບ່າຍວັນທີ 28 ພຶດສະພາ ຕາມເວລາທ້ອງຖິ່ນ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ພ້ອມດ້ວຍພັນລະຍາ ແລະຄະນະຜູ້ແທນຂັ້ນສູງຫວຽດນາມ ໄດ້ໄປຮອດສະໜາມບິນສາກົນ Arlanda, ອອກຈາກນະຄອນຫຼວງ Stockholm, ເດີນທາງກັບເມືອປະເທດ, ສິ້ນສຸດການຢ້ຽມຢາມລາຊະອານາຈັກຊູແອັດ ຢ່າງເປັນທາງການຕາມຄໍາເຊີນຂອງທ່ານ Stefan Löfven ນາຍົກ ລັດຖະມົນຕີຊູແອັດ ຢ່າງຈົບງາມ.	Chiều 28/5, Thủ tướng Chính phủ Nguyễn Xuân Phúc, Phu nhân và Đoàn đại biểu cấp cao Việt Nam đã đến Sân bay quốc tế Arlanda, rời Stockholm để thăm cấp nhà nước tới Thụy Điển, kết thúc chuyến thăm chính thức Thụy Điển của Thủ tướng Stefan Lö ຈົບ.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
