ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 3 ກັນຍາ, ທີ່ສໍານັກງານລັດຖະບານ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ຕ້ອນຮັບທ່ານ Khaled Ali Al Fadhel, ລັດຖະມົນຕີກະຊວງນໍ້າມັນບໍ່ທັງຮັບຜິດຊອບໄຟຟ້າ ແລະນ້ຳປະປາແຫ່ງລັດປະເທດຄູເວດ ພວມມີການຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ຫວຽດນາມ.	Sở Mỹ ngày 3 tháng 9, tại Chính phủ Chính phủ, Khaled Khaled, Số lượng Ladang
ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມປິຕິຊົມຊື່ນເມື່ອເຫັນວ່າການພົວພັນລະຫວ່າງຫວຽດນາມ-ຄູເວດ ໄດ້ມີບັນດາບາດກ້າວພັດທະນາອັນດີງາມໃນໄລຍະຜ່ານມາ.	Việt Nam Xuân, quan hệ Việt Nam đã được đăng trong quá khứ.
ໃນນັ້ນ, ການຮ່ວມມືດ້ານການຄ້າ ແລະການລົງທຶນລະຫວ່າງສອງປະເທດພວມມີບາດກ້າວພັດທະນາຢ່າງຕັ້ງໜ້າ, ໄດ້ລົງນາມໃນຂໍ້ຕົກລົງຮ່ວມມືຫຼາຍສະບັບ, ສ້າງກອບນິຕິກໍາເພື່ອຊຸກຍູ້ການລົງທຶນ.	Trong số này, hợp tác thương mại và đầu tư là chủ động, đã đăng nhập các thỏa thuận đa hợp tác để thúc đẩy đầu tư.
ທ່ານ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານ Khaled Ali Al Fadhel.	Nguyễn Xuân Phúc chào đón bạn Khaled Ali Al Fadhel.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ທ່ານ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າ, ວົງເງິນການສົ່ງອອກ-ນຳເຂົ້າຂອງສອງຝ່າຍບັນລຸໄດ້ເກືອບ 2,7 ຕື້ໂດລາສະຫະລັດ;	Nguyễn Xuân Phúc biết rằng, xuất khẩu hai bên, hai tỷ đô la đã được đáp ứng gần 2,7 tỷ USD;
ໃນນັ້ນ, ຫວຽດນາມ ສົ່ງອອກບັນລຸ 77 ລ້ານໂດລາສະຫະລັດ ແລະນໍາເຂົ້າ (ນໍ້າມັນບໍ່) ບັນລຸ 2,6 ຕື້ໂດລາສະຫະລັດ.	Trong đó, Việt Nam xuất khẩu sang 77 triệu USD và nhập khẩu (dầu) đạt 2,6 tỷ USD.
ບັນດາຜະລິດຕະພັນສົ່ງອອກໄປຍັງຄູເວດ ຕົ້ນຕໍແມ່ນສິນໃນນໍ້າ, ສິນທະເລ, ເຄື່ອງປ່າຂອງດົງ, ຜະລິດຕະພັນກະເສດ.	Xuất khẩu sản phẩm đến Juitias là về mặt đạo đức trong nước, biển, LSNG, nông sản.
ທ່ານນາຍົກລັດຖະມົນຕີປາດຖະໜາວ່າໃນໄລຍະຈະມາເຖິງ, ຫວຽດນາມ ຈະສົ່ງອອກບັນດາຜະລິດຕະພັນດັ່ງກ່າວໄປຍັງຕະຫຼາດຄູເວດ ຫຼາຍກວ່າອີກ.	Thủ tướng ước rằng trong thời gian tới, Việt Nam cũng sẽ còn nhiều hơn thị trường sản phẩm.
ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມປິຕິຊົມຊື່ນຕໍ່ກັບຜົນການຮ່ວມມືລະຫວ່າງສອງປະເທດໃນຂົງເຂດນໍ້າມັນອາຍແກັດ, ໃນນັ້ນໂຄງການປະສົມກັ່ນຕອງນໍ້າມັນງີເຊີນ ໄດ້ຮັບການປະຕິບັດຍ້ອນບັນດານັກລົງທຶນຫວຽດນາມ, ຍີ່ປຸ່ນ ແລະຄູເວດ ໄດ້ຮ່ວມມືກັນລົງທຶນ ແລະໄດ້ນຳເຂົ້າເຄື່ອນໄຫວດ້ານການຄ້າມາແຕ່ເດືອນພະຈິກ 2018 ດ້ວຍແຫຼ່ງວັດຖຸດິບນໍ້າມັນບໍ່ທີ່ນໍາເຂົ້າຈາກຄູເວດ.	Thủ tướng Nguyễn Phú Tập đoàn, Nhật Bản và các dự án cơ sở Kuwain, bao gồm cả Ninhua.
ທ່ານ Khaled Ali Al Fadhel ຕີລາຄາສູງການຮ່ວມມືລະຫວ່າງສອງປະເທດໃນໄລຍະຜ່ານມາ, ພ້ອມທັງເນັ້ນໜັກວ່າ, ບັນດານັກລົງທຶນຄູເວດ ຈະສົມທົບກັບບັນດານັກລົງທຶນຫວຽດນາມ ແລະຍີ່ປຸ່ນ ເພື່ອສືບຕໍ່ຜັນຂະຫຍາຍໂຄງການໃຫ້ຖືກຕາມຄວາມຄືບໜ້າ, ມີຄຸນນະພາບ ແລະມີປະສິດທິຜົນ.	Khaled Ali Al Fadhel đánh giá cao sự hợp tác giữa hai, các nhà đầu tư Nhật Bản sẽ tiếp tục và các nhà đầu tư Nhật Bản được làm từ tiến độ và hiệu quả.
