ນັກຂ່າວ: ປັດໄຈບໍ່ສະດວກ ເຊິ່ງສະຫາຍເຕື້ອງເຖິງແມ່ນບໍ່ວ່າຍ້ອນພະຍາດໂຄວິດ-19 ພວມຜັນແປສັບສົນ?	PV: Những bất tiện mà đồng chí trăn trở trước diễn biến phức tạp của bệnh Kovid-19 là gì?
ຖ້າຫາກເປັນແນວນັ້ນ, ພວກເຮົາໄດ້ມີມາດຕະການໃດແດ່ເພື່ອປົກປ້ອງສຸຂະພາບໃຫ້ບັນດາທີມເຂົ້າຮ່ວມ Army Games ໃນປີນີ້?	Nếu vậy, chúng ta đã có những biện pháp gì để bảo vệ sức khỏe cho các đội tham gia Hội thao quân đội năm nay?
ທ່ານພົນຕີ ຫວູຈ໊ຽນຖັ໊ງ: ປັດໄຈບໍ່ສະດວກທໍາອິດນັ້ນແມ່ນການຜັນແປຢ່າງສັບສົນຂອງພະຍາດໂຄວິດ-19 ໃນທ່ົວໂລກ.	Tướng Wu Jiantang: Điều bất tiện đầu tiên là sự phát triển phức tạp của quivery-19 trên toàn thế giới.
ຈາກການຜັນແປດັ່ງກ່າວພາໄປເຖິງຄວາມຫຍຸ້ງຍາກອື່ນໆໃຫ້ພວກເຮົາໃນວິວັດການກະກຽມ, ນັ້ນແມ່ນເລື່ອງຄະນະຈັດຕັ້ງຕ້ອງດັດປັບຈຳນວນລາຍການແຂ່ງຂັນ, ສະຖານທີ່ແຂ່ງຂັນ, ຂອບເຂດຂອງການແຂ່ງຂັນ, ກົດລະບຽບລາຍການແຂ່ງຂັນ...	Từ bước chuyển này đến khó khăn khác đối với chúng tôi trong công tác chuẩn bị, đó là BTC phải điều chỉnh số lượng cuộc thi, địa điểm, phạm vi cuộc thi, thể lệ cuộc thi ...
ຕໍ່ໜ້າການຫັນປ່ຽນນັ້ນ, ພວກເຮົາກໍ່ຕ້ອງດັດປັບກໍາລັງ, ແຜນການຝຶກແອບໃນໄລຍະຍາວກ່ອນທີ່ດໍາເນີນເຫດການເພື່ອຍາດເອົາໝາກຜົນສູງສູດຄືເປົ້າໝາຍທີ່ໄດ້ວາງອອກ.	Đứng trước sự chuyển mình đó, chúng ta cũng cần điều chỉnh lại sức mình, kế hoạch tập luyện dài hạn trước khi diễn ra sự kiện, nhằm đạt được mục tiêu cuối cùng đã đề ra.
ຕໍ່ໜ້າສະພາບການຜັນແປຢ່າງສັບສົນຂອງພະຍາດໂຄວິດ-19, ກະຊວງປ້ອງກັນປະເທດລັດເຊຍ ຍັງຄົງຕັດສິນໃຈຈັດຕັ້ງ ແລະພວກເຮົາກໍ່ຕັດສິນໃຈເຂົ້າຮ່ວມໃນລະດັບສູງສຸດ.	Trước diễn biến phức tạp của Kovich-19, Bộ Quốc phòng Nga vẫn quyết tâm tổ chức và chúng tôi quyết tâm tham gia ở mức cao nhất.
ຍ້ອນເຫດນັ້ນ, ພວກເຮົາໄດ້ແກ້ໄຂຄວາມຫຍຸ້ງຍາກກ່ຽວກັບການຝຶກແອບ, ການຂົນສົ່ງທາງອາກາດສາກົນ, ການຮັບປະກັນ, ການແພດ...	Nhờ đó, chúng tôi đã giải quyết được những khó khăn về đào tạo, vận chuyển hàng không quốc tế, bảo hiểm, y tế ...
ເພື່ອສາມາດເຂົ້າຮ່ວມງານແຂ່ງຂັນໃນລະດັບສູງສຸດ.	Để có thể tham gia các cuộc thi ở cấp độ cao nhất.
ພວກເຮົາໄດ້ສົມທົບກັບປະເທດເພື່ອນມິດປະຕິບັດການສ້າງ ແລະຜັນຂະຫຍາຍແຜນການຮັບປະກັນຄວາມປອດໄພໃຫ້ແກ່ບັນດາທີມຢ່າງຮອບດ້ານ ຄື: ຝຶກອົບຮົມ, ແນະນໍາທັກສະທີ່ຈໍາເປັນໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19 ໃຫ້ແກ່ບັນດາສະມາຊິກກ່ອນທີ່ຈະເດີນທາງໄປ, ໃນເວລາເຂົ້າຮ່ວມງານແຂ່ງຂັນ ແລະພາຍຫຼັງກັບຄືນປະເທດ.	Chúng tôi đã hợp tác với các quốc gia thân thiện để phát triển và triển khai các kế hoạch an ninh toàn diện cho các đội, chẳng hạn như đào tạo, giới thiệu cho các thành viên những kỹ năng cần thiết để ngăn chặn và kiểm soát đố-19 trước khi đi du lịch, trong khi thi đấu và sau khi về nước.
ດ້ວຍວຽກງານກະກຽມຢ່າງຮອບຄອບຖີ່ຖ້ວນ, ແໜ້ນແຟ້ນ, ຖືກຕາມຂໍ້ກໍານົດ, ຂ້າພະເຈົ້າເຊື່ອໝັ້ນວ່າ ບັນດາທີມຂອງພວກເຮົາຈະເຂົ້າຮ່ວມງານແຂ່ງຂັນຢ່າງປອດໄພ ແລະບັນລຸໄດ້ໝາກຜົນສູງສຸດ, ປະກອບສ່ວນໂຄສະນາພາບພົດຂອງປະເທດຊາດ ແລະກອງທັບປະຊາຊົນຫວຽດນາມໃນເວທີສາກົນ, ປັບປຸງສາຍພົວພັນມິດຕະພາບທີ່ເປັນມູນເຊື້ອອັນດີງາມລະຫວ່າງຫວຽດນາມ - ລັດເຊຍ ກວ່າອີກ.	Với sự chuẩn bị chu đáo, công tâm và tuân thủ, tôi tin tưởng rằng các đội thi của chúng ta sẽ tham gia thi đấu an toàn và đạt kết quả tối đa, góp phần tô thắm hình ảnh của đất nước và Quân đội nhân dân Việt Nam trên trường quốc tế, nâng cao quan hệ hữu nghị Việt - Nga.
ນັກຂ່າວ: ຂໍຂອບໃຈສະຫາຍ!	PV: Xin cảm ơn các đồng chí!
