ຖານະບົດບາດຂອງພັກກໍ່ຍ້ອນສິ່ງດັ່ງກ່າວນັ້ນຈຶ່ງໄດ້ຮັບການຍົກສູງຂຶ້ນຢ່າງບໍ່ຢຸດຢັ້ງ.	Nhờ đó, tư cách của Đảng ngày càng được nâng lên.
ຈາກພັກນຳພາການປະຕິວັດເຖິງພັກກຳອຳນາດ, ນຳພາການສ້າງສາປະເທດຊາດ, ປ່ຽນແປງໃໝ່ຢ່າງບຸກທະລຸດ້ວຍບັນດາຜົນງານທີ່ເປັນໜ້າປະທັບໃຈ, ໄດ້ຮັບການຮັບຮູ້ ແລະຕີລາຄາສູງຈາກສາກົນ.	Từ Đảng nhân dân cách mạng trở thành đảng cầm quyền, lãnh đạo xây dựng đất nước, bứt phá với những thành tựu ấn tượng, được cộng đồng quốc tế ghi nhận và đánh giá cao.
ພ້ອມກັນນັ້ນ, ພັກເຮົາກໍ່ເປັນເຈົ້າການ, ຕັ້ງໜ້າຮ່ວມມື, ເຊື່ອມໂຍງເຂົ້າກັບສາກົນເພື່ອປະເທດຊາດໝ້ັນຄົງເຂັ້ມແຂງ ແລະວັດທະນາຖາວອນ, ເພື່ອພື້ນຖານສັນຕິພາບ, ມິດຕະພາບ, ການຮ່ວມມື ແລະເພື່ອຄວາມກ້າວໜ້າ, ສະເໝີພາບ, ພັດທະນາຂອງມວນມະນຸດ.	Đồng thời, Đảng ta xây dựng, hợp tác và hội nhập cộng đồng quốc tế vì dân tộc ổn định, thịnh vượng, vì nền tảng hòa bình, hữu nghị, hợp tác và vì tiến bộ, bình đẳng và phát triển con người.
ນັກຂ່າວ: ໃນປີ 2019 - ປີທີ 89 ຂອງພັກເຮົາ, ຕາມທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລ້ວພັກເຮົາ ບັນລຸໄດ້ບັນດາຜົນງານໃດແດ່ທີ່ເປັນໜ້າຮັບຮູ້ທີ່ສຸດ ຂໍຮຽນທ່ານ?	PV: Năm 2019 - năm thứ 89 của Đảng ta, theo Tổng Bí thư, Chủ tịch nước, Đảng ta đã đạt được nhiều thành tựu nhất là gì?
ທ່ານ ຫງວຽນຝູຈ້ອງ, ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ: ປີ 2019 ແມ່ນປີທີ່ປະສົບຜົນສຳເລັດຫຼາຍຢ່າງ, ດ້ວຍຫຼາຍຄາດໝາຍ, ເປົ້າໝາຍມະຕິກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XII ຂອງພັກ ໄດ້ປະຕິບັດສໍາເລັດກ່ອນ ຫຼື ຖືກຕ້ອງຕາມຄວາມຄືບໜ້າ.	Nguyễn Phú Trọng, Tổng Bí thư, Chủ tịch nước: Năm 2019 là một năm rất thành công, với nhiều kỳ vọng, các mục tiêu, mục tiêu Đại hội XII của Đảng đã đạt được trước hoặc theo tiến độ.
ປີ 2019 ກໍ່ແມ່ນປີສໍາເລັດບັນດາເປົ້າໝາຍແຜນການພັດທະນາ ເຊິ່ງ ພັກ ແລະລັດວາງອອກໄດ້ຢ່າງມີໄຊ, ຄື: ເສດຖະກິດພັດທະນາກະໂດດຂັ້ນ;	Năm 2019 là năm hoàn thành các mục tiêu phát triển mà Đảng và nhà nước đã đề ra, đó là: phát triển kinh tế có bước nhảy vọt;
ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບໄດ້ຮັບການຮັບປະກັນຢ່າງມີສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງໜັກແໜ້ນ;	Quốc phòng, an ninh được đảm bảo ổn định, an ninh;
ບັນດາຂົງເຂດວັດທະນະທຳ, ສັງຄົມ, ສາທາລະນະສຸກ, ການສຶກສາ...	Văn hóa, xã hội, y tế, giáo dục ...
ລ້ວນແຕ່ມີບັນດາບາດກ້າວຢ່າງເປັນໜ້າປະທັບໃຈ.	Đã có một số bước ấn tượng.
ສິ່ງທີ່ຕ້ອງເວົ້າເຖິງນັ້ນແມ່ນທີ່ຕັ້ງ, ຖານະບົດບາດ, ອິດທິພົນຊື່ສຽງຂອງພັກ ແລະປະເທດຊາດ ໄດ້ຮັບການຍົກລະດັບໃນຫຼາຍດ້ານ.	Điều cần nói là vị trí, vai trò, ảnh hưởng của Đảng và uy tín của dân tộc đã được nâng cao về nhiều mặt.
ຢູ່ທີ່ນີ້, ຂໍເນັ້ນໜັກພຽງແຕ່ສອງໝາກຜົນເທົ່ານັ້ນທີ່ຖືວ່າເປັນໜ້າປະທັບໃຈທີ່ສຸດ:	Ở đây, chúng ta hãy làm nổi bật hai trong số các kết quả được coi là ấn tượng nhất:
ທີໜຶ່ງ, ພາຍຫຼັງມີແຜນນະໂຍບາຍຫຼາຍສະບັບ, ມາດຕະການກໍ່ສ້າງພັກທີ່ຖືກຕ້ອງຂອງສູນກາງຜ່ານຫຼາຍອາຍຸການນັ້ນ, ມາຮອດປະຈຸບັນ, ພັກເຮົາມີຄວາມໝັ້ນຄົງເຂັ້ມແຂງກວ່າ, ປອດໃສກວ່າ.	Thứ nhất, sau một số chủ trương, biện pháp đúng đắn của Trung ương Đảng về xây dựng đảng qua các thời kỳ, đến nay, đảng ta ngày càng vững mạnh, ngày càng vững mạnh.
ພາຍໃນພັກ ແລະລະບົບການເມືອງມີຄວາມສາມັກຄີກັນກວ່າ, ກະທັດຮັດ, ມີປະສິດທິຜົນ ແລະປະສິດທິພາບກວ່າ.	Trong đảng bộ và cả hệ thống chính trị đoàn kết, gọn nhẹ, hoạt động hiệu lực, hiệu quả hơn.
ພ້ອມກັນນັ້ນ, ຖັນແຖວພະນັກງານໄດ້ຮັບການຝຶກຝົນຫຼໍ່ຫຼອມ, ສຶກສາອົບຮົມຢ່າງເຂັ້ມງວດຈາກສູນກາງ ແລະຂັ້ນຕ່າງໆ ສະນັ້ນໄດ້ກຳນົດຢ່າງຄົບຖ້ວນກ່ຽວກັບພາລະໜ້າທີ່, ການອຸທິດ, ນໍ້າໃຈເສຍສະຫຼະເພື່ອພັກ, ເພື່ອປະເທດ, ເພື່ອປະຊາຊົນ.	Đồng thời, đội ngũ cán bộ được đào tạo bài bản, được đào tạo bài bản ở trung tâm và các cấp nên hoàn toàn xác định rõ nghĩa vụ, cống hiến, hy sinh vì đảng, vì nước, vì dân.
ພະນັກງານທຸກຂັ້ນໄດ້ຮັບໃຊ້ປະຊາຊົນ, ຮັບໃຊ້ປະເທດຊາດ.	Các cấp nhân viên phục vụ nhân dân, phục vụ quốc gia.
ກໍ່ຍ້ອນເຫດນັ້ນຄວາມສາມາດໃນການນຳພາຂອງພັກ ຈຶ່ງໄດ້ຮັບການຍົກສູງຂຶ້ນ;	Nhờ đó, năng lực lãnh đạo của Đảng được nâng lên;
ກຳລັງແຮງສູ້ຮົບຂອງບັນດາອົງການຈັດຕັ້ງພັກ ໄດ້ຮັບການເພີ່ມທະວີ;	Sức chiến đấu của các tổ chức đảng được nâng lên;
ຄຸນສົມບັດສິນທໍາປະຕິວັດໄດ້ຮັບການເພີ່ມພູນຄູນສ້າງຢ່າງດີງາມ.	Phẩm chất đạo đức cách mạng được nhân lên tốt đẹp.
ທີສອງ, ແມ່ນຜົນສຳເລັດຂອງການປະຕິວັດອັນໃຫຍ່ຫຼວງທີ່ສຸດ, ແມ່ນປະຊາຊົນຫວຽດນາມ ໄດ້ຍົກສູງຈິດໃຈປະຕິບັດຄວາມສາມັກຄີຢ່າງກວ້າງຂວາງ.	Thứ hai, là kết quả của cuộc cách mạng vĩ đại nhất, nhân dân Việt Nam đã nêu cao tinh thần đoàn kết.
ຄວາມໄວ້ເນື້ອເຊື່ອໃຈຂອງປະຊາຊົນທີ່ມີຕໍ່ພັກ ແລະລະບົບການເມືອງໄດ້ຮັບການປັບປຸງຢ່າງໝັ້ນຄົງໜັກແໜ້ນ;	Niềm tin của nhân dân đối với đảng và hệ thống chính trị ngày càng được nâng cao;
ສະຕິຮູ້ສຶກຂອງພົນລະເມືອງ ແລະຄວາມຮັບຜິດຊອບຕໍ່ການອຸທິດໃຫ້ແກ່ປະຊາຄົມ, ສັງຄົມໄດ້ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງຢູ່ທຸກຊັ້ນວັນນະ, ພາກສ່ວນຂອງສັງຄົມ ແລະພົນລະເມືອງຫວຽດນາມແຕ່ລະຄົນ.	Tinh thần trách nhiệm và sự gắn bó của công dân đối với cộng đồng, xã hội được thể hiện rõ ở tất cả các cấp, các bộ phận trong xã hội và mỗi người dân Việt Nam.
ເວົ້າລວມແລ້ວ: ຜົນງານອັນໃຫຍ່ຫຼວງທ່ີສຸດແມ່ນພັກເຮົາໄດ້ວາງແຜນກຳນົດບັນດາແຜນນະໂຍບາຍ, ນະໂຍບາຍ;	Nhìn chung: Thành tựu lớn nhất là Đảng ta đã hoạch định đường lối, chính sách;
ລະດົມໄດ້ອາລົມຈິດ, ສະຕິປັນຍາ ແລະກຳລັງແຮງຂອງທົ່ວປວງຊົນ;	Huy động tình cảm, trí tuệ và sức lực của nhân dân;
ໄດ້ຮັບຄວາມເຊື່ອໝັ້ນ ແລະຮັກແພງຈາກປະຊາຊົນ;	Nhận được niềm tin và sự yêu mến từ người dân;
