ກປ.ອອນໄລ - ຕອນຄ່ຳວັນທີ 27 ຕຸລາ, ສະຖານທູດອິນເດຍ ປະຈຳ ຮ່າໂນ້ຍ ໄດ້ຈັດຕັ້ງງານບຸນແສງສີ Diwali ປີ 2017.	Tối 27/10, Đại sứ quán Ấn Độ tại Hà Nội đăng cai tổ chức Lễ hội ánh sáng Diwali 2017.
Diwali ແມ່ນງານບຸນແສງສີທີ່ເປັນມູນເຊື້ອຂອງຊາວອິນເດຍ.	Diwali là một lễ hội truyền thống của Ấn Độ về đèn màu.
ນີ້ກໍ່ແມ່ນງານບຸນທີ່ເປັນສັນຍາລັກແຫ່ງໄຊຊະນະຂອງສິ່ງທີ່ດີຕໍ່ສິ່ງບໍ່ດີ, ຂອງແສງສະຫວ່າງຕໍ່ຄວາມເງົາມືດ.	Đây là lễ hội tượng trưng cho sự chiến thắng của cái thiện trước cái ác, ánh sáng chống lại bóng tối.
Diwali ແມ່ນງານບຸນແສງສີທີ່ເປັນມູນເຊື້ອ ຂອງຊາວອິນເດຍ.	Diwali là một lễ hội truyền thống của Ấn Độ về đèn màu.
ພາບ: ຢ້ຽວຖຸ໋ຍ	Ảnh: Diệu Thùy
ຜູ້ຊົມເຂົ້າຮ່ວມງານບຸນຊົມສິລະປະແຕ້ມ Henna.	Du khách tham dự Lễ hội nghệ thuật Henna.
ພາບ: ຢ້ຽວຖຸ໋ຍ	Ảnh: Diệu Thùy
ຮັບປະທານອາຫານຫຼາຍເຍື່ອງຂອງ ອິນເດຍ.	Ăn nhiều đồ ăn Ấn Độ.
ພາບ: ຢ້ຽວຖຸ໋ຍ	Ảnh: Diệu Thùy
ມາເຂົ້າຮ່ວມງານບຸນ, ມະຫາຊົນນະຄອນຫຼວງ ຮ່າໂນ້ຍ ມີໂອກາດໄດ້ຊົມຄວາມງາມຂອງແສງສີ, ຊຸດອາພອນມູນເຊື້ອຂອງ ອິນເດຍ ແລະເຂົ້າຮ່ວມປະເພນີມອບເຂົ້າໜົມມູນເຊື້ອ.	Đến với lễ hội, đông đảo người dân Hà Nội có dịp ngắm nhìn vẻ đẹp của những ánh đèn rực rỡ sắc màu, những bộ trang phục truyền thống của Ấn Độ và tham gia hoạt động cúng cơm truyền thống.
ຄຽງຂ້າງນັ້ນ, ຜູ້ຊົມງານບຸນຍັງໄດ້ເຂົ້າຮ່ວມການເຄື່ອນໄຫວທີ່ຈັບອົກຈັບໃຈຕ່າງໆ ຄື ນຸ່ງຊຸດອາພອນ Sari ຂອງ ອິນເດຍ, ຊົມສິລະປະແຕ້ມ Henna, ພິທີດັງໄຟ, ການແຕ່ງກິນເຍື່ອງອາຫານເບົາ ແລະເຄື່ອງຫວານມູນເຊື້ອທີ່ເຕັມໄປດ້ວຍສີສັນ Diwali ອິນເດຍ;	Ngoài ra, những người đi lễ hội còn được tham gia các hoạt động thú vị như mặc áo choàng sari của Ấn Độ, xem tranh vẽ henna, đốt lửa, nấu các món ăn nhẹ và món tráng miệng truyền thống của Ấn Độ đầy Diwali;
ຢ້ຽມຊົມເຂດວາງສະແດງຜະລິດຕະພັນ Diwali, ລາຍການສະແດງຮ້ອງເພງ ແລະສິລະປະ Diwali...	Tham quan khu Triển lãm Diwali, Khu trưng bày nghệ thuật và ca hát Diwali ...
ແປໂດຍ: ຮຸຍດົງ.	Dịch bởi: Huy Đông.
